# timestamp (sec),slam_feats_in_state,msckf_feats_used,slam_feats_updated,slam_feats_delayed_init,clones
1403638132.942121267318726,0,2,0,0,5
1403638132.992121219635010,0,0,0,0,6
1403638133.042121410369873,0,0,0,0,7
1403638133.092121362686157,0,0,0,0,8
1403638133.142121315002441,0,0,0,0,9
1403638133.192121267318726,0,0,0,0,10
1403638133.242121219635010,0,0,0,0,11
1403638133.292121410369873,0,0,0,0,11
1403638133.342121362686157,0,0,0,0,11
1403638133.392121315002441,0,0,0,0,11
1403638133.442121267318726,0,0,0,0,11
1403638133.492121219635010,0,0,0,0,11
1403638133.533004283905029,1,0,0,1,11
1403638133.591618061065674,9,8,0,8,11
1403638133.642254114151001,11,0,8,2,11
1403638133.692142009735107,10,0,10,0,11
1403638133.742022514343262,10,0,10,0,11
1403638133.791965007781982,10,0,10,0,11
1403638133.842318058013916,12,0,9,2,11
1403638133.892769098281860,12,0,10,0,11
1403638133.943674802780151,15,0,10,4,11
1403638133.994118452072144,15,0,11,0,11
1403638134.044967412948608,14,0,11,0,11
1403638134.095306873321533,11,0,9,0,11
1403638134.145338296890259,10,0,4,0,11
1403638134.195138692855835,19,0,3,10,11
1403638134.244717597961426,15,0,6,1,11
1403638134.294502258300781,15,0,4,1,11
1403638134.344415187835693,8,0,4,0,11
1403638134.394391298294067,5,0,3,0,11
1403638134.444344758987427,4,0,1,0,11
1403638134.494282007217407,3,0,1,0,11
1403638134.544212579727173,1,0,1,0,11
1403638134.594160556793213,1,0,1,0,11
1403638134.644098520278931,1,0,1,0,11
1403638134.694098472595215,1,0,0,0,11
1403638134.744193792343140,3,0,0,2,11
1403638134.793926477432251,13,0,2,11,11
1403638134.844039201736450,21,1,13,8,11
1403638134.893812656402588,21,0,20,0,11
1403638134.943441867828369,24,0,18,3,11
1403638134.993518352508545,25,0,19,2,11
1403638135.043828248977661,23,0,20,0,11
1403638135.094081401824951,21,0,18,0,11
1403638135.144311428070068,21,0,16,1,11
1403638135.194495201110840,18,0,15,0,11
1403638135.244625091552734,16,0,12,0,11
1403638135.294502735137939,16,0,9,1,11
1403638135.344427347183228,15,0,9,2,11
1403638135.394427299499512,14,0,11,2,11
1403638135.444632053375244,13,0,12,0,11
1403638135.494717836380005,13,0,11,0,11
1403638135.544877290725708,12,0,11,0,11
1403638135.594889879226685,11,0,11,0,11
1403638135.644754409790039,10,0,10,0,11
1403638135.694621562957764,10,0,10,0,11
1403638135.744512557983398,10,0,10,0,11
1403638135.794553041458130,11,0,10,1,11
1403638135.844710350036621,12,0,11,1,11
1403638135.894796609878540,12,0,10,0,11
1403638135.944924354553223,14,0,10,2,11
1403638135.994941234588623,11,0,10,0,11
1403638136.044945240020752,9,0,8,0,11
1403638136.094918012619019,8,0,8,0,11
1403638136.144888877868652,8,0,8,0,11
1403638136.194876670837402,8,0,7,0,11
1403638136.244920253753662,7,0,6,0,11
1403638136.294961929321289,6,0,6,0,11
1403638136.345021963119507,6,0,6,0,11
1403638136.395056962966919,5,0,5,0,11
1403638136.445091962814331,5,0,5,0,11
1403638136.495118856430054,5,0,5,0,11
1403638136.545121669769287,5,0,5,0,11
1403638136.595083236694336,5,0,4,0,11
1403638136.645037889480591,5,0,5,0,11
1403638136.694965600967407,5,0,5,0,11
1403638136.744898080825806,5,0,4,0,11
1403638136.794863462448120,5,0,1,0,11
1403638136.844813108444214,5,0,0,1,11
1403638136.894740343093872,2,0,1,1,11
1403638136.944665670394897,3,0,2,1,11
1403638136.994664907455444,4,0,2,1,11
1403638137.044693470001221,5,0,2,1,11
1403638137.094715833663940,4,1,2,0,11
1403638137.144715785980225,5,0,0,2,11
1403638137.194756269454956,5,0,0,1,11
1403638137.244756221771240,3,0,0,0,11
1403638137.294756412506104,1,0,0,0,11
1403638137.344756364822388,0,0,0,0,11
1403638137.394756317138672,0,0,0,0,11
1403638137.444756269454956,0,0,0,0,11
1403638137.494756221771240,0,0,0,0,11
1403638137.544756412506104,0,0,0,0,11
1403638137.594756364822388,0,0,0,0,11
1403638137.644756317138672,0,0,0,0,11
1403638137.694756269454956,0,0,0,0,11
1403638137.744756221771240,0,0,0,0,11
1403638137.794756412506104,0,0,0,0,11
1403638137.844756364822388,0,0,0,0,11
1403638137.894756317138672,0,0,0,0,11
1403638137.944756269454956,0,0,0,0,11
1403638137.994756221771240,0,0,0,0,11
1403638138.044756412506104,0,0,0,0,11
1403638138.094756364822388,0,0,0,0,11
1403638138.144756317138672,0,0,0,0,11
1403638138.194756269454956,0,0,0,0,11
1403638138.244756221771240,0,0,0,0,11
1403638138.294756412506104,0,0,0,0,11
1403638138.344756364822388,0,0,0,0,11
1403638138.394756317138672,0,0,0,0,11
1403638138.444756269454956,0,0,0,0,11
1403638138.494756221771240,0,0,0,0,11
1403638138.544756412506104,0,0,0,0,11
1403638138.594756364822388,0,0,0,0,11
1403638138.644756317138672,0,0,0,0,11
1403638138.694756269454956,0,0,0,0,11
1403638138.744756221771240,0,0,0,0,11
1403638138.794756412506104,0,0,0,0,11
1403638138.844756364822388,0,0,0,0,11
1403638138.894756317138672,0,0,0,0,11
1403638138.944756269454956,0,0,0,0,11
1403638138.994756221771240,0,0,0,0,11
1403638139.044756412506104,0,0,0,0,11
1403638139.094756364822388,0,0,0,0,11
1403638139.144756317138672,0,0,0,0,11
1403638139.194756269454956,0,0,0,0,11
1403638139.244756221771240,0,0,0,0,11
1403638139.294756412506104,0,0,0,0,11
1403638139.344756364822388,0,0,0,0,11
1403638139.394756317138672,0,0,0,0,11
1403638139.444756269454956,0,0,0,0,11
1403638139.494756221771240,0,0,0,0,11
1403638139.544756412506104,0,0,0,0,11
1403638139.594756364822388,0,0,0,0,11
1403638139.644756317138672,0,0,0,0,11
1403638139.694756269454956,0,0,0,0,11
1403638139.744756221771240,0,0,0,0,11
1403638139.794756412506104,0,0,0,0,11
1403638139.844756364822388,0,0,0,0,11
1403638139.894756317138672,0,0,0,0,11
1403638139.944756269454956,0,0,0,0,11
1403638139.994756221771240,0,0,0,0,11
1403638140.044756412506104,0,0,0,0,11
1403638140.094756364822388,0,0,0,0,11
1403638140.144756317138672,0,0,0,0,11
1403638140.194756269454956,0,0,0,0,11
1403638140.244756221771240,0,0,0,0,11
1403638140.294756412506104,0,0,0,0,11
1403638140.344756364822388,0,0,0,0,11
1403638140.394756317138672,0,0,0,0,11
1403638140.444756269454956,0,0,0,0,11
1403638140.494756221771240,0,0,0,0,11
1403638140.544756412506104,0,0,0,0,11
1403638140.594756364822388,0,0,0,0,11
1403638140.644756317138672,0,0,0,0,11
1403638140.694756269454956,0,0,0,0,11
1403638140.744756221771240,0,0,0,0,11
1403638140.794756412506104,0,0,0,0,11
1403638140.844756364822388,0,0,0,0,11
1403638140.894756317138672,0,0,0,0,11
1403638140.944756269454956,0,0,0,0,11
1403638140.994756221771240,0,0,0,0,11
1403638141.044756412506104,0,0,0,0,11
1403638141.094756364822388,0,0,0,0,11
1403638141.144756317138672,0,0,0,0,11
1403638141.194756269454956,0,0,0,0,11
1403638141.244756221771240,0,0,0,0,11
1403638141.294756412506104,0,0,0,0,11
1403638141.344756364822388,0,0,0,0,11
1403638141.394756317138672,0,0,0,0,11
1403638141.444756269454956,0,0,0,0,11
1403638141.494756221771240,0,0,0,0,11
1403638141.544756412506104,0,0,0,0,11
1403638141.594756364822388,0,0,0,0,11
1403638141.644756317138672,0,0,0,0,11
1403638141.694756269454956,0,0,0,0,11
1403638141.744756221771240,0,0,0,0,11
1403638141.794756412506104,0,0,0,0,11
1403638141.844756364822388,0,0,0,0,11
1403638141.894756317138672,0,0,0,0,11
1403638141.944756269454956,0,0,0,0,11
1403638141.994756221771240,0,0,0,0,11
1403638142.044756412506104,0,0,0,0,11
1403638142.094756364822388,0,0,0,0,11
