# timestamp (sec),slam_feats_in_state,msckf_feats_used,slam_feats_updated,slam_feats_delayed_init,clones
1403638132.945096969604492,0,0,0,0,5
1403638132.995096921920776,0,0,0,0,6
1403638133.045097112655640,0,0,0,0,7
1403638133.095097064971924,0,0,0,0,8
1403638133.145097017288208,0,0,0,0,9
1403638133.195096969604492,0,0,0,0,10
1403638133.245096921920776,0,0,0,0,11
1403638133.295097112655640,0,0,0,0,11
1403638133.345097064971924,0,0,0,0,11
1403638133.395097017288208,0,0,0,0,11
1403638133.445096969604492,0,0,0,0,11
1403638133.495096921920776,0,0,0,0,11
1403638133.545097112655640,0,0,0,0,11
1403638133.590428590774536,3,3,0,3,11
1403638133.641241788864136,10,0,3,7,11
1403638133.692345380783081,14,0,10,4,11
1403638133.742210388183594,14,0,14,0,11
1403638133.792129278182983,13,0,13,0,11
1403638133.842155218124390,13,0,13,0,11
1403638133.892157554626465,15,0,13,2,11
1403638133.943810701370239,21,0,11,6,11
1403638133.994591712951660,23,0,13,2,11
1403638134.045312643051147,19,0,13,0,11
1403638134.095731496810913,15,0,10,0,11
1403638134.146047830581665,13,2,6,0,11
1403638134.195226192474365,31,6,3,21,11
1403638134.244548559188843,39,1,12,12,11
1403638134.294287443161011,40,2,21,4,11
1403638134.344164609909058,29,0,20,0,11
1403638134.394016742706299,26,0,18,1,11
1403638134.443856239318848,21,0,18,0,11
1403638134.493714094161987,19,0,17,0,11
1403638134.543559551239014,20,0,16,2,11
1403638134.593445777893066,23,0,16,4,11
1403638134.643387079238892,21,0,17,0,11
1403638134.693428516387939,20,0,15,1,11
1403638134.743545055389404,18,0,16,0,11
1403638134.793678998947144,17,0,14,1,11
1403638134.843711137771606,18,0,14,1,11
1403638134.893581628799438,16,0,15,0,11
1403638134.943438529968262,16,0,13,1,11
1403638134.993430137634277,16,0,12,0,11
1403638135.043611764907837,14,0,12,0,11
1403638135.093741416931152,12,0,9,0,11
1403638135.143826007843018,11,0,8,0,11
1403638135.193911075592041,9,0,8,0,11
1403638135.243983745574951,7,1,5,0,11
1403638135.293990612030029,8,0,3,1,11
1403638135.343974351882935,6,0,4,0,11
1403638135.393993616104126,4,0,4,0,11
1403638135.444061517715454,4,0,3,0,11
1403638135.494098424911499,4,0,3,0,11
1403638135.544121980667114,3,0,1,0,11
1403638135.594136714935303,3,0,1,0,11
1403638135.644136667251587,0,0,0,0,11
1403638135.694136619567871,0,0,0,0,11
1403638135.744136571884155,0,0,0,0,11
1403638135.794136762619019,0,0,0,0,11
1403638135.844157934188843,1,0,0,1,11
1403638135.894155025482178,1,0,1,0,11
1403638135.944163084030151,2,0,1,1,11
1403638135.994212865829468,4,0,2,2,11
1403638136.044277667999268,7,0,4,3,11
1403638136.094265699386597,10,0,6,3,11
1403638136.144184827804565,15,0,10,5,11
1403638136.194165468215942,18,0,15,3,11
1403638136.244267940521240,22,0,17,5,11
1403638136.294341802597046,25,0,22,3,11
1403638136.344443798065186,28,0,23,3,11
1403638136.394513607025146,29,0,22,1,11
1403638136.444661140441895,31,0,21,5,11
1403638136.494989633560181,38,0,25,10,11
1403638136.544994831085205,39,0,32,2,11
1403638136.595039367675781,39,0,33,0,11
1403638136.645128488540649,34,0,29,0,11
1403638136.695234775543213,33,0,25,0,11
1403638136.745294094085693,27,0,19,0,11
1403638136.795359134674072,24,0,17,0,11
1403638136.845388889312744,19,0,17,0,11
1403638136.895372152328491,17,0,14,0,11
1403638136.945346832275391,17,0,13,0,11
1403638136.995347499847412,14,0,13,0,11
1403638137.045419454574585,13,0,12,0,11
1403638137.095558643341064,13,0,11,0,11
1403638137.145654439926147,12,0,6,0,11
1403638137.195706844329834,11,0,3,0,11
1403638137.245743274688721,6,0,2,0,11
1403638137.295743465423584,3,0,0,0,11
1403638137.345743417739868,2,0,0,0,11
1403638137.395743370056152,0,0,0,0,11
1403638137.445743322372437,0,0,0,0,11
1403638137.495743274688721,0,0,0,0,11
1403638137.545743465423584,0,0,0,0,11
1403638137.595743417739868,0,0,0,0,11
1403638137.645743370056152,0,0,0,0,11
1403638137.695743322372437,0,0,0,0,11
1403638137.745743274688721,0,0,0,0,11
1403638137.795743465423584,0,0,0,0,11
1403638137.845743417739868,0,0,0,0,11
1403638137.895743370056152,0,0,0,0,11
1403638137.945743322372437,0,0,0,0,11
1403638137.995743274688721,0,0,0,0,11
1403638138.045743465423584,0,0,0,0,11
1403638138.095743417739868,0,0,0,0,11
1403638138.145743370056152,0,0,0,0,11
1403638138.195743322372437,0,0,0,0,11
1403638138.245743274688721,0,0,0,0,11
1403638138.295743465423584,0,0,0,0,11
1403638138.345743417739868,0,0,0,0,11
1403638138.395743370056152,0,0,0,0,11
1403638138.445743322372437,0,0,0,0,11
1403638138.495743274688721,0,0,0,0,11
1403638138.545743465423584,0,0,0,0,11
1403638138.595743417739868,0,0,0,0,11
1403638138.645743370056152,0,0,0,0,11
1403638138.695743322372437,0,0,0,0,11
1403638138.745743274688721,0,0,0,0,11
1403638138.795743465423584,0,0,0,0,11
1403638138.845743417739868,0,0,0,0,11
1403638138.895743370056152,0,0,0,0,11
1403638138.945743322372437,0,0,0,0,11
1403638138.995743274688721,0,0,0,0,11
1403638139.045743465423584,0,0,0,0,11
1403638139.095743417739868,0,0,0,0,11
1403638139.145743370056152,0,0,0,0,11
1403638139.195743322372437,0,0,0,0,11
1403638139.245743274688721,0,0,0,0,11
1403638139.295743465423584,0,0,0,0,11
1403638139.345743417739868,0,0,0,0,11
1403638139.395743370056152,0,0,0,0,11
1403638139.445743322372437,0,0,0,0,11
1403638139.495743274688721,0,0,0,0,11
1403638139.545743465423584,0,0,0,0,11
1403638139.595743417739868,0,0,0,0,11
1403638139.645743370056152,0,0,0,0,11
1403638139.695743322372437,0,0,0,0,11
1403638139.745743274688721,0,0,0,0,11
1403638139.795743465423584,0,0,0,0,11
