# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403638132.942121267318726,0.00378,0.00010,0.00032,0.00000,0.00000,0.00174,0.00593
1403638132.992121219635010,0.00334,0.00010,0.00057,0.00000,0.00033,0.00199,0.00633
1403638133.042121410369873,0.00326,0.00011,0.00028,0.00000,0.00000,0.00118,0.00483
1403638133.092121362686157,0.00318,0.00011,0.00000,0.00000,0.00000,0.00210,0.00539
1403638133.142121315002441,0.00334,0.00011,0.00003,0.00000,0.00000,0.00130,0.00479
1403638133.192121267318726,0.00314,0.00011,0.00004,0.00000,0.00000,0.00214,0.00543
1403638133.242121219635010,0.00353,0.00011,0.00003,0.00000,0.00000,0.00126,0.00493
1403638133.292121410369873,0.00371,0.00012,0.00004,0.00000,0.00000,0.00222,0.00608
1403638133.342121362686157,0.00338,0.00011,0.00004,0.00000,0.00010,0.00135,0.00498
1403638133.392121315002441,0.00306,0.00011,0.00000,0.00000,0.00000,0.00213,0.00531
1403638133.442121267318726,0.00376,0.00011,0.00005,0.00000,0.00003,0.00134,0.00529
1403638133.492121219635010,0.00323,0.00012,0.00001,0.00000,0.00004,0.00157,0.00496
1403638133.533004283905029,0.00344,0.00011,0.00003,0.00000,0.00063,0.00135,0.00557
1403638133.591618061065674,0.00435,0.00010,0.00385,0.00003,0.00645,0.00231,0.01710
1403638133.642254114151001,0.00405,0.00013,0.00004,0.00032,0.00206,0.00142,0.00803
1403638133.692142009735107,0.00356,0.00013,0.00006,0.00042,0.00018,0.00159,0.00595
1403638133.742022514343262,0.00348,0.00012,0.00001,0.00039,0.00000,0.00136,0.00536
1403638133.791965007781982,0.00331,0.00012,0.00004,0.00040,0.00000,0.00135,0.00521
1403638133.842318058013916,0.00306,0.00013,0.00003,0.00039,0.00142,0.00141,0.00643
1403638133.892769098281860,0.00318,0.00013,0.00003,0.00047,0.00000,0.00137,0.00519
1403638133.943674802780151,0.00301,0.00013,0.00004,0.00045,0.00129,0.00135,0.00626
1403638133.994118452072144,0.00332,0.00014,0.00003,0.00049,0.00000,0.00136,0.00535
