# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403638539.227882385253906,0.00392,0.00008,0.00053,0.00000,0.00000,0.00095,0.00547
1403638539.282200813293457,0.00371,0.00009,0.00099,0.00000,0.00081,0.00079,0.00638
1403638539.331370830535889,0.00534,0.00010,0.00033,0.00009,0.00000,0.00095,0.00681
1403638539.381268978118896,0.00336,0.00010,0.00010,0.00005,0.00000,0.00060,0.00421
1403638539.430998563766479,0.00471,0.00010,0.00021,0.00004,0.00000,0.00058,0.00564
1403638539.480962038040161,0.00271,0.00010,0.00001,0.00004,0.00000,0.00074,0.00360
1403638539.530914545059204,0.00436,0.00010,0.00011,0.00000,0.00000,0.00058,0.00515
1403638539.580882310867310,0.00287,0.00012,0.00011,0.00000,0.00000,0.00061,0.00371
1403638539.630882263183594,0.00305,0.00010,0.00003,0.00000,0.00003,0.00064,0.00385
1403638539.680882215499878,0.00209,0.00010,0.00001,0.00000,0.00006,0.00067,0.00293
1403638539.730548858642578,0.00242,0.00009,0.00077,0.00000,0.00000,0.00065,0.00393
1403638539.779917240142822,0.00280,0.00010,0.00013,0.00000,0.00003,0.00066,0.00373
1403638539.829811096191406,0.00248,0.00010,0.00008,0.00000,0.00000,0.00069,0.00335
1403638539.879261255264282,0.00237,0.00010,0.00012,0.00000,0.00073,0.00070,0.00402
1403638539.929227590560913,0.00253,0.00010,0.00002,0.00004,0.00012,0.00070,0.00351
1403638539.978943586349487,0.00216,0.00010,0.00020,0.00003,0.00008,0.00070,0.00328
1403638540.028195619583130,0.00413,0.00012,0.00042,0.00004,0.00002,0.00085,0.00558
1403638540.078064680099487,0.00419,0.00012,0.00004,0.00005,0.00034,0.00111,0.00585
1403638540.127925634384155,0.00299,0.00011,0.00052,0.00000,0.00003,0.00079,0.00444
1403638540.176342964172363,0.00260,0.00010,0.00027,0.00000,0.00157,0.00073,0.00528
1403638540.225772380828857,0.00243,0.00010,0.00018,0.00010,0.00002,0.00071,0.00354
1403638540.275738716125488,0.00247,0.00010,0.00015,0.00001,0.00009,0.00071,0.00353
1403638540.325618267059326,0.00264,0.00010,0.00018,0.00000,0.00008,0.00071,0.00371
1403638540.375618219375610,0.00234,0.00010,0.00001,0.00000,0.00008,0.00073,0.00326
1403638540.425618171691895,0.00207,0.00009,0.00002,0.00000,0.00000,0.00071,0.00290
1403638540.475618124008179,0.00206,0.00010,0.00003,0.00000,0.00048,0.00072,0.00339
1403638540.525618076324463,0.00223,0.00010,0.00003,0.00000,0.00011,0.00072,0.00319
1403638540.575709104537964,0.00235,0.00010,0.00023,0.00000,0.00066,0.00075,0.00409
1403638540.625614881515503,0.00241,0.00010,0.00001,0.00006,0.00008,0.00077,0.00342
1403638540.675497770309448,0.00220,0.00010,0.00015,0.00004,0.00145,0.00077,0.00471
