# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403638539.281952381134033,0.01119,0.00012,0.00095,0.00000,0.00000,0.00249,0.01476
1403638539.330574035644531,0.01536,0.00014,0.00223,0.00000,0.00174,0.00220,0.02167
1403638539.380431175231934,0.01277,0.00014,0.00022,0.00021,0.00000,0.00285,0.01619
1403638539.430451154708862,0.01188,0.00013,0.00011,0.00021,0.00000,0.00222,0.01455
1403638539.480360746383667,0.01189,0.00014,0.00014,0.00020,0.00000,0.00285,0.01521
1403638539.529987096786499,0.01338,0.00015,0.00011,0.00021,0.00000,0.00228,0.01612
1403638539.579607725143433,0.01319,0.00014,0.00014,0.00022,0.00000,0.00291,0.01660
1403638539.629434585571289,0.01201,0.00014,0.00012,0.00022,0.00000,0.00232,0.01480
1403638539.678868293762207,0.01067,0.00015,0.00013,0.00022,0.00230,0.00301,0.01648
1403638539.729177713394165,0.00998,0.00015,0.00034,0.00038,0.00039,0.00217,0.01341
1403638539.779884576797485,0.00969,0.00015,0.00032,0.00046,0.00106,0.00244,0.01412
1403638539.830056428909302,0.01006,0.00015,0.00011,0.00059,0.00003,0.00216,0.01309
1403638539.879816055297852,0.00850,0.00015,0.00012,0.00059,0.00003,0.00219,0.01157
1403638539.929597616195679,0.00972,0.00016,0.00007,0.00059,0.01636,0.00225,0.02915
1403638539.979709148406982,0.00807,0.00017,0.00017,0.00276,0.00449,0.00217,0.01782
1403638540.029923439025879,0.01047,0.00017,0.00021,0.00305,0.00004,0.00217,0.01609
1403638540.079716444015503,0.01016,0.00017,0.00061,0.00296,0.00061,0.00218,0.01667
1403638540.129900217056274,0.00949,0.00018,0.00076,0.00274,0.00109,0.00219,0.01646
1403638540.180059432983398,0.00783,0.00017,0.00058,0.00245,0.00000,0.00223,0.01326
1403638540.229465246200562,0.00831,0.00016,0.00122,0.00231,0.00009,0.00214,0.01424
1403638540.279042005538940,0.00813,0.00017,0.00024,0.00241,0.00104,0.00214,0.01413
1403638540.328903913497925,0.00761,0.00016,0.00036,0.00243,0.00005,0.00214,0.01275
1403638540.378831386566162,0.00751,0.00017,0.00001,0.00246,0.00305,0.00217,0.01537
1403638540.428874254226685,0.00732,0.00018,0.00016,0.00276,0.00003,0.00226,0.01270
1403638540.478915452957153,0.00766,0.00016,0.00019,0.00272,0.00015,0.00228,0.01316
1403638540.528967857360840,0.00750,0.00016,0.00005,0.00267,0.00332,0.00223,0.01592
1403638540.579005479812622,0.00847,0.00017,0.00020,0.00302,0.00326,0.00222,0.01735
1403638540.628993034362793,0.00743,0.00016,0.00014,0.00342,0.00282,0.00214,0.01611
1403638540.678963184356689,0.00745,0.00018,0.00004,0.00377,0.00409,0.00223,0.01777
1403638540.728896617889404,0.00730,0.00018,0.00008,0.00448,0.00182,0.00236,0.01623
1403638540.778753280639648,0.00804,0.00018,0.00004,0.00477,0.00418,0.00231,0.01952
1403638540.828648090362549,0.00722,0.00018,0.00403,0.00533,0.00272,0.00228,0.02176
1403638540.878614902496338,0.00895,0.00019,0.00010,0.00547,0.00000,0.00219,0.01690
1403638540.928586006164551,0.00786,0.00019,0.00018,0.00490,0.00063,0.00216,0.01592
1403638540.978529691696167,0.00711,0.00017,0.00017,0.00447,0.00293,0.00235,0.01720
1403638541.028472423553467,0.00701,0.00019,0.00013,0.00480,0.00012,0.00224,0.01449
1403638541.078435897827148,0.00812,0.00018,0.00032,0.00441,0.00003,0.00222,0.01529
1403638541.128437995910645,0.00719,0.00019,0.00324,0.00440,0.00134,0.00216,0.01853
1403638541.178375959396362,0.00700,0.00019,0.00052,0.00425,0.00014,0.00213,0.01422
1403638541.228292942047119,0.00719,0.00018,0.00009,0.00394,0.00004,0.00215,0.01360
1403638541.278205394744873,0.00679,0.00016,0.00052,0.00393,0.00003,0.00208,0.01353
1403638541.328185081481934,0.00846,0.00017,0.00009,0.00378,0.00005,0.00214,0.01469
1403638541.378169536590576,0.00656,0.00017,0.00012,0.00373,0.00000,0.00215,0.01273
1403638541.428148984909058,0.00687,0.00017,0.00126,0.00356,0.00238,0.00211,0.01636
1403638541.478104591369629,0.00669,0.00017,0.00001,0.00394,0.00000,0.00219,0.01300
1403638541.528118610382080,0.00682,0.00018,0.00004,0.00377,0.00059,0.00220,0.01361
1403638541.578159809112549,0.00690,0.00017,0.00030,0.00384,0.00000,0.00218,0.01340
1403638541.628151178359985,0.00682,0.00016,0.00153,0.00370,0.00240,0.00216,0.01678
1403638541.678153514862061,0.00705,0.00018,0.00004,0.00398,0.00003,0.00215,0.01343
1403638541.728142499923706,0.00674,0.00018,0.00190,0.00381,0.00234,0.00205,0.01701
1403638541.778129816055298,0.00722,0.00018,0.00006,0.00397,0.00384,0.00208,0.01735
1403638541.828128099441528,0.00708,0.00018,0.00004,0.00452,0.00004,0.00200,0.01385
1403638541.878105163574219,0.00687,0.00017,0.00402,0.00448,0.00354,0.00201,0.02108
1403638541.928056478500366,0.00683,0.00018,0.00073,0.00525,0.00121,0.00207,0.01627
1403638541.978049039840698,0.00631,0.00019,0.00011,0.00531,0.00000,0.00203,0.01394
1403638542.028070926666260,0.00702,0.00017,0.00242,0.00505,0.00261,0.00204,0.01932
1403638542.078075885772705,0.00889,0.00019,0.00013,0.00519,0.00000,0.00243,0.01683
1403638542.128049135208130,0.00947,0.00017,0.00013,0.00469,0.00000,0.00239,0.01685
1403638542.178027391433716,0.00829,0.00018,0.00026,0.00432,0.00000,0.00228,0.01533
1403638542.228000879287720,0.01018,0.00016,0.00048,0.00398,0.00338,0.00232,0.02050
1403638542.277980804443359,0.00864,0.00018,0.00132,0.00399,0.00057,0.00238,0.01708
1403638542.327951908111572,0.00679,0.00017,0.00050,0.00407,0.00292,0.00237,0.01683
1403638542.377959251403809,0.00806,0.00018,0.00010,0.00431,0.00117,0.00216,0.01598
1403638542.427960634231567,0.00818,0.00017,0.00004,0.00403,0.00003,0.00219,0.01464
1403638542.477966070175171,0.00839,0.00017,0.00120,0.00339,0.00214,0.00224,0.01753
1403638542.527936697006226,0.00826,0.00016,0.00014,0.00310,0.00000,0.00223,0.01389
1403638542.577882528305054,0.00806,0.00016,0.00001,0.00308,0.00845,0.00227,0.02203
1403638542.627932548522949,0.00796,0.00018,0.00013,0.00381,0.00243,0.00225,0.01675
1403638542.677947998046875,0.00820,0.00016,0.00001,0.00403,0.00017,0.00237,0.01494
