# timestamp (sec),slam_feats_in_state,msckf_feats_used,slam_feats_updated,slam_feats_delayed_init,clones
1403715528.862618923187256,0,13,0,0,5
1403715528.907669067382812,14,28,0,14,6
1403715528.966361999511719,10,33,10,0,7
1403715529.016124963760376,8,20,2,0,8
1403715529.065191507339478,6,12,2,0,9
1403715529.114728212356567,2,2,2,0,10
1403715529.164661407470703,2,9,2,0,11
1403715529.214297056198120,2,10,2,0,11
1403715529.263909101486206,6,11,2,4,11
1403715529.313835382461548,7,11,6,1,11
1403715529.363690853118896,11,8,6,5,11
1403715529.413683652877808,14,12,8,6,11
1403715529.463684320449829,20,3,14,6,11
1403715529.513492107391357,34,4,20,14,11
1403715529.563435554504395,42,2,28,13,11
1403715529.613398313522339,42,3,39,2,11
1403715529.663412809371948,39,0,39,0,11
1403715529.713059425354004,38,3,37,1,11
1403715529.763036489486694,45,4,38,7,11
1403715529.813000679016113,48,2,45,3,11
1403715529.862920761108398,48,8,45,2,11
1403715529.912851333618164,49,22,46,2,11
1403715529.962906599044800,47,18,46,1,11
1403715530.012765884399414,48,14,43,3,11
1403715530.062634468078613,49,3,45,2,11
1403715530.112642049789429,48,1,47,1,11
1403715530.162830352783203,48,1,47,1,11
1403715530.213140726089478,50,2,48,2,11
1403715530.263336658477783,50,4,50,0,11
1403715530.313280105590820,50,6,50,0,11
1403715530.363116025924683,50,14,50,0,11
1403715530.412994861602783,49,4,49,0,11
1403715530.462727785110474,49,11,48,1,11
1403715530.512562274932861,50,18,48,1,11
1403715530.562490224838257,50,14,49,0,11
1403715530.612509965896606,49,17,49,0,11
1403715530.662515163421631,49,21,48,1,11
1403715530.712517976760864,48,1,46,0,11
1403715530.762502193450928,50,16,46,2,11
1403715530.812474727630615,47,7,47,0,11
1403715530.862467765808105,48,8,45,2,11
1403715530.912472963333130,49,1,47,1,11
1403715530.962483406066895,48,17,47,1,11
1403715531.012470483779907,49,5,46,2,11
1403715531.062439441680908,50,5,48,1,11
1403715531.112366437911987,49,14,49,0,11
1403715531.162331342697144,50,12,48,1,11
1403715531.212460994720459,48,16,46,0,11
1403715531.262499094009399,47,16,44,2,11
1403715531.312520980834961,46,0,45,0,11
1403715531.362411022186279,49,17,44,4,11
1403715531.412385225296021,47,12,46,1,11
1403715531.462395906448364,50,8,46,3,11
1403715531.512322664260864,48,12,47,0,11
1403715531.562214374542236,49,5,46,1,11
1403715531.612090110778809,48,5,46,0,11
1403715531.661993980407715,49,6,45,2,11
1403715531.711988687515259,49,11,47,1,11
1403715531.762070894241333,49,7,47,1,11
1403715531.812223434448242,46,13,44,1,11
1403715531.862311840057373,48,6,43,4,11
1403715531.912342309951782,47,1,44,1,11
1403715531.962303161621094,46,16,44,1,11
1403715532.012287855148315,49,3,45,4,11
1403715532.062291145324707,50,7,49,1,11
1403715532.112276792526245,50,10,50,0,11
1403715532.162274837493896,50,3,50,0,11
1403715532.212271213531494,48,2,48,0,11
1403715532.262247323989868,50,10,48,2,11
1403715532.312276124954224,49,7,48,0,11
1403715532.362255334854126,49,3,48,0,11
1403715532.412249088287354,49,5,48,1,11
1403715532.462256431579590,49,4,48,1,11
1403715532.512261629104614,49,1,49,0,11
1403715532.562280416488647,48,9,47,1,11
1403715532.612291336059570,50,1,47,2,11
1403715532.662313699722290,50,5,48,0,11
1403715532.712328433990479,48,4,47,0,11
1403715532.762343168258667,47,0,46,1,11
1403715532.812355279922485,47,0,47,0,11
1403715532.862354516983032,47,2,47,0,11
1403715532.912337303161621,47,1,47,0,11
1403715532.962327957153320,47,0,46,0,11
1403715533.012321949005127,45,0,45,0,11
1403715533.062316179275513,49,1,45,4,11
1403715533.112314224243164,48,4,48,0,11
1403715533.162304639816284,50,15,48,2,11
1403715533.212249517440796,49,4,49,0,11
1403715533.262219190597534,49,8,47,1,11
