# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715528.859530210494995,0.00281,0.00010,0.00056,0.00000,0.00000,0.00196,0.00544
1403715528.911250114440918,0.00329,0.00010,0.00177,0.00000,0.00056,0.00135,0.00708
1403715528.961242198944092,0.00321,0.00011,0.00021,0.00000,0.00000,0.00123,0.00476
1403715529.011242151260376,0.00228,0.00012,0.00013,0.00000,0.00000,0.00133,0.00387
1403715529.060601234436035,0.00274,0.00011,0.00012,0.00000,0.00000,0.00127,0.00424
1403715529.110778808593750,0.00258,0.00011,0.00021,0.00000,0.00000,0.00128,0.00419
1403715529.163186073303223,0.00289,0.00011,0.00051,0.00000,0.00000,0.00125,0.00475
1403715529.213186025619507,0.00312,0.00012,0.00025,0.00000,0.00000,0.00137,0.00485
1403715529.262040615081787,0.00322,0.00011,0.00064,0.00000,0.00096,0.00138,0.00631
1403715529.311616182327271,0.00273,0.00011,0.00050,0.00006,0.00089,0.00135,0.00564
1403715529.363026142120361,0.00277,0.00011,0.00076,0.00010,0.00029,0.00130,0.00534
1403715529.413239240646362,0.00348,0.00012,0.00060,0.00011,0.00000,0.00140,0.00571
1403715529.463933944702148,0.00230,0.00012,0.00085,0.00011,0.00074,0.00129,0.00540
1403715529.513571977615356,0.00305,0.00012,0.00088,0.00013,0.00333,0.00148,0.00900
1403715529.563554286956787,0.00303,0.00012,0.00019,0.00034,0.00000,0.00137,0.00506
1403715529.612761974334717,0.00318,0.00012,0.00050,0.00034,0.00250,0.00139,0.00803
1403715529.662447214126587,0.00230,0.00013,0.00027,0.00055,0.00096,0.00139,0.00560
1403715529.712305545806885,0.00239,0.00013,0.00015,0.00066,0.00137,0.00135,0.00605
1403715529.762144565582275,0.00218,0.00014,0.00026,0.00089,0.00540,0.00139,0.01025
1403715529.812284946441650,0.00283,0.00014,0.00051,0.00187,0.00574,0.00144,0.01252
1403715529.862244844436646,0.00326,0.00016,0.00005,0.00245,0.00155,0.00143,0.00890
1403715529.912537097930908,0.00235,0.00015,0.00049,0.00257,0.00200,0.00142,0.00897
1403715529.962652444839478,0.00238,0.00015,0.00293,0.00310,0.00623,0.00139,0.01619
1403715530.012810468673706,0.00295,0.00017,0.00089,0.00371,0.00000,0.00147,0.00919
1403715530.062829256057739,0.00251,0.00017,0.00499,0.00378,0.00224,0.00146,0.01514
1403715530.112957477569580,0.00243,0.00017,0.00289,0.00409,0.00001,0.00139,0.01097
1403715530.163105487823486,0.00241,0.00017,0.00229,0.00388,0.00294,0.00144,0.01314
1403715530.213215827941895,0.00318,0.00016,0.00023,0.00444,0.00018,0.00147,0.00966
1403715530.263296127319336,0.00260,0.00017,0.00023,0.00444,0.00018,0.00147,0.00909
1403715530.313369035720825,0.00295,0.00018,0.00049,0.00424,0.00000,0.00188,0.00974
1403715530.363415956497192,0.00296,0.00017,0.00282,0.00404,0.00109,0.00155,0.01262
1403715530.413468599319458,0.00273,0.00018,0.00314,0.00414,0.00108,0.00187,0.01314
1403715530.463539600372314,0.00288,0.00017,0.00045,0.00429,0.00018,0.00148,0.00945
1403715530.513588190078735,0.00259,0.00017,0.00087,0.00430,0.00059,0.00154,0.01005
1403715530.563370943069458,0.00242,0.00018,0.00829,0.00439,0.00000,0.00141,0.01669
1403715530.613338232040405,0.00250,0.00018,0.00013,0.00355,0.00000,0.00138,0.00775
1403715530.663187742233276,0.00227,0.00015,0.00140,0.00347,0.00627,0.00140,0.01496
1403715530.713059186935425,0.00221,0.00019,0.00337,0.00440,0.00000,0.00141,0.01158
1403715530.762970447540283,0.00220,0.00017,0.00745,0.00398,0.00000,0.00140,0.01520
1403715530.812965631484985,0.00308,0.00016,0.00037,0.00383,0.00057,0.00150,0.00951
1403715530.862935543060303,0.00246,0.00016,0.00051,0.00368,0.00045,0.00141,0.00867
1403715530.912861108779907,0.00266,0.00016,0.00115,0.00375,0.00000,0.00141,0.00914
1403715530.962815999984741,0.00293,0.00016,0.00028,0.00348,0.00110,0.00148,0.00944
1403715531.012780666351318,0.00250,0.00016,0.00002,0.00389,0.00158,0.00135,0.00951
1403715531.062703847885132,0.00253,0.00016,0.00035,0.00418,0.00031,0.00143,0.00896
1403715531.112598657608032,0.00239,0.00015,0.00047,0.00423,0.00000,0.00140,0.00865
1403715531.162535429000854,0.00242,0.00016,0.00271,0.00401,0.00369,0.00145,0.01444
1403715531.212500572204590,0.00256,0.00018,0.00048,0.00436,0.00016,0.00145,0.00918
1403715531.262423515319824,0.00236,0.00018,0.00017,0.00436,0.00118,0.00135,0.00961
1403715531.312325954437256,0.00220,0.00017,0.00234,0.00473,0.00073,0.00142,0.01158
1403715531.362171173095703,0.00236,0.00017,0.00728,0.00359,0.00122,0.00136,0.01599
1403715531.412200689315796,0.00303,0.00017,0.00012,0.00336,0.00035,0.00143,0.00845
1403715531.462206125259399,0.00239,0.00015,0.00024,0.00263,0.00046,0.00138,0.00726
1403715531.512179136276245,0.00254,0.00014,0.00033,0.00234,0.00704,0.00143,0.01383
1403715531.562088251113892,0.00217,0.00016,0.00031,0.00295,0.00015,0.00132,0.00707
1403715531.611989498138428,0.00225,0.00016,0.00039,0.00297,0.00013,0.00136,0.00726
1403715531.661892414093018,0.00214,0.00015,0.00008,0.00300,0.00030,0.00129,0.00695
1403715531.711877584457397,0.00288,0.00015,0.00008,0.00309,0.00000,0.00144,0.00763
1403715531.761922359466553,0.00240,0.00014,0.00045,0.00282,0.00107,0.00143,0.00831
1403715531.812000751495361,0.00241,0.00015,0.00011,0.00250,0.00000,0.00138,0.00656
1403715531.862032413482666,0.00235,0.00014,0.00017,0.00246,0.00001,0.00135,0.00647
1403715531.912022590637207,0.00240,0.00015,0.00072,0.00244,0.00234,0.00145,0.00950
1403715531.961942911148071,0.00235,0.00015,0.00503,0.00263,0.00794,0.00137,0.01947
1403715532.011944532394409,0.00223,0.00016,0.00004,0.00355,0.00034,0.00139,0.00771
1403715532.061949729919434,0.00216,0.00016,0.00009,0.00322,0.00191,0.00145,0.00899
1403715532.111937522888184,0.00249,0.00016,0.00017,0.00328,0.00064,0.00132,0.00807
1403715532.161956548690796,0.00235,0.00015,0.00005,0.00335,0.00035,0.00135,0.00760
1403715532.211957931518555,0.00226,0.00015,0.00079,0.00305,0.00101,0.00137,0.00862
1403715532.261907339096069,0.00218,0.00015,0.00297,0.00297,0.00667,0.00137,0.01632
1403715532.311895132064819,0.00229,0.00016,0.00001,0.00404,0.00000,0.00144,0.00794
1403715532.361889123916626,0.00244,0.00017,0.00009,0.00358,0.00020,0.00133,0.00782
1403715532.411878585815430,0.00228,0.00015,0.00038,0.00341,0.00000,0.00130,0.00753
1403715532.461895942687988,0.00249,0.00015,0.00039,0.00309,0.00013,0.00137,0.00763
1403715532.511922836303711,0.00240,0.00016,0.00008,0.00308,0.00030,0.00140,0.00741
1403715532.561958789825439,0.00227,0.00015,0.00109,0.00288,0.00617,0.00133,0.01389
1403715532.611981153488159,0.00243,0.00016,0.00017,0.00370,0.00034,0.00134,0.00815
1403715532.662012815475464,0.00230,0.00016,0.00025,0.00328,0.00310,0.00134,0.01043
1403715532.712028741836548,0.00249,0.00015,0.00006,0.00362,0.00018,0.00133,0.00783
1403715532.762039184570312,0.00252,0.00019,0.00037,0.00371,0.00046,0.00151,0.00876
1403715532.812043190002441,0.00233,0.00017,0.00013,0.00389,0.00028,0.00147,0.00826
1403715532.862046480178833,0.00238,0.00017,0.00058,0.00388,0.00184,0.00133,0.01018
1403715532.912020206451416,0.00238,0.00015,0.00001,0.00420,0.00000,0.00133,0.00808
1403715532.961998462677002,0.00258,0.00017,0.00007,0.00389,0.00021,0.00128,0.00820
1403715533.011974811553955,0.00269,0.00016,0.00021,0.00333,0.00299,0.00135,0.01073
1403715533.061958789825439,0.00225,0.00015,0.00045,0.00383,0.00014,0.00134,0.00816
1403715533.111943721771240,0.00332,0.00015,0.00038,0.00429,0.00046,0.00161,0.01020
1403715533.161924839019775,0.00276,0.00017,0.00061,0.00362,0.00153,0.00141,0.01011
