# timestamp (sec),slam_feats_in_state,msckf_feats_used,slam_feats_updated,slam_feats_delayed_init,clones
1403715893.789431571960449,0,15,0,0,5
1403715893.835382699966431,13,15,0,13,6
1403715893.883766412734985,13,0,13,0,7
1403715893.932621479034424,13,0,13,0,8
1403715893.982409954071045,13,0,13,0,9
1403715894.032268762588501,13,1,13,0,10
1403715894.081840991973877,13,0,13,0,11
1403715894.131721496582031,13,4,13,0,11
1403715894.181830406188965,17,3,12,5,11
1403715894.231458663940430,19,0,17,2,11
1403715894.281745910644531,27,0,19,8,11
1403715894.331745386123657,26,0,26,0,11
1403715894.382359027862549,31,3,26,5,11
1403715894.432948827743530,46,22,31,15,11
1403715894.483084201812744,49,0,45,4,11
1403715894.533018827438354,49,0,49,0,11
1403715894.582981109619141,50,1,49,1,11
1403715894.632936239242554,50,0,48,0,11
1403715894.682839393615723,50,1,49,0,11
1403715894.732902765274048,49,2,48,0,11
1403715894.783072948455811,48,0,47,1,11
1403715894.833150863647461,50,7,48,2,11
1403715894.883123636245728,50,1,49,0,11
1403715894.933128118515015,49,1,48,0,11
1403715894.983197927474976,48,8,47,1,11
1403715895.033342123031616,45,22,45,0,11
1403715895.083334684371948,43,0,42,0,11
1403715895.133321285247803,43,1,42,0,11
1403715895.183300018310547,44,1,41,2,11
1403715895.233309745788574,43,2,41,0,11
1403715895.283300161361694,42,2,40,1,11
1403715895.333227157592773,40,2,35,2,11
1403715895.383172750473022,40,1,37,0,11
1403715895.433104515075684,45,3,36,8,11
1403715895.483101844787598,46,0,44,1,11
1403715895.533186435699463,47,8,42,3,11
1403715895.583211421966553,49,3,43,2,11
1403715895.633263349533081,46,20,44,0,11
1403715895.683254718780518,46,0,44,2,11
1403715895.733252525329590,45,0,44,0,11
1403715895.783240556716919,44,0,40,0,11
1403715895.833232641220093,43,0,40,0,11
1403715895.883235216140747,42,3,37,2,11
1403715895.933223724365234,41,0,39,1,11
1403715895.983225584030151,41,1,38,0,11
1403715896.033243417739868,40,1,37,0,11
