# timestamp (sec),slam_feats_in_state,msckf_feats_used,slam_feats_updated,slam_feats_delayed_init,clones
1403715893.784058094024658,0,0,0,0,5
1403715893.834058046340942,0,0,0,0,6
1403715893.884057998657227,0,0,0,0,7
1403715893.934057950973511,0,0,0,0,8
1403715893.984057903289795,0,0,0,0,9
1403715894.034058094024658,0,0,0,0,10
1403715894.084058046340942,0,0,0,0,11
1403715894.134057998657227,0,0,0,0,11
1403715894.187606096267700,1,0,0,1,11
1403715894.234746456146240,8,0,1,7,11
1403715894.284756422042847,15,0,8,7,11
1403715894.334750890731812,15,0,15,0,11
1403715894.384858369827271,15,1,15,0,11
1403715894.434053659439087,50,30,15,35,11
1403715894.483865737915039,50,40,50,0,11
1403715894.533945560455322,50,7,50,0,11
1403715894.583980321884155,50,1,49,0,11
1403715894.634027242660522,49,0,48,0,11
1403715894.684077501296997,49,2,48,1,11
1403715894.734119892120361,48,2,48,0,11
1403715894.784173011779785,50,3,48,2,11
1403715894.834317445755005,50,10,50,0,11
1403715894.884300947189331,50,7,50,0,11
1403715894.934288501739502,49,2,48,0,11
1403715894.984239816665649,48,8,47,1,11
1403715895.034189939498901,49,36,47,2,11
1403715895.084212541580200,49,37,48,1,11
1403715895.134200334548950,50,10,49,1,11
1403715895.184176921844482,50,1,50,0,11
1403715895.234184980392456,48,4,48,0,11
1403715895.284148454666138,49,2,47,2,11
1403715895.334148645401001,47,5,46,1,11
1403715895.384160757064819,50,5,46,3,11
1403715895.434150218963623,50,13,49,0,11
1403715895.484151840209961,48,3,48,0,11
1403715895.534140110015869,48,1,47,1,11
1403715895.584139108657837,50,7,48,2,11
1403715895.634132623672485,49,39,49,0,11
1403715895.684104919433594,48,39,46,1,11
1403715895.734097719192505,49,6,46,2,11
1403715895.784084796905518,48,3,46,1,11
1403715895.834088563919067,50,2,48,2,11
1403715895.884072542190552,50,15,49,0,11
1403715895.934037923812866,48,15,48,0,11
1403715895.984026432037354,50,4,48,2,11
1403715896.034046411514282,49,14,49,0,11
1403715896.084055423736572,50,0,49,1,11
1403715896.134121179580688,50,1,49,0,11
1403715896.184072494506836,50,13,48,0,11
1403715896.234106540679932,49,25,49,0,11
1403715896.284115314483643,50,31,49,1,11
1403715896.334075212478638,50,8,49,0,11
1403715896.384073972702026,49,4,47,0,11
1403715896.434062480926514,47,11,44,1,11
