# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1413393217.155760526657104,0.00134,0.00009,0.00009,0.00000,0.00000,0.00083,0.00235
1413393217.205814838409424,0.00169,0.00011,0.00074,0.00000,0.00065,0.00082,0.00401
1413393217.256268978118896,0.00146,0.00010,0.00037,0.00006,0.00000,0.00097,0.00296
1413393217.306161403656006,0.00139,0.00010,0.00002,0.00006,0.00000,0.00090,0.00248
1413393217.356017112731934,0.00150,0.00010,0.00001,0.00006,0.00000,0.00106,0.00274
1413393217.406006336212158,0.00133,0.00010,0.00001,0.00006,0.00000,0.00070,0.00221
1413393217.455913066864014,0.00120,0.00010,0.00002,0.00006,0.00000,0.00142,0.00281
1413393217.505978107452393,0.00145,0.00010,0.00002,0.00007,0.00000,0.00074,0.00239
1413393217.555900335311890,0.00129,0.00010,0.00002,0.00006,0.00002,0.00146,0.00296
1413393217.606074094772339,0.00128,0.00011,0.00001,0.00007,0.00005,0.00071,0.00223
1413393217.655928134918213,0.00146,0.00012,0.00004,0.00007,0.00000,0.00147,0.00316
1413393217.706477165222168,0.00139,0.00010,0.00003,0.00007,0.00000,0.00075,0.00234
1413393217.756630897521973,0.00118,0.00011,0.00001,0.00007,0.00002,0.00158,0.00296
1413393217.807526350021362,0.00131,0.00010,0.00292,0.00006,0.00795,0.00093,0.01327
1413393217.857433557510376,0.00131,0.00013,0.00004,0.00100,0.00512,0.00083,0.00842
1413393217.907432317733765,0.00150,0.00015,0.00001,0.00163,0.00098,0.00074,0.00501
1413393217.957390308380127,0.00141,0.00019,0.00003,0.00183,0.00000,0.00111,0.00456
1413393218.007329940795898,0.00137,0.00013,0.00001,0.00179,0.00000,0.00095,0.00425
1413393218.057324171066284,0.00154,0.00020,0.00004,0.00181,0.00000,0.00116,0.00475
1413393218.107318162918091,0.00120,0.00015,0.00005,0.00181,0.00002,0.00089,0.00412
1413393218.157290220260620,0.00138,0.00019,0.00001,0.00179,0.00051,0.00109,0.00498
1413393218.207552433013916,0.00151,0.00015,0.00004,0.00186,0.00052,0.00081,0.00489
1413393218.257459163665771,0.00141,0.00014,0.00006,0.00191,0.00000,0.00076,0.00428
1413393218.307457208633423,0.00156,0.00013,0.00003,0.00179,0.00148,0.00097,0.00596
1413393218.356965065002441,0.00142,0.00014,0.00009,0.00201,0.00000,0.00097,0.00463
1413393218.406328439712524,0.00134,0.00013,0.00530,0.00208,0.00202,0.00095,0.01180
1413393218.456407308578491,0.00144,0.00014,0.00257,0.00236,0.00054,0.00082,0.00788
1413393218.506269693374634,0.00142,0.00015,0.00084,0.00237,0.00000,0.00077,0.00555
1413393218.556216955184937,0.00153,0.00015,0.00209,0.00230,0.00054,0.00102,0.00763
1413393218.606150627136230,0.00155,0.00014,0.00011,0.00221,0.00000,0.00076,0.00476
1413393218.656110286712646,0.00155,0.00014,0.00003,0.00220,0.00005,0.00079,0.00476
