# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1413393890.055914878845215,0.00199,0.00008,0.00025,0.00000,0.00000,0.00101,0.00333
1413393890.106530189514160,0.00169,0.00010,0.00092,0.00000,0.00161,0.00070,0.00502
1413393890.156435966491699,0.00183,0.00010,0.00003,0.00035,0.00000,0.00054,0.00286
1413393890.206271171569824,0.00190,0.00010,0.00012,0.00035,0.00000,0.00060,0.00306
1413393890.256265401840210,0.00195,0.00011,0.00015,0.00036,0.00000,0.00061,0.00319
1413393890.306318044662476,0.00200,0.00011,0.00015,0.00037,0.00000,0.00063,0.00326
1413393890.356474399566650,0.00182,0.00011,0.00014,0.00038,0.00000,0.00063,0.00307
1413393890.406503915786743,0.00200,0.00011,0.00027,0.00040,0.00000,0.00079,0.00357
1413393890.456317901611328,0.00190,0.00011,0.00018,0.00039,0.00063,0.00081,0.00402
1413393890.506465435028076,0.00180,0.00011,0.00003,0.00049,0.00161,0.00067,0.00472
1413393890.556353569030762,0.00199,0.00012,0.00028,0.00075,0.00286,0.00107,0.00707
1413393890.606460332870483,0.00200,0.00012,0.00030,0.00104,0.00746,0.00080,0.01172
1413393890.656611919403076,0.00181,0.00019,0.00031,0.00205,0.00059,0.00123,0.00619
1413393890.706751823425293,0.00176,0.00014,0.00517,0.00220,0.00054,0.00079,0.01060
1413393890.756830453872681,0.00175,0.00014,0.00051,0.00234,0.00053,0.00067,0.00595
1413393890.806870698928833,0.00181,0.00013,0.00005,0.00241,0.00002,0.00065,0.00507
1413393890.856847763061523,0.00201,0.00020,0.00166,0.00243,0.00053,0.00100,0.00784
1413393890.906837224960327,0.00190,0.00014,0.00005,0.00258,0.00000,0.00089,0.00556
1413393890.956799030303955,0.00216,0.00014,0.00055,0.00262,0.00000,0.00072,0.00618
1413393891.006781578063965,0.00200,0.00015,0.00005,0.00250,0.00000,0.00091,0.00562
1413393891.056674957275391,0.00202,0.00014,0.00085,0.00247,0.00000,0.00077,0.00624
1413393891.106560230255127,0.00188,0.00014,0.00050,0.00246,0.00000,0.00076,0.00575
1413393891.156514883041382,0.00181,0.00014,0.00026,0.00245,0.00055,0.00088,0.00609
1413393891.206501483917236,0.00179,0.00013,0.00005,0.00259,0.00000,0.00083,0.00538
1413393891.256495237350464,0.00187,0.00014,0.00005,0.00258,0.00000,0.00073,0.00536
1413393891.306581497192383,0.00187,0.00014,0.00413,0.00258,0.00000,0.00076,0.00948
1413393891.356608390808105,0.00224,0.00014,0.00058,0.00218,0.00000,0.00111,0.00624
1413393891.406577587127686,0.00247,0.00014,0.00063,0.00178,0.00002,0.00070,0.00574
1413393891.456466197967529,0.00198,0.00013,0.00004,0.00177,0.00238,0.00065,0.00696
1413393891.506311416625977,0.00231,0.00014,0.00061,0.00178,0.00064,0.00085,0.00633
1413393891.556146144866943,0.00293,0.00013,0.00006,0.00165,0.00000,0.00072,0.00550
1413393891.605919122695923,0.00258,0.00012,0.00006,0.00165,0.00004,0.00079,0.00524
1413393891.655754804611206,0.00238,0.00013,0.00010,0.00165,0.00187,0.00123,0.00735
1413393891.705664157867432,0.00234,0.00013,0.00014,0.00179,0.00051,0.00101,0.00591
1413393891.755578041076660,0.00211,0.00014,0.00022,0.00179,0.00000,0.00089,0.00515
1413393891.805484294891357,0.00204,0.00013,0.00003,0.00181,0.00000,0.00077,0.00478
1413393891.855486631393433,0.00209,0.00013,0.00006,0.00177,0.00097,0.00077,0.00580
1413393891.905409574508667,0.00210,0.00013,0.00310,0.00193,0.00349,0.00072,0.01145
1413393891.955437421798706,0.00255,0.00014,0.00376,0.00245,0.00000,0.00069,0.00960
1413393892.005413770675659,0.00305,0.00014,0.00115,0.00220,0.00054,0.00088,0.00796
1413393892.055449962615967,0.00257,0.00015,0.00057,0.00221,0.00105,0.00090,0.00745
1413393892.105588436126709,0.00313,0.00013,0.00247,0.00219,0.00102,0.00068,0.00962
1413393892.155573844909668,0.00251,0.00021,0.00082,0.00237,0.00129,0.00136,0.00856
1413393892.205577135086060,0.00266,0.00014,0.00065,0.00226,0.00000,0.00098,0.00669
1413393892.255557775497437,0.00276,0.00014,0.00048,0.00220,0.00099,0.00111,0.00769
1413393892.305531263351440,0.00264,0.00013,0.00007,0.00209,0.00000,0.00100,0.00594
1413393892.355493545532227,0.00238,0.00019,0.00041,0.00191,0.00109,0.00136,0.00735
1413393892.405427217483521,0.00314,0.00014,0.00097,0.00192,0.00002,0.00097,0.00716
1413393892.455393075942993,0.00287,0.00014,0.00056,0.00191,0.00000,0.00124,0.00672
1413393892.505351543426514,0.00233,0.00013,0.00189,0.00191,0.00442,0.00092,0.01161
1413393892.555356502532959,0.00264,0.00014,0.00223,0.00235,0.00000,0.00076,0.00812
1413393892.605370759963989,0.00256,0.00014,0.00028,0.00227,0.00154,0.00099,0.00779
1413393892.655372619628906,0.00277,0.00014,0.00176,0.00245,0.00062,0.00080,0.00855
1413393892.705384731292725,0.00288,0.00013,0.00264,0.00228,0.00107,0.00086,0.00987
1413393892.755395174026489,0.00298,0.00014,0.00113,0.00250,0.00109,0.00084,0.00869
1413393892.805376529693604,0.00274,0.00014,0.00254,0.00276,0.00001,0.00095,0.00914
1413393892.855349779129028,0.00280,0.00015,0.00100,0.00236,0.00159,0.00098,0.00887
1413393892.905327558517456,0.00323,0.00014,0.00217,0.00235,0.00055,0.00092,0.00936
1413393892.955349445343018,0.00295,0.00014,0.00235,0.00216,0.00051,0.00088,0.00900
1413393893.005368947982788,0.00267,0.00014,0.00286,0.00187,0.00110,0.00086,0.00952
1413393893.055393457412720,0.00303,0.00013,0.00034,0.00186,0.00056,0.00140,0.00732
1413393893.105406045913696,0.00277,0.00014,0.00004,0.00197,0.00296,0.00117,0.00905
1413393893.155432939529419,0.00249,0.00014,0.00257,0.00224,0.00229,0.00119,0.01092
1413393893.205430746078491,0.00277,0.00014,0.00229,0.00268,0.00057,0.00106,0.00951
1413393893.255430698394775,0.00267,0.00014,0.00386,0.00275,0.00001,0.00090,0.01034
1413393893.305431842803955,0.00254,0.00014,0.00343,0.00237,0.00106,0.00091,0.01045
1413393893.355454921722412,0.00269,0.00014,0.00231,0.00249,0.00110,0.00128,0.01001
1413393893.405491113662720,0.00301,0.00015,0.00299,0.00247,0.00056,0.00125,0.01043
1413393893.455507993698120,0.00290,0.00021,0.00327,0.00253,0.00112,0.00137,0.01139
1413393893.505526065826416,0.00277,0.00015,0.00409,0.00236,0.00001,0.00100,0.01037
1413393893.555529117584229,0.00267,0.00020,0.00042,0.00228,0.00210,0.00135,0.00900
1413393893.605508565902710,0.00268,0.00014,0.00402,0.00255,0.00056,0.00104,0.01099
1413393893.655495643615723,0.00268,0.00015,0.00049,0.00240,0.00053,0.00093,0.00718
1413393893.705484628677368,0.00272,0.00015,0.00049,0.00225,0.00052,0.00093,0.00707
1413393893.755480289459229,0.00268,0.00014,0.00208,0.00236,0.00255,0.00089,0.01069
1413393893.805486917495728,0.00273,0.00014,0.00255,0.00249,0.00055,0.00104,0.00950
1413393893.855493545532227,0.00279,0.00015,0.00430,0.00225,0.00101,0.00130,0.01182
1413393893.905489921569824,0.00300,0.00013,0.00239,0.00196,0.00150,0.00099,0.00997
1413393893.955482482910156,0.00278,0.00014,0.00123,0.00184,0.00002,0.00084,0.00685
1413393894.005467891693115,0.00250,0.00013,0.00082,0.00157,0.00243,0.00078,0.00823
1413393894.055459499359131,0.00224,0.00013,0.00080,0.00169,0.00189,0.00076,0.00751
