# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403636624.661420822143555,0.00219,0.00008,0.00030,0.00000,0.00000,0.00075,0.00333
1403636624.712894201278687,0.00230,0.00009,0.00122,0.00000,0.00235,0.00098,0.00693
1403636624.762533187866211,0.00237,0.00011,0.00109,0.00043,0.00000,0.00061,0.00461
1403636624.812118768692017,0.00241,0.00010,0.00011,0.00033,0.00000,0.00069,0.00364
1403636624.861799240112305,0.00210,0.00011,0.00012,0.00034,0.00000,0.00067,0.00335
1403636624.912004947662354,0.00278,0.00011,0.00016,0.00024,0.00000,0.00071,0.00400
1403636624.962026119232178,0.00205,0.00012,0.00039,0.00011,0.00000,0.00069,0.00336
1403636625.011967420578003,0.00209,0.00010,0.00019,0.00007,0.00000,0.00071,0.00317
1403636625.063999414443970,0.00253,0.00011,0.00010,0.00002,0.00075,0.00073,0.00424
1403636625.114559888839722,0.00260,0.00010,0.00026,0.00002,0.00008,0.00074,0.00381
1403636625.166125297546387,0.00228,0.00010,0.00032,0.00002,0.00038,0.00074,0.00384
1403636625.217651844024658,0.00246,0.00010,0.00123,0.00001,0.00000,0.00074,0.00455
1403636625.267600774765015,0.00290,0.00010,0.00042,0.00001,0.00000,0.00074,0.00417
1403636625.315933465957642,0.00223,0.00010,0.00020,0.00000,0.00417,0.00074,0.00744
1403636625.367305278778076,0.00241,0.00011,0.00025,0.00017,0.00285,0.00087,0.00666
1403636625.418151855468750,0.00247,0.00012,0.00035,0.00023,0.00000,0.00078,0.00395
1403636625.468171834945679,0.00271,0.00012,0.00007,0.00012,0.00029,0.00077,0.00409
1403636625.518200635910034,0.00231,0.00011,0.00016,0.00007,0.00027,0.00080,0.00372
1403636625.568206071853638,0.00246,0.00010,0.00008,0.00004,0.00015,0.00083,0.00366
1403636625.618208408355713,0.00208,0.00010,0.00005,0.00004,0.00080,0.00085,0.00392
1403636625.668208360671997,0.00223,0.00011,0.00004,0.00001,0.00087,0.00080,0.00407
1403636625.718217134475708,0.00252,0.00010,0.00034,0.00001,0.00008,0.00079,0.00384
1403636625.768202781677246,0.00252,0.00010,0.00028,0.00000,0.00009,0.00077,0.00376
1403636625.818164110183716,0.00241,0.00010,0.00052,0.00000,0.00130,0.00074,0.00507
1403636625.868122100830078,0.00294,0.00010,0.00036,0.00000,0.00000,0.00071,0.00410
1403636625.918092489242554,0.00261,0.00010,0.00051,0.00000,0.00055,0.00072,0.00448
1403636625.967936277389526,0.00270,0.00010,0.00037,0.00000,0.00053,0.00073,0.00443
1403636626.017759799957275,0.00359,0.00010,0.00020,0.00000,0.00000,0.00074,0.00463
1403636626.067548274993896,0.00230,0.00010,0.00028,0.00000,0.00032,0.00075,0.00375
1403636626.116375684738159,0.00298,0.00010,0.00036,0.00004,0.00097,0.00075,0.00520
1403636626.165505886077881,0.00251,0.00010,0.00047,0.00008,0.00079,0.00076,0.00472
1403636626.215610742568970,0.00266,0.00011,0.00045,0.00010,0.00113,0.00075,0.00520
1403636626.266012191772461,0.00285,0.00011,0.00068,0.00015,0.00059,0.00077,0.00516
1403636626.316635131835938,0.00233,0.00011,0.00057,0.00019,0.00142,0.00087,0.00550
1403636626.366691827774048,0.00212,0.00011,0.00012,0.00023,0.00032,0.00076,0.00368
1403636626.416688680648804,0.00258,0.00011,0.00016,0.00025,0.00200,0.00080,0.00590
1403636626.466667413711548,0.00232,0.00011,0.00012,0.00042,0.00191,0.00081,0.00568
1403636626.516597509384155,0.00286,0.00012,0.00019,0.00063,0.00288,0.00081,0.00749
1403636626.566553831100464,0.00231,0.00012,0.00066,0.00087,0.00274,0.00082,0.00752
1403636626.616527557373047,0.00230,0.00013,0.00005,0.00120,0.00005,0.00087,0.00460
1403636626.666818141937256,0.00228,0.00012,0.00006,0.00120,0.00210,0.00084,0.00661
1403636626.717111110687256,0.00236,0.00013,0.00003,0.00140,0.00052,0.00084,0.00528
1403636626.767460584640503,0.00228,0.00013,0.00001,0.00134,0.00017,0.00085,0.00478
1403636626.817776679992676,0.00237,0.00013,0.00007,0.00117,0.00065,0.00086,0.00526
1403636626.868034839630127,0.00243,0.00013,0.00012,0.00108,0.00055,0.00088,0.00519
1403636626.918359756469727,0.00252,0.00012,0.00006,0.00100,0.00028,0.00085,0.00484
1403636626.968369245529175,0.00242,0.00013,0.00018,0.00103,0.00023,0.00089,0.00487
1403636627.018527984619141,0.00238,0.00012,0.00004,0.00111,0.00048,0.00087,0.00500
1403636627.068557262420654,0.00306,0.00012,0.00010,0.00111,0.00015,0.00091,0.00545
