# timestamp (sec),slam_feats_in_state,msckf_feats_used,slam_feats_updated,slam_feats_delayed_init,clones
1403636624.662684679031372,0,8,0,0,5
1403636624.712534904479980,18,31,0,18,6
1403636624.762533426284790,17,19,15,0,7
1403636624.812196731567383,17,2,14,0,8
1403636624.862218141555786,16,4,13,1,9
1403636624.912767887115479,14,3,12,0,10
1403636624.962951183319092,13,1,11,0,11
1403636625.013272285461426,13,0,7,0,11
1403636625.063335418701172,14,2,5,3,11
1403636625.113250494003296,11,0,4,1,11
1403636625.164219141006470,10,1,2,3,11
1403636625.214573144912720,9,3,3,2,11
1403636625.264679670333862,7,12,4,0,11
1403636625.314428329467773,24,8,4,19,11
1403636625.365134477615356,34,2,16,11,11
1403636625.415856599807739,34,2,22,0,11
1403636625.466027498245239,28,0,12,1,11
1403636625.516072034835815,22,2,9,0,11
1403636625.566069841384888,13,0,9,0,11
1403636625.616045951843262,9,0,9,0,11
1403636625.665985584259033,9,0,9,0,11
1403636625.715228796005249,10,2,9,1,11
1403636625.764428138732910,12,4,10,2,11
1403636625.814127206802368,15,7,10,3,11
1403636625.863838672637939,17,5,12,2,11
1403636625.913597583770752,19,3,13,4,11
1403636625.963537454605103,16,7,15,0,11
1403636626.013534307479858,15,0,13,0,11
1403636626.063559770584106,14,0,10,0,11
1403636626.113576650619507,12,2,9,0,11
1403636626.163578033447266,12,5,8,2,11
1403636626.213564872741699,14,1,8,3,11
1403636626.263544797897339,13,2,11,0,11
1403636626.313548326492310,15,1,9,4,11
1403636626.363557815551758,14,2,10,0,11
1403636626.413504838943481,16,1,9,3,11
1403636626.463494300842285,15,0,12,2,11
1403636626.513590097427368,18,1,13,5,11
1403636626.563595294952393,25,0,18,7,11
1403636626.613584280014038,25,1,25,0,11
1403636626.663600206375122,26,0,25,1,11
1403636626.713539838790894,30,0,26,4,11
1403636626.763651132583618,34,0,30,4,11
1403636626.813603162765503,35,0,34,1,11
1403636626.863508939743042,37,0,35,2,11
1403636626.913455724716187,39,0,36,2,11
1403636626.963411331176758,43,0,35,4,11
1403636627.013464689254761,44,1,39,2,11
1403636627.063459396362305,42,6,39,2,11
1403636627.113425254821777,43,2,41,1,11
1403636627.163328170776367,44,0,41,2,11
1403636627.213127136230469,44,0,43,0,11
1403636627.262896537780762,43,0,41,0,11
1403636627.312823057174683,43,0,41,0,11
1403636627.362843275070190,42,0,39,1,11
1403636627.412840366363525,42,0,39,0,11
1403636627.462843179702759,41,0,36,1,11
1403636627.512904882431030,40,1,38,0,11
1403636627.562933444976807,38,1,36,1,11
1403636627.612916231155396,38,0,37,0,11
1403636627.662800312042236,39,2,37,2,11
1403636627.712747812271118,39,3,38,0,11
1403636627.762676715850830,38,0,37,0,11
1403636627.812649965286255,37,1,36,0,11
1403636627.862628698348999,37,0,34,1,11
1403636627.912653207778931,36,0,35,0,11
1403636627.962739229202271,36,0,32,2,11
1403636628.012865781784058,34,1,31,0,11
1403636628.063098430633545,33,0,31,1,11
1403636628.113391876220703,37,0,31,5,11
1403636628.163511276245117,38,0,34,1,11
1403636628.213566780090332,35,3,32,0,11
1403636628.263575077056885,33,1,29,0,11
1403636628.313596010208130,33,1,28,2,11
1403636628.363568544387817,31,1,28,0,11
1403636628.413540363311768,32,2,28,2,11
1403636628.463494777679443,31,0,29,1,11
1403636628.513467550277710,31,0,29,0,11
1403636628.563423156738281,29,2,26,1,11
1403636628.613409280776978,27,1,26,0,11
1403636628.663397789001465,26,1,26,0,11
1403636628.713380336761475,25,0,25,0,11
1403636628.763329744338989,28,0,24,3,11
1403636628.813294887542725,29,1,27,1,11
1403636628.863263845443726,30,0,27,2,11
1403636628.913262128829956,31,1,28,2,11
1403636628.963283538818359,35,0,29,5,11
1403636629.013283491134644,35,0,33,0,11
1403636629.063274145126343,36,0,33,2,11
1403636629.113258838653564,36,0,32,1,11
1403636629.163269758224487,36,0,31,0,11
1403636629.213242530822754,33,0,31,0,11
1403636629.263227701187134,31,2,30,0,11
1403636629.313219070434570,33,1,29,2,11
1403636629.363169908523560,32,1,30,0,11
1403636629.413131237030029,32,0,28,1,11
1403636629.463141441345215,31,1,28,0,11
1403636629.513121604919434,32,3,28,3,11
1403636629.563229560852051,31,0,30,1,11
1403636629.613343477249146,31,0,31,0,11
1403636629.663441181182861,31,0,28,0,11
1403636629.713499784469604,34,0,26,3,11
1403636629.763529777526855,29,0,24,2,11
1403636629.813540220260620,26,0,23,0,11
1403636629.863543033599854,25,0,22,0,11
1403636629.913546562194824,25,0,21,2,11
1403636629.963545560836792,24,0,20,1,11
1403636630.013547420501709,22,0,20,1,11
1403636630.063550472259521,20,1,18,2,11
1403636630.113559246063232,20,3,19,1,11
1403636630.163568735122681,20,0,19,0,11
1403636630.213578701019287,20,0,18,0,11
1403636630.263591051101685,18,1,16,1,11
1403636630.313607692718506,19,3,17,2,11
1403636630.363597393035889,20,0,18,1,11
1403636630.413590431213379,20,0,18,0,11
1403636630.463566064834595,25,0,17,6,11
1403636630.513575792312622,25,0,23,1,11
1403636630.563570976257324,25,1,23,0,11
1403636630.613571643829346,23,1,21,0,11
1403636630.663580894470215,22,1,20,0,11
1403636630.713591814041138,22,0,20,1,11
1403636630.763609647750854,23,0,20,2,11
1403636630.813619136810303,23,0,21,0,11
1403636630.863625049591064,25,0,21,3,11
1403636630.913629055023193,26,0,24,2,11
1403636630.963627099990845,26,2,24,0,11
1403636631.013621807098389,33,0,24,7,11
1403636631.063626050949097,34,0,31,3,11
1403636631.113608360290527,34,0,34,0,11
1403636631.163608074188232,34,0,33,0,11
1403636631.213611841201782,34,0,33,0,11
1403636631.263606071472168,33,0,32,1,11
1403636631.313607692718506,32,0,31,0,11
1403636631.363627910614014,35,0,31,3,11
1403636631.413640499114990,33,0,31,0,11
1403636631.463656187057495,34,0,30,1,11
1403636631.513666391372681,33,0,31,1,11
1403636631.563668251037598,32,0,31,0,11
1403636631.613678455352783,31,0,30,0,11
1403636631.663683176040649,30,0,30,0,11
1403636631.713685035705566,31,0,30,1,11
1403636631.763695240020752,31,0,31,0,11
1403636631.813716888427734,43,0,30,13,11
1403636631.863721132278442,44,0,42,1,11
1403636631.913736343383789,43,0,43,0,11
1403636631.963707208633423,43,0,41,0,11
1403636632.013664484024048,43,0,41,1,11
1403636632.063665151596069,42,0,42,0,11
1403636632.113677740097046,42,0,41,1,11
1403636632.163684606552124,42,0,42,0,11
1403636632.213680744171143,42,0,42,0,11
1403636632.263692855834961,42,1,42,0,11
1403636632.313709259033203,42,0,42,0,11
1403636632.363734245300293,42,0,41,0,11
1403636632.413749933242798,42,0,41,0,11
1403636632.463757276535034,42,1,41,1,11
1403636632.513751029968262,41,0,41,0,11
1403636632.563744306564331,41,0,41,0,11
1403636632.613737821578979,41,0,41,0,11
1403636632.663736343383789,41,0,41,0,11
1403636632.713741540908813,41,0,39,0,11
1403636632.763738632202148,42,0,39,1,11
1403636632.813727855682373,40,0,40,0,11
1403636632.863725900650024,40,0,39,1,11
1403636632.913738250732422,39,0,39,0,11
1403636632.963748693466187,39,0,38,0,11
1403636633.013762950897217,38,0,36,0,11
1403636633.063763141632080,37,0,36,0,11
1403636633.113753318786621,36,0,36,0,11
1403636633.163742303848267,36,0,36,0,11
1403636633.213736295700073,36,0,36,0,11
1403636633.263721704483032,36,0,36,0,11
1403636633.313706874847412,36,0,36,0,11
1403636633.363705635070801,38,0,36,2,11
1403636633.413713455200195,40,0,38,2,11
1403636633.463705539703369,39,0,39,0,11
1403636633.513695716857910,39,0,38,0,11
1403636633.563683271408081,39,0,38,0,11
1403636633.613692283630371,38,0,38,0,11
1403636633.663700103759766,38,0,38,0,11
1403636633.713711023330688,48,5,38,10,11
1403636633.763718128204346,48,0,48,0,11
1403636633.813725233078003,48,0,47,0,11
1403636633.863735198974609,47,0,45,0,11
1403636633.913734912872314,46,0,45,0,11
1403636633.963718175888062,46,0,43,1,11
1403636634.013729572296143,44,0,39,0,11
1403636634.063741683959961,43,0,37,1,11
1403636634.113754749298096,41,0,37,2,11
1403636634.163761854171753,37,0,35,1,11
1403636634.213783502578735,35,0,34,0,11
1403636634.263787508010864,36,0,34,2,11
1403636634.313779592514038,37,0,29,5,11
