# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403636624.662684679031372,0.00282,0.00013,0.00046,0.00000,0.00000,0.00187,0.00528
1403636624.712534904479980,0.00509,0.00025,0.00644,0.00000,0.00657,0.00208,0.02043
1403636624.762533426284790,0.00314,0.00015,0.00229,0.00053,0.00000,0.00261,0.00872
1403636624.812196731567383,0.00288,0.00015,0.00014,0.00049,0.00000,0.00193,0.00559
1403636624.862218141555786,0.00288,0.00015,0.00022,0.00045,0.00012,0.00158,0.00540
1403636624.912767887115479,0.00307,0.00015,0.00023,0.00046,0.00001,0.00170,0.00562
1403636624.962951183319092,0.00293,0.00016,0.00018,0.00041,0.00001,0.00164,0.00534
1403636625.013272285461426,0.00248,0.00016,0.00013,0.00028,0.00000,0.00170,0.00476
1403636625.063335418701172,0.00271,0.00016,0.00046,0.00022,0.00233,0.00173,0.00761
1403636625.113250494003296,0.00243,0.00015,0.00026,0.00021,0.00010,0.00166,0.00481
1403636625.164219141006470,0.00346,0.00015,0.00047,0.00015,0.00130,0.00170,0.00723
1403636625.214573144912720,0.00260,0.00015,0.00042,0.00015,0.00062,0.00167,0.00563
1403636625.264679670333862,0.00357,0.00015,0.00114,0.00019,0.00001,0.00177,0.00683
1403636625.314428329467773,0.00291,0.00014,0.00101,0.00017,0.01227,0.00174,0.01823
1403636625.365134477615356,0.00253,0.00016,0.00023,0.00085,0.00575,0.00171,0.01123
1403636625.415856599807739,0.00235,0.00018,0.00029,0.00127,0.00000,0.00169,0.00579
1403636625.466027498245239,0.00237,0.00018,0.00017,0.00079,0.00086,0.00163,0.00599
1403636625.516072034835815,0.00234,0.00017,0.00036,0.00056,0.00072,0.00165,0.00579
1403636625.566069841384888,0.00232,0.00016,0.00015,0.00047,0.00011,0.00161,0.00481
1403636625.616045951843262,0.00226,0.00015,0.00012,0.00041,0.00104,0.00163,0.00561
1403636625.665985584259033,0.00240,0.00015,0.00001,0.00042,0.00059,0.00166,0.00523
1403636625.715228796005249,0.00275,0.00014,0.00053,0.00039,0.00066,0.00164,0.00612
1403636625.764428138732910,0.00294,0.00014,0.00058,0.00045,0.00088,0.00161,0.00660
1403636625.814127206802368,0.00310,0.00015,0.00138,0.00043,0.00229,0.00160,0.00895
1403636625.863838672637939,0.00312,0.00016,0.00075,0.00055,0.00084,0.00161,0.00702
1403636625.913597583770752,0.00303,0.00016,0.00111,0.00060,0.00292,0.00155,0.00937
1403636625.963537454605103,0.00299,0.00016,0.00093,0.00069,0.00030,0.00156,0.00663
1403636626.013534307479858,0.00287,0.00014,0.00018,0.00060,0.00000,0.00153,0.00533
1403636626.063559770584106,0.00309,0.00016,0.00017,0.00047,0.00027,0.00158,0.00574
1403636626.113576650619507,0.00287,0.00016,0.00035,0.00039,0.00039,0.00161,0.00577
1403636626.163578033447266,0.00325,0.00016,0.00052,0.00033,0.00048,0.00162,0.00636
1403636626.213564872741699,0.00288,0.00015,0.00038,0.00036,0.00117,0.00160,0.00653
1403636626.263544797897339,0.00236,0.00015,0.00053,0.00046,0.00018,0.00159,0.00526
1403636626.313548326492310,0.00240,0.00014,0.00018,0.00036,0.00309,0.00162,0.00779
1403636626.363557815551758,0.00271,0.00015,0.00020,0.00052,0.00075,0.00163,0.00596
1403636626.413504838943481,0.00230,0.00015,0.00031,0.00048,0.00212,0.00163,0.00700
1403636626.463494300842285,0.00244,0.00013,0.00016,0.00062,0.00090,0.00156,0.00580
1403636626.513590097427368,0.00306,0.00015,0.00058,0.00066,0.00413,0.00158,0.01017
1403636626.563595294952393,0.00307,0.00016,0.00015,0.00123,0.00658,0.00166,0.01285
1403636626.613584280014038,0.00275,0.00016,0.00033,0.00231,0.00058,0.00164,0.00776
1403636626.663600206375122,0.00240,0.00016,0.00020,0.00230,0.00068,0.00162,0.00736
1403636626.713539838790894,0.00239,0.00016,0.00004,0.00248,0.00304,0.00167,0.00977
1403636626.763651132583618,0.00247,0.00016,0.00001,0.00260,0.00325,0.00167,0.01016
1403636626.813603162765503,0.00247,0.00018,0.00001,0.00301,0.00058,0.00185,0.00811
1403636626.863508939743042,0.00268,0.00017,0.00005,0.00303,0.00173,0.00173,0.00939
1403636626.913455724716187,0.00243,0.00017,0.00005,0.00327,0.00308,0.00165,0.01065
1403636626.963411331176758,0.00250,0.00017,0.00007,0.00310,0.00257,0.00172,0.01013
1403636627.013464689254761,0.00241,0.00019,0.00057,0.00360,0.00240,0.00165,0.01082
1403636627.063459396362305,0.00268,0.00020,0.00290,0.00354,0.00102,0.00164,0.01196
1403636627.113425254821777,0.00226,0.00017,0.00144,0.00390,0.00111,0.00167,0.01055
1403636627.163328170776367,0.00226,0.00017,0.00009,0.00393,0.00086,0.00155,0.00886
1403636627.213127136230469,0.00224,0.00017,0.00001,0.00419,0.00057,0.00161,0.00880
1403636627.262896537780762,0.00245,0.00019,0.00005,0.00401,0.00010,0.00159,0.00839
1403636627.312823057174683,0.00224,0.00017,0.00001,0.00391,0.00049,0.00156,0.00839
1403636627.362843275070190,0.00223,0.00017,0.00010,0.00351,0.00037,0.00156,0.00794
1403636627.412840366363525,0.00224,0.00017,0.00004,0.00362,0.00000,0.00160,0.00767
1403636627.462843179702759,0.00222,0.00018,0.00006,0.00317,0.00017,0.00156,0.00736
1403636627.512904882431030,0.00222,0.00016,0.00039,0.00336,0.00125,0.00169,0.00907
1403636627.562933444976807,0.00223,0.00018,0.00040,0.00314,0.00036,0.00160,0.00791
1403636627.612916231155396,0.00288,0.00019,0.00001,0.00333,0.00013,0.00168,0.00822
1403636627.662800312042236,0.00218,0.00019,0.00106,0.00327,0.00107,0.00163,0.00939
1403636627.712747812271118,0.00232,0.00017,0.00221,0.00340,0.00060,0.00161,0.01030
1403636627.762676715850830,0.00238,0.00017,0.00009,0.00324,0.00010,0.00158,0.00757
1403636627.812649965286255,0.00222,0.00017,0.00034,0.00310,0.00057,0.00155,0.00795
1403636627.862628698348999,0.00221,0.00016,0.00007,0.00277,0.00066,0.00159,0.00746
1403636627.912653207778931,0.00220,0.00018,0.00010,0.00287,0.00045,0.00239,0.00818
1403636627.962739229202271,0.00340,0.00019,0.00012,0.00265,0.00086,0.00167,0.00889
1403636628.012865781784058,0.00285,0.00017,0.00020,0.00267,0.00000,0.00235,0.00824
1403636628.063098430633545,0.00302,0.00017,0.00011,0.00279,0.00054,0.00163,0.00824
1403636628.113391876220703,0.00268,0.00016,0.00008,0.00255,0.00316,0.00271,0.01134
1403636628.163511276245117,0.00296,0.00017,0.00010,0.00271,0.00215,0.00160,0.00969
1403636628.213566780090332,0.00265,0.00017,0.00062,0.00258,0.00006,0.00159,0.00767
1403636628.263575077056885,0.00249,0.00017,0.00046,0.00226,0.00042,0.00152,0.00730
1403636628.313596010208130,0.00231,0.00017,0.00072,0.00218,0.00162,0.00154,0.00854
1403636628.363568544387817,0.00220,0.00016,0.00089,0.00209,0.00009,0.00146,0.00689
1403636628.413540363311768,0.00306,0.00016,0.00076,0.00214,0.00115,0.00156,0.00883
1403636628.463494777679443,0.00236,0.00015,0.00023,0.00233,0.00019,0.00154,0.00680
1403636628.513467550277710,0.00236,0.00016,0.00006,0.00236,0.00096,0.00158,0.00748
1403636628.563423156738281,0.00226,0.00016,0.00036,0.00230,0.00052,0.00158,0.00718
1403636628.613409280776978,0.00217,0.00016,0.00039,0.00227,0.00001,0.00162,0.00661
1403636628.663397789001465,0.00228,0.00017,0.00037,0.00234,0.00001,0.00157,0.00674
1403636628.713380336761475,0.00220,0.00015,0.00009,0.00219,0.00058,0.00154,0.00674
1403636628.763329744338989,0.00259,0.00016,0.00004,0.00205,0.00178,0.00165,0.00827
1403636628.813294887542725,0.00257,0.00016,0.00048,0.00227,0.00058,0.00154,0.00759
1403636628.863263845443726,0.00225,0.00017,0.00015,0.00225,0.00129,0.00153,0.00764
1403636628.913262128829956,0.00224,0.00016,0.00017,0.00238,0.00209,0.00157,0.00861
1403636628.963283538818359,0.00234,0.00016,0.00011,0.00243,0.00588,0.00154,0.01246
1403636629.013283491134644,0.00225,0.00016,0.00001,0.00285,0.00045,0.00156,0.00728
1403636629.063274145126343,0.00222,0.00016,0.00003,0.00277,0.00072,0.00155,0.00745
1403636629.113258838653564,0.00228,0.00016,0.00018,0.00275,0.00096,0.00150,0.00784
1403636629.163269758224487,0.00334,0.00017,0.00001,0.00289,0.00003,0.00169,0.00815
1403636629.213242530822754,0.00251,0.00017,0.00014,0.00290,0.00010,0.00161,0.00743
1403636629.263227701187134,0.00254,0.00016,0.00036,0.00277,0.00003,0.00162,0.00747
1403636629.313219070434570,0.00244,0.00016,0.00020,0.00256,0.00290,0.00169,0.00996
1403636629.363169908523560,0.00244,0.00016,0.00063,0.00279,0.00035,0.00160,0.00797
1403636629.413131237030029,0.00240,0.00015,0.00010,0.00253,0.00022,0.00161,0.00702
1403636629.463141441345215,0.00238,0.00016,0.00020,0.00248,0.00030,0.00161,0.00712
1403636629.513121604919434,0.00232,0.00015,0.00039,0.00257,0.00295,0.00161,0.01000
1403636629.563229560852051,0.00255,0.00016,0.00024,0.00273,0.00077,0.00156,0.00801
1403636629.613343477249146,0.00228,0.00016,0.00005,0.00290,0.00022,0.00155,0.00716
1403636629.663441181182861,0.00229,0.00016,0.00010,0.00246,0.00007,0.00150,0.00657
1403636629.713499784469604,0.00278,0.00016,0.00072,0.00227,0.00447,0.00157,0.01198
1403636629.763529777526855,0.00246,0.00016,0.00032,0.00210,0.00022,0.00155,0.00681
1403636629.813540220260620,0.00230,0.00015,0.00020,0.00222,0.00002,0.00157,0.00647
1403636629.863543033599854,0.00227,0.00015,0.00009,0.00210,0.00003,0.00157,0.00622
1403636629.913546562194824,0.00341,0.00016,0.00011,0.00192,0.00114,0.00220,0.00893
1403636629.963545560836792,0.00320,0.00015,0.00008,0.00164,0.00053,0.00155,0.00716
1403636630.013547420501709,0.00280,0.00015,0.00015,0.00151,0.00012,0.00156,0.00628
1403636630.063550472259521,0.00250,0.00014,0.00029,0.00123,0.00150,0.00159,0.00725
1403636630.113559246063232,0.00256,0.00015,0.00064,0.00137,0.00098,0.00158,0.00727
1403636630.163568735122681,0.00252,0.00015,0.00031,0.00135,0.00032,0.00148,0.00614
1403636630.213578701019287,0.00315,0.00015,0.00025,0.00123,0.00000,0.00158,0.00636
1403636630.263591051101685,0.00249,0.00015,0.00051,0.00104,0.00104,0.00158,0.00681
1403636630.313607692718506,0.00238,0.00014,0.00123,0.00112,0.00152,0.00151,0.00789
1403636630.363597393035889,0.00252,0.00014,0.00001,0.00127,0.00044,0.00149,0.00588
1403636630.413590431213379,0.00222,0.00014,0.00003,0.00124,0.00000,0.00156,0.00519
1403636630.463566064834595,0.00299,0.00016,0.00016,0.00113,0.00517,0.00160,0.01121
1403636630.513575792312622,0.00236,0.00015,0.00013,0.00192,0.00013,0.00154,0.00623
1403636630.563570976257324,0.00225,0.00015,0.00042,0.00196,0.00006,0.00149,0.00633
1403636630.613571643829346,0.00222,0.00014,0.00060,0.00174,0.00001,0.00154,0.00624
1403636630.663580894470215,0.00204,0.00017,0.00017,0.00158,0.00019,0.00155,0.00570
1403636630.713591814041138,0.00209,0.00014,0.00013,0.00157,0.00018,0.00153,0.00564
1403636630.763609647750854,0.00236,0.00015,0.00006,0.00157,0.00200,0.00149,0.00763
1403636630.813619136810303,0.00307,0.00016,0.00001,0.00176,0.00000,0.00218,0.00718
1403636630.863625049591064,0.00269,0.00015,0.00005,0.00170,0.00198,0.00217,0.00874
1403636630.913629055023193,0.00359,0.00016,0.00007,0.00207,0.00202,0.00161,0.00953
1403636630.963627099990845,0.00213,0.00015,0.00036,0.00201,0.00000,0.00155,0.00620
1403636631.013621807098389,0.00218,0.00016,0.00008,0.00202,0.00679,0.00161,0.01284
1403636631.063626050949097,0.00213,0.00016,0.00017,0.00265,0.00179,0.00155,0.00844
1403636631.113608360290527,0.00240,0.00016,0.00005,0.00294,0.00003,0.00148,0.00705
1403636631.163608074188232,0.00222,0.00017,0.00002,0.00280,0.00007,0.00149,0.00676
1403636631.213611841201782,0.00224,0.00015,0.00011,0.00278,0.00000,0.00153,0.00681
1403636631.263606071472168,0.00355,0.00016,0.00013,0.00275,0.00038,0.00152,0.00848
1403636631.313607692718506,0.00265,0.00016,0.00007,0.00279,0.00008,0.00155,0.00731
1403636631.363627910614014,0.00250,0.00016,0.00001,0.00274,0.00363,0.00158,0.01063
1403636631.413640499114990,0.00235,0.00016,0.00006,0.00270,0.00002,0.00170,0.00700
1403636631.463656187057495,0.00228,0.00016,0.00001,0.00251,0.00147,0.00167,0.00810
1403636631.513666391372681,0.00253,0.00017,0.00010,0.00267,0.00125,0.00158,0.00831
1403636631.563668251037598,0.00248,0.00016,0.00013,0.00261,0.00001,0.00164,0.00703
1403636631.613678455352783,0.00243,0.00015,0.00008,0.00257,0.00008,0.00158,0.00688
1403636631.663683176040649,0.00251,0.00016,0.00003,0.00270,0.00018,0.00152,0.00711
