# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403636897.651822566986084,0.00273,0.00008,0.00039,0.00000,0.00000,0.00088,0.00409
1403636897.702986717224121,0.00332,0.00009,0.00118,0.00000,0.00142,0.00070,0.00671
1403636897.756561517715454,0.00290,0.00010,0.00116,0.00021,0.00000,0.00065,0.00503
1403636897.807561397552490,0.00284,0.00010,0.00015,0.00011,0.00000,0.00075,0.00395
1403636897.857892751693726,0.00261,0.00011,0.00008,0.00008,0.00000,0.00073,0.00361
1403636897.908617496490479,0.00274,0.00011,0.00024,0.00005,0.00000,0.00074,0.00387
1403636897.959041595458984,0.00299,0.00010,0.00018,0.00003,0.00000,0.00075,0.00406
1403636898.009041547775269,0.00276,0.00010,0.00005,0.00001,0.00000,0.00093,0.00385
1403636898.058952331542969,0.00279,0.00010,0.00015,0.00001,0.00005,0.00082,0.00391
1403636898.108842134475708,0.00262,0.00010,0.00016,0.00000,0.00009,0.00086,0.00384
1403636898.158842086791992,0.00288,0.00010,0.00013,0.00000,0.00023,0.00085,0.00420
1403636898.208807945251465,0.00249,0.00010,0.00024,0.00000,0.00002,0.00101,0.00386
1403636898.254393815994263,0.00286,0.00014,0.00043,0.00000,0.00181,0.00091,0.00615
1403636898.305602073669434,0.00260,0.00010,0.00075,0.00007,0.00880,0.00090,0.01323
1403636898.355216264724731,0.00266,0.00014,0.00261,0.00094,0.00817,0.00085,0.01535
1403636898.405164003372192,0.00233,0.00015,0.00047,0.00192,0.00000,0.00080,0.00567
1403636898.455087661743164,0.00237,0.00013,0.00042,0.00165,0.00051,0.00080,0.00588
1403636898.504951000213623,0.00225,0.00013,0.00213,0.00161,0.00197,0.00077,0.00886
1403636898.555062294006348,0.00272,0.00014,0.00209,0.00172,0.00102,0.00079,0.00848
1403636898.605088949203491,0.00240,0.00013,0.00201,0.00150,0.00147,0.00076,0.00827
1403636898.655086755752563,0.00212,0.00013,0.00037,0.00130,0.00011,0.00076,0.00480
1403636898.705134868621826,0.00332,0.00013,0.00029,0.00119,0.00221,0.00082,0.00797
1403636898.755056619644165,0.00250,0.00028,0.00027,0.00133,0.00087,0.00125,0.00651
1403636898.804970502853394,0.00271,0.00014,0.00063,0.00141,0.00000,0.00096,0.00584
1403636898.854928731918335,0.00264,0.00013,0.00006,0.00140,0.00095,0.00139,0.00658
1403636898.904767990112305,0.00241,0.00013,0.00215,0.00147,0.00062,0.00104,0.00782
1403636898.954716205596924,0.00234,0.00013,0.00080,0.00131,0.00168,0.00078,0.00704
1403636899.004669666290283,0.00241,0.00013,0.00049,0.00156,0.00090,0.00080,0.00629
1403636899.054544925689697,0.00238,0.00014,0.00047,0.00155,0.00090,0.00083,0.00627
1403636899.104313135147095,0.00244,0.00013,0.00058,0.00138,0.00225,0.00085,0.00764
1403636899.154094219207764,0.00237,0.00012,0.00036,0.00162,0.00095,0.00082,0.00623
