# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403636897.705916881561279,0.00470,0.00010,0.00053,0.00000,0.00000,0.00130,0.00663
1403636897.755784273147583,0.00459,0.00011,0.00260,0.00000,0.00216,0.00129,0.01075
1403636897.805164813995361,0.00433,0.00012,0.00070,0.00020,0.00000,0.00129,0.00664
1403636897.855249166488647,0.00343,0.00012,0.00017,0.00017,0.00000,0.00137,0.00526
1403636897.905625820159912,0.00334,0.00012,0.00018,0.00011,0.00018,0.00131,0.00524
1403636897.956278324127197,0.00462,0.00013,0.00014,0.00016,0.00000,0.00140,0.00645
1403636898.005902051925659,0.00340,0.00013,0.00023,0.00012,0.00001,0.00133,0.00521
1403636898.054911136627197,0.00315,0.00012,0.00023,0.00011,0.00001,0.00138,0.00499
1403636898.104489088058472,0.00398,0.00013,0.00022,0.00006,0.00032,0.00141,0.00613
1403636898.155580759048462,0.00447,0.00012,0.00017,0.00009,0.00123,0.00147,0.00755
1403636898.203674554824829,0.00349,0.00012,0.00029,0.00010,0.00148,0.00149,0.00697
1403636898.254782915115356,0.00341,0.00012,0.00021,0.00009,0.00276,0.00148,0.00808
1403636898.304710626602173,0.00359,0.00013,0.00066,0.00022,0.00019,0.00187,0.00666
1403636898.353121042251587,0.00497,0.00013,0.00264,0.00017,0.01024,0.00145,0.01959
1403636898.402992725372314,0.00376,0.00014,0.00034,0.00100,0.00128,0.00187,0.00839
1403636898.452989816665649,0.00387,0.00015,0.00003,0.00133,0.00000,0.00163,0.00702
1403636898.502750635147095,0.00369,0.00015,0.00064,0.00098,0.00240,0.00146,0.00933
1403636898.552797079086304,0.00335,0.00014,0.00034,0.00126,0.00000,0.00139,0.00648
1403636898.602735042572021,0.00420,0.00014,0.00071,0.00103,0.00011,0.00143,0.00763
1403636898.652865171432495,0.00322,0.00014,0.00164,0.00101,0.00163,0.00136,0.00900
1403636898.702888488769531,0.00375,0.00014,0.00031,0.00135,0.00265,0.00135,0.00955
1403636898.752840042114258,0.00324,0.00013,0.00048,0.00143,0.00013,0.00135,0.00677
1403636898.802810192108154,0.00311,0.00014,0.00009,0.00131,0.00042,0.00137,0.00644
1403636898.852758407592773,0.00372,0.00013,0.00005,0.00126,0.00045,0.00135,0.00697
1403636898.952765703201294,0.00352,0.00021,0.00034,0.00119,0.00545,0.00146,0.01217
1403636899.002727508544922,0.00367,0.00013,0.00023,0.00163,0.00223,0.00137,0.00926
1403636899.052688837051392,0.00309,0.00014,0.00005,0.00183,0.00001,0.00135,0.00646
1403636899.102607011795044,0.00305,0.00014,0.00015,0.00166,0.00000,0.00137,0.00636
1403636899.152656793594360,0.00391,0.00013,0.00029,0.00144,0.00082,0.00141,0.00799
1403636899.202786922454834,0.00339,0.00014,0.00018,0.00141,0.00088,0.00137,0.00738
1403636899.252894639968872,0.00367,0.00014,0.00009,0.00137,0.00001,0.00133,0.00659
1403636899.302960872650146,0.00320,0.00013,0.00033,0.00136,0.00173,0.00140,0.00814
1403636899.353032350540161,0.00467,0.00014,0.00018,0.00127,0.00052,0.00144,0.00823
1403636899.403109073638916,0.00327,0.00014,0.00017,0.00115,0.00002,0.00135,0.00611
1403636899.453172922134399,0.00322,0.00013,0.00043,0.00102,0.00025,0.00137,0.00642
1403636899.503131151199341,0.00420,0.00013,0.00045,0.00104,0.00040,0.00148,0.00771
1403636899.553176641464233,0.00333,0.00013,0.00046,0.00101,0.00355,0.00144,0.00990
1403636899.603000402450562,0.00320,0.00014,0.00007,0.00121,0.00101,0.00132,0.00695
1403636899.652933597564697,0.00390,0.00013,0.00008,0.00109,0.00010,0.00142,0.00672
1403636899.702857732772827,0.00337,0.00013,0.00033,0.00126,0.00271,0.00134,0.00915
1403636899.752830743789673,0.00447,0.00015,0.00031,0.00184,0.00041,0.00144,0.00861
1403636899.852851152420044,0.00349,0.00020,0.00105,0.00168,0.00189,0.00139,0.00971
1403636899.902843236923218,0.00316,0.00014,0.00056,0.00196,0.00000,0.00140,0.00722
1403636899.952855587005615,0.00431,0.00014,0.00027,0.00200,0.00314,0.00140,0.01126
1403636900.002948284149170,0.00335,0.00013,0.00027,0.00222,0.00043,0.00140,0.00780
1403636900.052961349487305,0.00343,0.00014,0.00038,0.00228,0.00045,0.00143,0.00811
1403636900.103027582168579,0.00328,0.00014,0.00042,0.00226,0.00782,0.00144,0.01536
1403636900.152989625930786,0.00333,0.00016,0.00035,0.00326,0.00016,0.00143,0.00869
1403636900.202925443649292,0.00327,0.00015,0.00105,0.00292,0.00064,0.00131,0.00935
1403636900.252885103225708,0.00443,0.00015,0.00014,0.00295,0.00175,0.00142,0.01084
1403636900.302865266799927,0.00342,0.00016,0.00015,0.00309,0.00023,0.00138,0.00843
