# timestamp (sec),slam_feats_in_state,msckf_feats_used,slam_feats_updated,slam_feats_delayed_init,clones
1403636897.651822566986084,0,9,0,0,5
1403636897.702986717224121,14,24,0,14,6
1403636897.756561517715454,13,15,12,0,7
1403636897.807561397552490,13,2,4,0,8
1403636897.857892751693726,12,0,1,0,9
1403636897.908617496490479,4,2,1,0,10
1403636897.959041595458984,1,1,1,0,11
1403636898.009041547775269,1,0,0,0,11
1403636898.058952331542969,1,2,0,0,11
1403636898.108842134475708,0,1,0,0,11
1403636898.158842086791992,0,0,0,0,11
1403636898.208807945251465,0,1,0,0,11
1403636898.254393815994263,5,1,0,5,11
1403636898.305602073669434,32,3,3,27,11
1403636898.355216264724731,50,10,28,18,11
1403636898.405164003372192,47,2,44,0,11
1403636898.455087661743164,46,4,41,1,11
1403636898.504951000213623,48,6,40,4,11
1403636898.555062294006348,45,7,42,2,11
1403636898.605088949203491,42,7,37,3,11
1403636898.655086755752563,39,1,33,0,11
1403636898.705134868621826,40,2,31,5,11
1403636898.755056619644165,37,1,33,2,11
1403636898.804970502853394,35,5,34,0,11
1403636898.854928731918335,36,0,33,2,11
1403636898.904767990112305,36,13,34,1,11
1403636898.954716205596924,36,4,32,4,11
1403636899.004669666290283,38,3,36,2,11
1403636899.054544925689697,38,3,36,2,11
1403636899.104313135147095,40,2,34,5,11
1403636899.154094219207764,41,3,37,2,11
1403636899.203897476196289,41,8,35,5,11
1403636899.253720045089722,43,12,35,5,11
1403636899.303681135177612,42,5,36,4,11
1403636899.353680372238159,39,2,31,2,11
1403636899.403807878494263,37,1,30,0,11
1403636899.453870058059692,29,1,27,0,11
1403636899.503873348236084,24,2,22,1,11
1403636899.553781509399414,25,1,22,2,11
1403636899.603782653808594,23,3,22,0,11
1403636899.653718948364258,23,4,20,2,11
1403636899.703712940216064,21,1,21,0,11
1403636899.753667593002319,27,3,20,7,11
1403636899.803641796112061,28,6,26,1,11
1403636899.853513717651367,35,11,27,7,11
1403636899.903450727462769,40,2,29,6,11
1403636899.953375101089478,39,3,33,0,11
1403636900.003261566162109,34,2,32,1,11
1403636900.053234338760376,35,5,32,2,11
1403636900.103198766708374,34,3,30,2,11
1403636900.153146266937256,32,1,29,2,11
1403636900.203192710876465,33,2,29,4,11
1403636900.253217458724976,33,3,33,0,11
1403636900.303245067596436,36,0,31,4,11
1403636900.353271484375000,36,3,35,0,11
1403636900.403268575668335,39,3,34,4,11
1403636900.453227519989014,42,6,34,5,11
1403636900.503210783004761,43,4,35,5,11
1403636900.553207397460938,41,0,39,0,11
1403636900.603207588195801,40,2,37,1,11
1403636900.653193235397339,43,2,37,5,11
1403636900.703180074691772,46,4,42,4,11
1403636900.753177165985107,48,6,45,2,11
1403636900.803177833557129,48,0,47,0,11
1403636900.853132009506226,48,2,47,1,11
1403636900.903135776519775,48,1,47,1,11
1403636900.953129529953003,47,2,47,0,11
1403636901.003123283386230,49,3,46,3,11
1403636901.053174495697021,49,5,49,0,11
1403636901.103168964385986,48,5,47,1,11
1403636901.153112173080444,49,2,46,1,11
1403636901.203099012374878,49,0,46,0,11
1403636901.253064155578613,45,5,45,0,11
1403636901.303059101104736,47,7,44,2,11
1403636901.353008985519409,47,13,45,0,11
1403636901.403045892715454,48,3,42,3,11
1403636901.453074693679810,47,3,44,1,11
1403636901.503091812133789,46,3,44,1,11
1403636901.553122520446777,46,3,45,1,11
1403636901.603140354156494,46,2,46,0,11
1403636901.653167724609375,47,10,45,1,11
1403636901.703180074691772,47,8,45,0,11
1403636901.753161191940308,46,1,44,1,11
1403636901.803137302398682,45,0,44,0,11
1403636901.853127717971802,47,4,43,2,11
1403636901.903098344802856,48,8,44,2,11
1403636901.953060150146484,48,18,46,1,11
1403636902.003031253814697,49,8,46,2,11
1403636902.053025484085083,48,9,46,1,11
1403636902.103012561798096,48,3,47,1,11
1403636902.152997255325317,49,4,48,1,11
1403636902.202988147735596,48,2,47,0,11
1403636902.252964258193970,49,8,45,2,11
1403636902.302951812744141,47,4,45,0,11
1403636902.352930545806885,44,2,43,0,11
1403636902.402927398681641,43,0,41,1,11
1403636902.452940702438354,44,1,42,1,11
1403636902.502954721450806,46,3,41,4,11
1403636902.553017377853394,48,9,45,2,11
1403636902.603058099746704,47,5,41,1,11
1403636902.653002977371216,50,7,39,3,11
1403636902.702930688858032,44,5,40,0,11
1403636902.752782344818115,45,3,37,4,11
1403636902.802762031555176,42,3,39,1,11
1403636902.852591991424561,46,8,40,5,11
1403636902.902538776397705,47,5,43,3,11
1403636902.952547788619995,46,7,45,0,11
1403636903.002542495727539,46,0,45,1,11
1403636903.052556276321411,46,1,46,0,11
1403636903.102544784545898,48,2,45,2,11
1403636903.152538299560547,45,8,43,0,11
1403636903.202559709548950,49,3,42,5,11
1403636903.252562284469604,48,11,46,1,11
1403636903.302564144134521,49,5,46,2,11
1403636903.352565765380859,48,5,47,1,11
1403636903.402561902999878,47,9,45,0,11
1403636903.452545404434204,46,8,43,1,11
1403636903.502532958984375,45,2,41,2,11
1403636903.552521228790283,47,9,43,2,11
1403636903.602498769760132,45,2,43,2,11
1403636903.652483463287354,46,5,44,1,11
1403636903.702468872070312,47,3,45,1,11
1403636903.752458572387695,47,6,46,1,11
1403636903.802489995956421,49,0,44,3,11
1403636903.852498769760132,49,12,46,1,11
1403636903.902505874633789,47,2,46,1,11
1403636903.952494144439697,49,4,46,3,11
1403636904.002471685409546,49,5,49,0,11
1403636904.052463293075562,48,1,47,0,11
1403636904.102458000183105,45,3,42,0,11
1403636904.152457237243652,45,6,42,1,11
1403636904.202455282211304,42,1,41,1,11
1403636904.252447843551636,44,0,41,3,11
1403636904.302443981170654,46,1,44,2,11
1403636904.352412223815918,45,6,43,0,11
1403636904.402367115020752,45,1,43,0,11
1403636904.452348947525024,46,6,41,3,11
1403636904.502288818359375,49,4,42,4,11
1403636904.552265405654907,47,4,45,1,11
1403636904.602227210998535,45,6,45,0,11
1403636904.652218818664551,45,3,44,1,11
1403636904.702222824096680,49,6,45,4,11
1403636904.752220630645752,47,4,45,0,11
1403636904.802216768264771,48,0,45,2,11
1403636904.852206945419312,46,15,45,0,11
1403636904.902196645736694,46,1,45,0,11
1403636904.952191114425659,47,14,45,2,11
1403636905.002190589904785,46,1,46,0,11
1403636905.052209854125977,50,6,45,4,11
1403636905.102199316024780,48,6,47,0,11
1403636905.152199983596802,49,7,46,2,11
1403636905.202195644378662,48,5,45,0,11
1403636905.252197742462158,47,0,45,0,11
1403636905.302208900451660,45,2,45,0,11
1403636905.352223157882690,46,2,45,1,11
1403636905.402238130569458,47,0,44,2,11
1403636905.452238082885742,48,8,45,1,11
1403636905.502239465713501,47,1,45,0,11
1403636905.552236080169678,47,9,44,1,11
1403636905.602231740951538,48,3,43,3,11
1403636905.652224779129028,49,6,45,2,11
1403636905.702209711074829,49,3,46,1,11
1403636905.752196788787842,49,6,46,1,11
1403636905.802188873291016,48,5,47,0,11
1403636905.852199077606201,47,1,47,0,11
1403636905.902197360992432,46,5,46,0,11
1403636905.952197313308716,46,9,46,0,11
1403636906.002196311950684,46,0,46,0,11
1403636906.052198171615601,46,8,45,0,11
1403636906.102193355560303,46,2,45,0,11
1403636906.152178525924683,46,7,45,1,11
1403636906.202162742614746,48,0,46,2,11
1403636906.252123832702637,50,5,48,2,11
1403636906.302086114883423,48,1,47,0,11
1403636906.352066040039062,48,3,44,2,11
1403636906.402039527893066,47,4,46,0,11
1403636906.452024936676025,45,1,45,0,11
1403636906.502024173736572,46,3,45,1,11
1403636906.552008390426636,47,3,45,1,11
1403636906.601994514465332,46,0,44,0,11
1403636906.651970148086548,46,6,44,1,11
1403636906.701956987380981,45,2,45,0,11
1403636906.751931905746460,48,8,45,3,11
1403636906.801918745040894,47,1,47,0,11
1403636906.851907491683960,49,1,47,2,11
1403636906.901859283447266,47,2,46,1,11
1403636906.951869964599609,50,6,44,3,11
1403636907.001866579055786,50,6,47,0,11
1403636907.051872968673706,47,5,47,0,11
1403636907.101879119873047,46,3,46,0,11
1403636907.151882648468018,46,4,45,0,11
1403636907.201879501342773,45,1,44,0,11
1403636907.251873970031738,44,5,43,1,11
1403636907.301873207092285,45,0,43,1,11
1403636907.351872205734253,45,2,43,1,11
1403636907.401872396469116,44,0,43,0,11
1403636907.451871395111084,45,0,43,1,11
1403636907.501875400543213,47,0,41,4,11
1403636907.551874637603760,50,2,44,3,11
1403636907.601871252059937,45,7,42,0,11
1403636907.651870250701904,45,6,40,1,11
1403636907.701866149902344,43,5,41,0,11
1403636907.751870155334473,45,1,39,4,11
1403636907.801856517791748,50,0,41,5,11
1403636907.851850748062134,46,8,41,0,11
1403636907.901843070983887,42,2,38,0,11
1403636907.951851129531860,42,6,36,4,11
1403636908.001858949661255,39,1,36,1,11
1403636908.051862239837646,34,1,31,0,11
1403636908.101858615875244,31,0,30,0,11
1403636908.151861429214478,33,2,30,3,11
1403636908.201871633529663,37,3,28,6,11
1403636908.251869201660156,41,8,32,6,11
1403636908.301861047744751,37,3,33,4,11
1403636908.351853370666504,39,1,35,3,11
1403636908.401845216751099,39,0,37,1,11
1403636908.451812028884888,45,4,37,7,11
1403636908.501804590225220,45,2,42,1,11
1403636908.551800727844238,44,5,42,0,11
1403636908.601794719696045,44,2,42,1,11
1403636908.651790618896484,47,3,41,5,11
1403636908.701779127120972,47,2,45,0,11
1403636908.751788616180420,47,2,43,2,11
1403636908.801795959472656,46,0,44,0,11
1403636908.851796865463257,44,4,40,0,11
1403636908.901796340942383,42,1,37,0,11
1403636908.951795816421509,37,0,33,1,11
1403636909.001800537109375,36,1,32,1,11
1403636909.051815509796143,36,3,29,3,11
1403636909.101823806762695,38,0,30,5,11
1403636909.151833057403564,39,1,33,5,11
1403636909.201828718185425,38,2,36,1,11
1403636909.251822710037231,39,1,35,3,11
1403636909.301829814910889,39,1,38,0,11
1403636909.351829051971436,45,1,36,9,11
1403636909.401823282241821,46,4,44,2,11
1403636909.451822042465210,47,4,44,1,11
1403636909.501824378967285,45,2,42,1,11
1403636909.551819801330566,45,8,40,3,11
1403636909.601830244064331,47,5,42,4,11
1403636909.651829719543457,46,4,44,1,11
1403636909.701823711395264,46,2,45,0,11
1403636909.751820087432861,45,2,44,0,11
1403636909.801831007003784,46,2,42,2,11
1403636909.851841926574707,47,2,41,3,11
1403636909.901846408843994,44,5,42,0,11
1403636909.951837539672852,45,0,41,2,11
1403636910.001843929290771,43,3,41,1,11
1403636910.051874876022339,42,8,40,1,11
1403636910.101886749267578,44,4,36,6,11
1403636910.151904582977295,45,2,40,3,11
1403636910.201911211013794,44,1,42,0,11
1403636910.251918792724609,44,1,41,2,11
1403636910.301920413970947,46,3,42,4,11
1403636910.351925134658813,46,0,46,0,11
1403636910.401917934417725,46,1,46,0,11
1403636910.451900005340576,45,1,44,0,11
1403636910.501879930496216,45,2,42,3,11
1403636910.551861047744751,45,4,41,3,11
1403636910.601853847503662,46,1,42,1,11
1403636910.651863098144531,44,6,41,0,11
1403636910.701862096786499,45,0,41,3,11
1403636910.751859664916992,46,1,44,2,11
1403636910.801861524581909,46,2,46,0,11
1403636910.851860523223877,43,1,41,0,11
1403636910.901863336563110,48,1,41,5,11
1403636910.951856374740601,45,1,44,0,11
1403636911.001852989196777,44,4,42,0,11
1403636911.051850318908691,43,4,42,0,11
1403636911.101849317550659,42,0,41,1,11
1403636911.151838064193726,41,0,38,0,11
1403636911.201791048049927,42,2,37,1,11
1403636911.251758813858032,40,0,35,1,11
1403636911.301718950271606,41,0,35,2,11
1403636911.351725578308105,40,1,34,3,11
1403636911.401759624481201,38,0,35,0,11
1403636911.451792240142822,35,0,31,1,11
1403636911.501796007156372,34,1,26,1,11
1403636911.551830768585205,31,0,25,0,11
1403636911.601834535598755,34,6,23,7,11
1403636911.651829004287720,33,1,26,2,11
1403636911.701836585998535,31,0,27,2,11
1403636911.751847028732300,31,0,28,2,11
1403636911.801870346069336,36,3,28,5,11
1403636911.851872205734253,39,0,33,4,11
1403636911.901853084564209,37,3,35,1,11
1403636911.951843976974487,39,0,35,3,11
1403636912.001834869384766,38,4,36,1,11
1403636912.051814317703247,39,0,37,1,11
1403636912.101812124252319,38,0,37,1,11
1403636912.151821613311768,37,0,35,1,11
1403636912.201824426651001,38,3,36,1,11
1403636912.251822471618652,38,2,35,1,11
1403636912.301816225051880,38,0,35,1,11
1403636912.351808071136475,34,1,32,1,11
1403636912.401793956756592,34,0,32,0,11
1403636912.451771974563599,35,1,30,3,11
1403636912.501776695251465,34,0,27,1,11
1403636912.551777601242065,33,0,27,0,11
1403636912.601781368255615,29,0,24,1,11
1403636912.651776075363159,33,0,25,5,11
1403636912.701801061630249,31,0,28,2,11
1403636912.751820087432861,36,1,29,6,11
1403636912.801815271377563,40,3,33,5,11
1403636912.851822614669800,45,2,38,6,11
1403636912.901808738708496,46,4,42,3,11
1403636912.951802968978882,47,2,43,1,11
1403636913.001802921295166,41,4,40,0,11
1403636913.051801204681396,39,2,36,2,11
1403636913.101800203323364,41,0,35,2,11
1403636913.151798486709595,40,2,35,1,11
1403636913.201799869537354,38,0,34,2,11
1403636913.251796722412109,45,0,33,9,11
1403636913.301799297332764,46,0,41,2,11
1403636913.351808071136475,44,0,41,1,11
1403636913.401815176010132,44,2,41,1,11
1403636913.451816558837891,49,1,41,6,11
1403636913.501823663711548,48,3,46,0,11
1403636913.551833868026733,45,9,44,0,11
1403636913.601840019226074,47,1,43,4,11
1403636913.651833534240723,49,11,47,2,11
1403636913.701822757720947,49,0,49,0,11
1403636913.751804113388062,50,0,49,1,11
1403636913.801796436309814,50,8,48,0,11
1403636913.851798057556152,50,1,47,0,11
1403636913.901775121688843,48,2,47,0,11
1403636913.951761722564697,46,2,46,0,11
1403636914.001748323440552,47,1,44,1,11
1403636914.051753997802734,48,1,44,1,11
1403636914.101739406585693,45,6,42,1,11
1403636914.151751995086670,45,10,43,1,11
1403636914.201753139495850,46,3,44,2,11
1403636914.251754522323608,47,6,45,2,11
1403636914.301755905151367,48,3,45,2,11
1403636914.351752519607544,48,0,47,0,11
1403636914.401748418807983,49,7,47,2,11
1403636914.451742172241211,49,8,48,0,11
1403636914.501746416091919,49,1,46,0,11
1403636914.551747798919678,46,5,45,0,11
1403636914.601741075515747,45,2,45,0,11
1403636914.651748657226562,45,0,45,0,11
1403636914.701758146286011,48,9,45,3,11
1403636914.751744031906128,48,13,45,0,11
1403636914.801752328872681,48,1,45,0,11
1403636914.851748943328857,45,4,44,0,11
1403636914.901739597320557,46,0,43,1,11
1403636914.951733350753784,48,3,43,4,11
1403636915.001724004745483,47,8,47,0,11
1403636915.051707506179810,48,5,46,2,11
1403636915.101713657379150,48,0,48,0,11
1403636915.151709794998169,48,10,47,0,11
1403636915.201695680618286,47,2,46,0,11
1403636915.251677036285400,48,0,45,3,11
1403636915.301666021347046,47,5,47,0,11
1403636915.351679801940918,45,6,45,0,11
1403636915.401703834533691,43,0,41,0,11
1403636915.451739072799683,44,1,41,2,11
1403636915.501768827438354,42,0,41,0,11
1403636915.551792144775391,45,0,41,3,11
1403636915.601800918579102,46,4,44,2,11
1403636915.651809215545654,47,3,45,2,11
1403636915.701799631118774,47,1,45,1,11
1403636915.751782417297363,45,8,44,0,11
1403636915.801750898361206,47,2,44,3,11
1403636915.851732015609741,45,1,44,0,11
1403636915.901725769042969,47,5,43,2,11
1403636915.951726913452148,47,8,42,1,11
1403636916.001723051071167,45,1,40,0,11
1403636916.051734685897827,40,5,37,1,11
1403636916.101730346679688,40,2,35,4,11
1403636916.151731729507446,39,0,39,0,11
1403636916.201720476150513,45,10,39,6,11
1403636916.251721620559692,45,3,41,2,11
1403636916.301717519760132,39,2,35,1,11
1403636916.351714611053467,42,5,35,4,11
1403636916.401718378067017,46,0,38,6,11
1403636916.451721429824829,44,0,42,0,11
1403636916.501720666885376,44,7,41,2,11
1403636916.551710605621338,46,10,42,4,11
1403636916.601712703704834,49,1,43,4,11
1403636916.651712656021118,48,5,44,0,11
1403636916.701716423034668,48,0,44,2,11
1403636916.751720666885376,45,0,44,0,11
1403636916.801743745803833,43,6,42,1,11
1403636916.851747989654541,43,2,42,0,11
1403636916.901761054992676,42,2,41,0,11
1403636916.951762676239014,42,4,39,2,11
1403636917.001769542694092,43,1,40,1,11
1403636917.051775932312012,43,1,41,1,11
1403636917.101778984069824,43,0,41,1,11
1403636917.151780843734741,45,1,41,3,11
1403636917.201783180236816,48,1,43,5,11
1403636917.251787424087524,45,1,44,0,11
1403636917.301792144775391,45,0,44,0,11
1403636917.351796865463257,44,0,42,1,11
1403636917.401798009872437,42,4,40,0,11
1403636917.451800584793091,39,0,39,0,11
1403636917.501807451248169,37,0,37,0,11
1403636917.551813602447510,40,0,35,5,11
1403636917.601818084716797,40,0,40,0,11
1403636917.651819467544556,43,0,39,3,11
1403636917.701832771301270,44,3,42,1,11
1403636917.751834392547607,42,0,42,0,11
1403636917.801838397979736,43,0,42,1,11
1403636917.851847648620605,43,5,42,0,11
1403636917.901850938796997,42,0,41,0,11
1403636917.951852083206177,41,2,41,0,11
1403636918.001853942871094,40,2,40,0,11
1403636918.051853656768799,40,0,40,0,11
1403636918.101855754852295,41,0,40,1,11
1403636918.151856899261475,41,0,41,0,11
1403636918.201860189437866,41,0,41,0,11
1403636918.251857519149780,39,0,39,0,11
1403636918.301863670349121,38,1,38,0,11
1403636918.351868391036987,39,0,38,1,11
1403636918.401872158050537,39,0,39,0,11
