# timestamp (sec),slam_feats_in_state,msckf_feats_used,slam_feats_updated,slam_feats_delayed_init,clones
1403637149.986807346343994,0,6,0,0,5
1403637150.037493944168091,24,28,0,24,6
1403637150.087430953979492,21,24,19,0,7
1403637150.137252807617188,15,3,15,0,8
1403637150.187227725982666,14,3,13,0,9
1403637150.237072467803955,12,13,11,0,10
1403637150.287117481231689,11,13,10,0,11
1403637150.337366580963135,11,5,10,0,11
1403637150.387448310852051,8,7,8,0,11
1403637150.437559604644775,4,10,4,0,11
1403637150.487556219100952,4,4,4,0,11
1403637150.537575006484985,2,2,1,1,11
1403637150.587559223175049,2,9,2,0,11
1403637150.637574672698975,9,5,1,8,11
1403637150.687571048736572,16,14,9,7,11
1403637150.737574338912964,15,3,15,0,11
1403637150.787566184997559,16,2,15,1,11
1403637150.837592601776123,16,7,14,1,11
1403637150.887641191482544,21,6,14,6,11
1403637150.937668323516846,21,7,20,1,11
1403637150.987674951553345,30,4,20,9,11
1403637151.037708520889282,33,3,28,4,11
1403637151.087733268737793,35,2,31,3,11
1403637151.137894868850708,43,8,32,9,11
1403637151.188055515289307,44,4,37,6,11
1403637151.238054990768433,43,4,43,0,11
1403637151.288023948669434,42,4,38,3,11
1403637151.337961196899414,42,4,41,0,11
1403637151.387931823730469,42,1,39,3,11
1403637151.437927722930908,39,8,36,1,11
1403637151.487912416458130,39,1,35,0,11
1403637151.537884473800659,40,4,34,4,11
1403637151.587895154953003,38,0,35,2,11
1403637151.637869358062744,38,1,36,0,11
1403637151.687851667404175,37,1,35,0,11
1403637151.737855672836304,38,2,35,2,11
1403637151.787931203842163,39,2,35,3,11
1403637151.837927103042603,41,1,37,3,11
1403637151.887964487075806,47,0,39,8,11
1403637151.937996864318848,49,2,47,2,11
1403637151.988043546676636,50,6,49,1,11
1403637152.038059473037720,49,2,48,0,11
1403637152.088070631027222,49,5,47,0,11
1403637152.138119459152222,47,6,46,0,11
1403637152.188150167465210,45,11,44,1,11
1403637152.238170385360718,45,2,45,0,11
1403637152.288149118423462,45,1,44,1,11
1403637152.338175058364868,48,1,44,3,11
1403637152.388220787048340,49,0,47,1,11
1403637152.438144207000732,47,1,47,0,11
1403637152.488169193267822,49,1,46,2,11
1403637152.538133144378662,49,0,48,0,11
1403637152.588098764419556,46,3,46,0,11
1403637152.638129472732544,46,1,45,1,11
1403637152.688144207000732,47,0,46,1,11
1403637152.738186359405518,47,4,46,0,11
1403637152.788225650787354,48,13,46,1,11
1403637152.838255405426025,46,1,46,0,11
1403637152.888281583786011,47,0,46,1,11
1403637152.938269615173340,46,1,45,0,11
1403637152.988207101821899,48,1,44,3,11
1403637153.038203716278076,46,4,46,0,11
1403637153.088174819946289,45,3,45,0,11
1403637153.138149738311768,42,1,39,0,11
1403637153.188127756118774,45,3,38,4,11
1403637153.238116502761841,42,0,42,0,11
1403637153.288107395172119,42,1,42,0,11
1403637153.338099479675293,42,3,40,1,11
1403637153.388102769851685,44,6,41,2,11
1403637153.438100814819336,46,0,43,3,11
1403637153.488128185272217,42,0,40,0,11
1403637153.538149595260620,42,0,40,0,11
1403637153.588121652603149,40,1,40,0,11
1403637153.638059139251709,42,4,39,3,11
1403637153.687975406646729,48,2,40,7,11
1403637153.737955093383789,48,2,43,0,11
1403637153.787907838821411,46,5,42,0,11
1403637153.837889909744263,44,4,40,2,11
1403637153.887895107269287,44,2,41,0,11
1403637153.937897205352783,42,5,40,0,11
1403637153.987988710403442,40,4,38,0,11
1403637154.038086414337158,40,2,38,1,11
1403637154.088242530822754,42,0,38,3,11
1403637154.138297796249390,42,0,41,0,11
1403637154.188375473022461,43,0,39,2,11
1403637154.238343477249146,43,5,40,1,11
1403637154.288313150405884,41,0,41,0,11
1403637154.338273763656616,43,0,41,2,11
1403637154.388207674026489,44,1,43,1,11
1403637154.438087224960327,46,2,43,2,11
1403637154.488071680068970,45,2,41,0,11
1403637154.538096427917480,42,1,37,1,11
1403637154.588108062744141,41,4,34,3,11
1403637154.638207197189331,40,2,36,1,11
1403637154.688249349594116,37,1,35,1,11
1403637154.738244533538818,36,0,34,0,11
1403637154.788248300552368,33,1,33,0,11
1403637154.838304281234741,37,1,33,4,11
1403637154.888339281082153,36,0,33,1,11
1403637154.938360929489136,35,0,28,3,11
1403637154.988397836685181,36,1,29,3,11
1403637155.038410902023315,34,1,29,2,11
1403637155.088412284851074,28,0,27,1,11
1403637155.138493299484253,36,6,26,9,11
1403637155.188531637191772,37,1,34,2,11
1403637155.238547563552856,36,2,33,0,11
1403637155.288553476333618,35,0,31,1,11
1403637155.338550567626953,33,0,31,0,11
1403637155.388566493988037,34,1,26,7,11
1403637155.438547372817993,37,2,31,5,11
1403637155.488535404205322,36,1,35,0,11
1403637155.538519620895386,37,1,34,3,11
