# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403638132.942121267318726,0.00373,0.00010,0.00031,0.00000,0.00000,0.00172,0.00585
1403638132.992121219635010,0.00327,0.00010,0.00056,0.00000,0.00033,0.00192,0.00618
1403638133.042121410369873,0.00322,0.00010,0.00027,0.00000,0.00000,0.00113,0.00472
1403638133.092121362686157,0.00312,0.00011,0.00000,0.00000,0.00000,0.00210,0.00533
1403638133.142121315002441,0.00329,0.00010,0.00003,0.00000,0.00000,0.00125,0.00467
1403638133.192121267318726,0.00306,0.00011,0.00004,0.00000,0.00000,0.00203,0.00523
1403638133.242121219635010,0.00347,0.00011,0.00003,0.00000,0.00000,0.00124,0.00485
1403638133.292121410369873,0.00366,0.00011,0.00003,0.00000,0.00000,0.00213,0.00594
1403638133.342121362686157,0.00337,0.00011,0.00004,0.00000,0.00010,0.00130,0.00492
1403638133.392121315002441,0.00294,0.00011,0.00000,0.00000,0.00000,0.00206,0.00511
1403638133.442121267318726,0.00370,0.00011,0.00005,0.00000,0.00003,0.00129,0.00518
1403638133.492121219635010,0.00310,0.00011,0.00001,0.00000,0.00004,0.00151,0.00478
1403638133.533004283905029,0.00328,0.00011,0.00004,0.00000,0.00061,0.00131,0.00535
1403638133.590957164764404,0.00425,0.00010,0.00374,0.00003,0.00970,0.00221,0.02003
1403638133.640974998474121,0.00396,0.00014,0.00004,0.00080,0.00235,0.00131,0.00861
1403638133.691011905670166,0.00352,0.00013,0.00005,0.00095,0.00003,0.00181,0.00650
1403638133.741059303283691,0.00372,0.00014,0.00004,0.00088,0.00000,0.00136,0.00613
1403638133.791031360626221,0.00323,0.00014,0.00007,0.00079,0.00002,0.00202,0.00627
1403638133.840934991836548,0.00374,0.00013,0.00005,0.00070,0.00157,0.00132,0.00750
1403638133.891749858856201,0.00312,0.00012,0.00003,0.00086,0.00002,0.00192,0.00607
1403638133.942420959472656,0.00353,0.00013,0.00002,0.00046,0.00007,0.00131,0.00552
1403638133.992829322814941,0.00343,0.00013,0.00006,0.00029,0.00001,0.00127,0.00519
1403638134.042829513549805,0.00304,0.00014,0.00009,0.00008,0.00005,0.00130,0.00469
1403638134.092829465866089,0.00305,0.00012,0.00004,0.00005,0.00005,0.00132,0.00463
1403638134.142829418182373,0.00299,0.00012,0.00007,0.00000,0.00021,0.00136,0.00475
1403638134.193202733993530,0.00417,0.00011,0.00013,0.00000,0.00191,0.00146,0.00778
1403638134.243179798126221,0.00367,0.00011,0.00008,0.00007,0.00044,0.00138,0.00575
1403638134.293179035186768,0.00398,0.00011,0.00002,0.00006,0.00004,0.00135,0.00557
1403638134.343178987503052,0.00327,0.00011,0.00001,0.00002,0.00001,0.00138,0.00481
1403638134.393178939819336,0.00327,0.00011,0.00002,0.00002,0.00021,0.00139,0.00503
1403638134.443178892135620,0.00344,0.00012,0.00005,0.00000,0.00010,0.00141,0.00512
1403638134.493178844451904,0.00319,0.00011,0.00001,0.00000,0.00003,0.00139,0.00472
1403638134.543179035186768,0.00322,0.00011,0.00001,0.00000,0.00006,0.00138,0.00478
1403638134.593178987503052,0.00322,0.00011,0.00005,0.00000,0.00002,0.00135,0.00475
1403638134.643178939819336,0.00314,0.00011,0.00001,0.00000,0.00014,0.00137,0.00477
1403638134.693178892135620,0.00318,0.00011,0.00004,0.00000,0.00007,0.00138,0.00479
1403638134.743178844451904,0.00336,0.00011,0.00006,0.00000,0.00050,0.00136,0.00540
1403638134.793179035186768,0.00322,0.00011,0.00004,0.00000,0.00128,0.00142,0.00607
1403638134.843178987503052,0.00312,0.00013,0.00004,0.00000,0.00085,0.00137,0.00551
1403638134.893178939819336,0.00303,0.00011,0.00001,0.00000,0.00003,0.00136,0.00454
1403638134.943178892135620,0.00301,0.00011,0.00000,0.00000,0.00000,0.00133,0.00446
1403638134.993178844451904,0.00297,0.00011,0.00001,0.00000,0.00005,0.00143,0.00456
1403638135.043179035186768,0.00311,0.00011,0.00003,0.00000,0.00012,0.00159,0.00496
1403638135.093178987503052,0.00372,0.00011,0.00001,0.00000,0.00004,0.00137,0.00525
