# timestamp (sec),slam_feats_in_state,msckf_feats_used,slam_feats_updated,slam_feats_delayed_init,clones
1403638132.945096969604492,0,0,0,0,5
1403638132.995096921920776,0,0,0,0,6
1403638133.045097112655640,0,0,0,0,7
1403638133.095097064971924,0,0,0,0,8
1403638133.145097017288208,0,0,0,0,9
1403638133.195096969604492,0,0,0,0,10
1403638133.245096921920776,0,0,0,0,11
1403638133.295097112655640,0,0,0,0,11
1403638133.345097064971924,0,0,0,0,11
1403638133.395097017288208,0,0,0,0,11
1403638133.445096969604492,0,0,0,0,11
1403638133.495096921920776,0,0,0,0,11
1403638133.545097112655640,0,0,0,0,11
1403638133.589489936828613,4,3,0,4,11
1403638133.642511844635010,33,0,3,29,11
1403638133.693706750869751,46,4,32,13,11
1403638133.743714570999146,44,0,40,0,11
1403638133.793747663497925,43,0,39,0,11
1403638133.844214677810669,39,0,38,0,11
1403638133.894633293151855,40,0,37,2,11
1403638133.945975542068481,47,0,34,9,11
1403638133.997201919555664,50,3,41,3,11
1403638134.047873735427856,47,0,34,0,11
1403638134.097949028015137,43,1,26,0,11
1403638134.148001432418823,33,1,20,0,11
1403638134.197677373886108,41,30,16,17,11
1403638134.247297286987305,40,3,18,4,11
1403638134.297082424163818,40,0,19,3,11
1403638134.347018241882324,25,0,20,0,11
1403638134.396893739700317,23,0,17,1,11
1403638134.446748971939087,22,0,17,1,11
1403638134.496639013290405,19,0,16,0,11
1403638134.546474695205688,19,0,16,1,11
1403638134.596410512924194,19,0,15,2,11
1403638134.646404266357422,18,0,15,0,11
1403638134.696356296539307,17,0,13,2,11
1403638134.746358633041382,16,0,15,0,11
1403638134.795988321304321,29,5,11,14,11
1403638134.845942735671997,28,0,20,0,11
1403638134.895793199539185,27,0,17,3,11
1403638134.945636034011841,24,0,19,2,11
1403638134.995660781860352,22,0,18,0,11
1403638135.045791149139404,23,0,16,2,11
1403638135.095932722091675,21,1,17,1,11
1403638135.146011590957642,19,0,16,0,11
1403638135.196061134338379,20,0,15,2,11
1403638135.246109485626221,16,1,13,1,11
1403638135.296043157577515,16,0,8,3,11
1403638135.345950841903687,16,0,7,2,11
1403638135.395876646041870,16,0,7,3,11
1403638135.445898294448853,13,0,8,1,11
1403638135.495939970016479,13,0,9,2,11
1403638135.545997381210327,16,0,11,5,11
1403638135.596008777618408,16,0,15,1,11
1403638135.645936250686646,14,0,13,1,11
1403638135.695854663848877,14,0,14,0,11
1403638135.745784997940063,16,0,14,2,11
1403638135.795770406723022,18,0,16,2,11
1403638135.845789909362793,22,0,17,5,11
1403638135.895867824554443,23,0,19,3,11
1403638135.945906162261963,24,1,21,2,11
1403638135.995696783065796,38,6,21,17,11
1403638136.045599222183228,48,2,38,10,11
1403638136.095593452453613,48,6,47,1,11
1403638136.145770072937012,50,12,48,2,11
1403638136.195893049240112,50,8,48,0,11
1403638136.245957851409912,49,4,45,0,11
1403638136.296008825302124,47,3,42,0,11
1403638136.346103191375732,47,4,39,3,11
1403638136.396167755126953,45,0,40,1,11
1403638136.446264743804932,47,0,36,4,11
1403638136.496405363082886,47,5,39,2,11
1403638136.546540498733521,44,3,40,2,11
1403638136.596720218658447,44,5,38,1,11
1403638136.646958589553833,44,2,36,1,11
1403638136.697144269943237,41,1,30,0,11
1403638136.747249126434326,36,0,27,0,11
1403638136.797362327575684,30,0,26,0,11
1403638136.847426176071167,27,0,19,0,11
1403638136.897462368011475,26,0,14,0,11
1403638136.947471141815186,19,0,14,0,11
1403638136.997464418411255,14,0,13,0,11
1403638137.047457695007324,14,0,13,0,11
1403638137.097457170486450,13,0,12,0,11
1403638137.147498607635498,13,0,12,0,11
1403638137.197561502456665,12,0,10,0,11
1403638137.247594594955444,12,0,6,0,11
1403638137.297617435455322,10,0,5,0,11
1403638137.347631216049194,6,0,3,0,11
1403638137.397643327713013,5,0,2,0,11
1403638137.447659492492676,3,0,2,0,11
1403638137.497669458389282,2,0,1,0,11
1403638137.547680616378784,2,0,1,0,11
1403638137.597680568695068,1,0,0,0,11
1403638137.647680521011353,1,0,0,0,11
1403638137.697680473327637,0,0,0,0,11
1403638137.747680425643921,0,0,0,0,11
1403638137.797680616378784,0,0,0,0,11
1403638137.847680568695068,0,0,0,0,11
1403638137.897680521011353,0,0,0,0,11
1403638137.947680473327637,0,0,0,0,11
1403638137.997680425643921,0,0,0,0,11
1403638138.047680616378784,0,0,0,0,11
1403638138.097680568695068,0,0,0,0,11
1403638138.147680521011353,0,0,0,0,11
1403638138.197680473327637,0,0,0,0,11
1403638138.247680425643921,0,0,0,0,11
1403638138.297680616378784,0,0,0,0,11
1403638138.347680568695068,0,0,0,0,11
1403638138.397680521011353,0,0,0,0,11
1403638138.447680473327637,0,0,0,0,11
1403638138.497680425643921,0,0,0,0,11
1403638138.547680616378784,0,0,0,0,11
1403638138.597680568695068,0,0,0,0,11
1403638138.647680521011353,0,0,0,0,11
1403638138.697680473327637,0,0,0,0,11
1403638138.747680425643921,0,0,0,0,11
1403638138.797680616378784,0,0,0,0,11
1403638138.847680568695068,0,0,0,0,11
1403638138.897680521011353,0,0,0,0,11
1403638138.947680473327637,0,0,0,0,11
1403638138.997680425643921,0,0,0,0,11
1403638139.047680616378784,0,0,0,0,11
1403638139.097680568695068,0,0,0,0,11
1403638139.147680521011353,0,0,0,0,11
1403638139.197680473327637,0,0,0,0,11
1403638139.247680425643921,0,0,0,0,11
1403638139.297680616378784,0,0,0,0,11
1403638139.347680568695068,0,0,0,0,11
1403638139.397680521011353,0,0,0,0,11
1403638139.447680473327637,0,0,0,0,11
1403638139.497680425643921,0,0,0,0,11
1403638139.547680616378784,0,0,0,0,11
1403638139.597680568695068,0,0,0,0,11
1403638139.647680521011353,0,0,0,0,11
1403638139.697680473327637,0,0,0,0,11
1403638139.747680425643921,0,0,0,0,11
1403638139.797680616378784,0,0,0,0,11
