# timestamp (sec),slam_feats_in_state,msckf_feats_used,slam_feats_updated,slam_feats_delayed_init,clones
1403638132.942121267318726,0,2,0,0,5
1403638132.992121219635010,0,0,0,0,6
1403638133.042121410369873,0,0,0,0,7
1403638133.092121362686157,0,0,0,0,8
1403638133.142121315002441,0,0,0,0,9
1403638133.192121267318726,0,0,0,0,10
1403638133.242121219635010,0,0,0,0,11
1403638133.292121410369873,0,0,0,0,11
1403638133.342121362686157,0,0,0,0,11
1403638133.392121315002441,0,0,0,0,11
1403638133.442121267318726,0,0,0,0,11
1403638133.492121219635010,0,0,0,0,11
1403638133.533004283905029,1,0,0,1,11
1403638133.590957164764404,17,8,0,16,11
1403638133.640974998474121,20,0,16,3,11
1403638133.691011905670166,19,0,17,0,11
1403638133.741059303283691,19,0,16,0,11
1403638133.791031360626221,17,0,15,0,11
1403638133.840934991836548,18,0,14,2,11
1403638133.891749858856201,17,0,16,0,11
1403638133.942420959472656,17,0,9,0,11
1403638133.992829322814941,16,0,4,0,11
1403638134.042829513549805,8,0,0,0,11
1403638134.092829465866089,4,0,0,0,11
1403638134.142829418182373,0,0,0,0,11
1403638134.193202733993530,3,0,0,3,11
1403638134.243179798126221,3,0,2,0,11
1403638134.293179035186768,3,0,1,0,11
1403638134.343178987503052,2,0,0,0,11
1403638134.393178939819336,1,0,0,0,11
1403638134.443178892135620,0,0,0,0,11
1403638134.493178844451904,0,0,0,0,11
1403638134.543179035186768,0,0,0,0,11
1403638134.593178987503052,0,0,0,0,11
1403638134.643178939819336,0,0,0,0,11
1403638134.693178892135620,0,0,0,0,11
1403638134.743178844451904,0,0,0,0,11
1403638134.793179035186768,0,0,0,0,11
1403638134.843178987503052,0,0,0,0,11
1403638134.893178939819336,0,0,0,0,11
1403638134.943178892135620,0,0,0,0,11
1403638134.993178844451904,0,0,0,0,11
1403638135.043179035186768,0,0,0,0,11
1403638135.093178987503052,0,0,0,0,11
1403638135.143178939819336,0,0,0,0,11
1403638135.193178892135620,0,0,0,0,11
1403638135.243178844451904,0,0,0,0,11
1403638135.293179035186768,0,0,0,0,11
1403638135.343178987503052,0,0,0,0,11
1403638135.392712831497192,2,0,0,2,11
1403638135.442261457443237,3,0,2,1,11
1403638135.492077827453613,3,0,3,0,11
1403638135.541846275329590,3,0,3,0,11
1403638135.591783285140991,3,0,2,0,11
1403638135.641863822937012,2,0,2,0,11
1403638135.691991806030273,2,0,1,0,11
1403638135.741991758346558,1,0,0,0,11
1403638135.791991949081421,1,0,0,0,11
1403638135.841991901397705,0,0,0,0,11
1403638135.892185688018799,1,0,0,1,11
1403638135.942769050598145,3,0,0,2,11
1403638135.992977857589722,7,0,1,4,11
1403638136.043693065643311,9,0,4,3,11
1403638136.094071626663208,8,0,8,0,11
1403638136.144374608993530,8,0,7,0,11
1403638136.194698333740234,9,0,4,1,11
1403638136.244798183441162,8,0,4,0,11
1403638136.294999837875366,6,0,3,1,11
1403638136.345048189163208,7,0,1,2,11
1403638136.395296096801758,8,0,3,3,11
1403638136.445370197296143,7,0,3,1,11
1403638136.495399236679077,7,0,4,0,11
1403638136.545680522918701,6,0,3,2,11
1403638136.595677137374878,6,0,2,0,11
1403638136.645697116851807,5,0,1,0,11
1403638136.695738315582275,2,0,1,0,11
1403638136.745738267898560,1,0,0,0,11
1403638136.795738458633423,1,0,0,0,11
1403638136.845738410949707,0,0,0,0,11
1403638136.895633697509766,3,0,0,3,11
1403638136.945533990859985,4,0,2,1,11
1403638136.995204448699951,5,0,2,1,11
1403638137.045301198959351,12,0,3,8,11
1403638137.095396041870117,12,1,5,0,11
1403638137.146378278732300,17,0,3,6,11
1403638137.196601867675781,12,1,2,2,11
1403638137.246765136718750,10,0,0,1,11
1403638137.297262430191040,6,0,0,2,11
1403638137.347262382507324,3,0,0,0,11
1403638137.397262334823608,2,0,0,0,11
1403638137.447262287139893,0,0,0,0,11
1403638137.497262239456177,0,0,0,0,11
1403638137.547262430191040,0,0,0,0,11
1403638137.597262382507324,0,0,0,0,11
1403638137.647262334823608,0,0,0,0,11
1403638137.697262287139893,0,0,0,0,11
1403638137.747262239456177,0,0,0,0,11
1403638137.797262430191040,0,0,0,0,11
1403638137.847262382507324,0,0,0,0,11
1403638137.897262334823608,0,0,0,0,11
1403638137.947262287139893,0,0,0,0,11
1403638137.997262239456177,0,0,0,0,11
1403638138.047262430191040,0,0,0,0,11
1403638138.097262382507324,0,0,0,0,11
1403638138.147262334823608,0,0,0,0,11
1403638138.197262287139893,0,0,0,0,11
1403638138.247262239456177,0,0,0,0,11
1403638138.297262430191040,0,0,0,0,11
1403638138.347262382507324,0,0,0,0,11
1403638138.397262334823608,0,0,0,0,11
1403638138.447262287139893,0,0,0,0,11
1403638138.497262239456177,0,0,0,0,11
1403638138.547262430191040,0,0,0,0,11
1403638138.597262382507324,0,0,0,0,11
1403638138.647262334823608,0,0,0,0,11
1403638138.697262287139893,0,0,0,0,11
1403638138.747262239456177,0,0,0,0,11
1403638138.797262430191040,0,0,0,0,11
1403638138.847262382507324,0,0,0,0,11
1403638138.897262334823608,0,0,0,0,11
1403638138.947262287139893,0,0,0,0,11
1403638138.997262239456177,0,0,0,0,11
1403638139.047262430191040,0,0,0,0,11
1403638139.097262382507324,0,0,0,0,11
1403638139.147262334823608,0,0,0,0,11
1403638139.197262287139893,0,0,0,0,11
1403638139.247262239456177,0,0,0,0,11
1403638139.297262430191040,0,0,0,0,11
1403638139.347262382507324,0,0,0,0,11
1403638139.397262334823608,0,0,0,0,11
1403638139.447262287139893,0,0,0,0,11
1403638139.497262239456177,0,0,0,0,11
1403638139.547262430191040,0,0,0,0,11
1403638139.597262382507324,0,0,0,0,11
1403638139.647262334823608,0,0,0,0,11
1403638139.697262287139893,0,0,0,0,11
1403638139.747262239456177,0,0,0,0,11
1403638139.797262430191040,0,0,0,0,11
1403638139.847262382507324,0,0,0,0,11
1403638139.897262334823608,0,0,0,0,11
1403638139.947262287139893,0,0,0,0,11
1403638139.997262239456177,0,0,0,0,11
1403638140.047262430191040,0,0,0,0,11
1403638140.097262382507324,0,0,0,0,11
1403638140.147262334823608,0,0,0,0,11
1403638140.197262287139893,0,0,0,0,11
1403638140.247262239456177,0,0,0,0,11
1403638140.297262430191040,0,0,0,0,11
1403638140.347262382507324,0,0,0,0,11
1403638140.397262334823608,0,0,0,0,11
1403638140.447262287139893,0,0,0,0,11
1403638140.497262239456177,0,0,0,0,11
1403638140.547262430191040,0,0,0,0,11
1403638140.597262382507324,0,0,0,0,11
1403638140.647262334823608,0,0,0,0,11
1403638140.697262287139893,0,0,0,0,11
1403638140.747262239456177,0,0,0,0,11
1403638140.797262430191040,0,0,0,0,11
1403638140.847262382507324,0,0,0,0,11
1403638140.897262334823608,0,0,0,0,11
1403638140.947262287139893,0,0,0,0,11
1403638140.997262239456177,0,0,0,0,11
1403638141.047262430191040,0,0,0,0,11
1403638141.097262382507324,0,0,0,0,11
1403638141.147262334823608,0,0,0,0,11
1403638141.197262287139893,0,0,0,0,11
1403638141.247262239456177,0,0,0,0,11
1403638141.297262430191040,0,0,0,0,11
1403638141.347262382507324,0,0,0,0,11
1403638141.397262334823608,0,0,0,0,11
1403638141.447262287139893,0,0,0,0,11
1403638141.497262239456177,0,0,0,0,11
1403638141.547262430191040,0,0,0,0,11
1403638141.597262382507324,0,0,0,0,11
1403638141.647262334823608,0,0,0,0,11
1403638141.697262287139893,0,0,0,0,11
1403638141.747262239456177,0,0,0,0,11
1403638141.797262430191040,0,0,0,0,11
1403638141.847262382507324,0,0,0,0,11
1403638141.897262334823608,0,0,0,0,11
1403638141.947262287139893,0,0,0,0,11
1403638141.997262239456177,0,0,0,0,11
1403638142.047262430191040,0,0,0,0,11
1403638142.097262382507324,0,0,0,0,11
