# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403638132.945096969604492,0.00154,0.00010,0.00017,0.00000,0.00000,0.00081,0.00262
1403638132.995096921920776,0.00141,0.00009,0.00039,0.00000,0.00034,0.00092,0.00316
1403638133.045097112655640,0.00144,0.00010,0.00041,0.00000,0.00000,0.00071,0.00266
1403638133.095097064971924,0.00158,0.00010,0.00039,0.00000,0.00000,0.00086,0.00293
1403638133.145097017288208,0.00150,0.00010,0.00002,0.00000,0.00000,0.00085,0.00247
1403638133.195096969604492,0.00144,0.00011,0.00002,0.00000,0.00000,0.00086,0.00244
1403638133.245096921920776,0.00157,0.00011,0.00003,0.00000,0.00000,0.00083,0.00254
1403638133.295097112655640,0.00152,0.00011,0.00004,0.00000,0.00000,0.00083,0.00250
1403638133.345097064971924,0.00161,0.00011,0.00004,0.00000,0.00002,0.00086,0.00265
1403638133.395097017288208,0.00221,0.00011,0.00003,0.00000,0.00000,0.00092,0.00328
1403638133.445096969604492,0.00188,0.00011,0.00005,0.00000,0.00000,0.00092,0.00296
1403638133.495096921920776,0.00168,0.00010,0.00002,0.00000,0.00004,0.00095,0.00279
1403638133.545097112655640,0.00203,0.00010,0.00010,0.00000,0.00000,0.00090,0.00314
1403638133.589489936828613,0.00190,0.00012,0.00100,0.00000,0.00171,0.00098,0.00571
1403638133.642511844635010,0.00193,0.00010,0.00007,0.00009,0.01017,0.00102,0.01339
1403638133.693706750869751,0.00188,0.00015,0.00159,0.00120,0.00660,0.00101,0.01244
1403638133.743714570999146,0.00199,0.00015,0.00010,0.00185,0.00001,0.00095,0.00503
1403638133.793747663497925,0.00185,0.00015,0.00016,0.00176,0.00000,0.00093,0.00486
1403638133.844214677810669,0.00197,0.00015,0.00012,0.00159,0.00009,0.00107,0.00500
1403638133.894633293151855,0.00216,0.00016,0.00006,0.00157,0.00101,0.00122,0.00618
1403638133.945975542068481,0.00224,0.00015,0.00019,0.00138,0.00471,0.00118,0.00985
1403638133.997201919555664,0.00166,0.00016,0.00140,0.00193,0.00176,0.00102,0.00794
1403638134.047873735427856,0.00167,0.00017,0.00028,0.00167,0.00001,0.00100,0.00481
1403638134.097949028015137,0.00170,0.00015,0.00104,0.00110,0.00024,0.00095,0.00518
