# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403638539.281952381134033,0.00376,0.00012,0.00096,0.00000,0.00000,0.00222,0.00706
1403638539.332312107086182,0.00524,0.00013,0.00224,0.00000,0.00199,0.00154,0.01113
1403638539.382057189941406,0.00434,0.00015,0.00024,0.00023,0.00000,0.00139,0.00635
1403638539.432092428207397,0.00493,0.00015,0.00012,0.00023,0.00000,0.00177,0.00721
1403638539.482213497161865,0.00423,0.00015,0.00017,0.00021,0.00001,0.00146,0.00622
1403638539.531824827194214,0.00429,0.00015,0.00011,0.00021,0.00000,0.00149,0.00626
1403638539.581566810607910,0.00447,0.00015,0.00017,0.00022,0.00000,0.00154,0.00656
1403638539.631492614746094,0.00372,0.00015,0.00013,0.00022,0.00000,0.00155,0.00577
1403638539.680675506591797,0.00300,0.00014,0.00013,0.00022,0.00232,0.00157,0.00738
1403638539.730868101119995,0.00306,0.00015,0.00021,0.00039,0.00040,0.00181,0.00602
1403638539.781218767166138,0.00343,0.00015,0.00015,0.00048,0.00106,0.00159,0.00686
1403638539.831366777420044,0.00275,0.00015,0.00009,0.00059,0.00003,0.00153,0.00516
1403638539.881186008453369,0.00274,0.00015,0.00019,0.00058,0.00003,0.00164,0.00533
1403638539.930773258209229,0.00265,0.00015,0.00002,0.00060,0.01536,0.00200,0.02080
1403638539.980640649795532,0.00286,0.00017,0.00013,0.00266,0.00416,0.00152,0.01150
1403638540.030982971191406,0.00287,0.00017,0.00049,0.00286,0.00004,0.00197,0.00839
1403638540.080814599990845,0.00379,0.00018,0.00013,0.00287,0.00130,0.00155,0.00982
1403638540.131173133850098,0.00319,0.00017,0.00059,0.00280,0.00109,0.00197,0.00982
1403638540.180905342102051,0.00352,0.00018,0.00082,0.00269,0.00253,0.00156,0.01130
1403638540.230121374130249,0.00327,0.00018,0.00095,0.00291,0.00001,0.00200,0.00931
1403638540.279721498489380,0.00303,0.00018,0.00029,0.00277,0.00110,0.00159,0.00896
1403638540.329642772674561,0.00335,0.00016,0.00020,0.00291,0.00000,0.00167,0.00831
1403638540.379557609558105,0.00271,0.00018,0.00008,0.00290,0.00321,0.00159,0.01068
1403638540.429585218429565,0.00279,0.00017,0.00012,0.00314,0.00003,0.00162,0.00787
1403638540.479569673538208,0.00260,0.00016,0.00016,0.00304,0.00003,0.00172,0.00772
1403638540.529507398605347,0.00284,0.00017,0.00075,0.00306,0.00037,0.00208,0.00925
1403638540.579466104507446,0.00306,0.00017,0.00060,0.00307,0.00328,0.00161,0.01179
1403638540.629350662231445,0.00278,0.00017,0.00001,0.00356,0.00699,0.00202,0.01553
1403638540.679234504699707,0.00301,0.00020,0.00129,0.00453,0.00359,0.00167,0.01427
1403638540.729117155075073,0.00348,0.00018,0.00063,0.00494,0.00493,0.00165,0.01581
1403638540.779015064239502,0.00285,0.00019,0.00182,0.00582,0.00383,0.00165,0.01617
1403638540.828943014144897,0.00290,0.00019,0.00006,0.00649,0.00000,0.00157,0.01121
1403638540.878908872604370,0.00261,0.00019,0.00035,0.00641,0.00023,0.00165,0.01144
1403638540.928845405578613,0.00258,0.00018,0.00019,0.00539,0.00000,0.00155,0.00990
1403638540.978787183761597,0.00234,0.00017,0.00018,0.00486,0.00185,0.00161,0.01101
1403638541.028756380081177,0.00286,0.00019,0.00012,0.00505,0.00000,0.00172,0.00994
1403638541.078698873519897,0.00247,0.00019,0.00016,0.00452,0.00003,0.00160,0.00896
1403638541.128676652908325,0.00234,0.00016,0.00011,0.00427,0.00019,0.00159,0.00866
1403638541.178639888763428,0.00232,0.00017,0.00011,0.00397,0.00013,0.00162,0.00832
1403638541.228576183319092,0.00233,0.00016,0.00012,0.00396,0.00232,0.00159,0.01049
1403638541.278487682342529,0.00265,0.00017,0.00313,0.00400,0.00568,0.00154,0.01717
1403638541.328464984893799,0.00239,0.00019,0.00006,0.00488,0.00004,0.00158,0.00913
1403638541.378471374511719,0.00236,0.00019,0.00001,0.00486,0.00413,0.00158,0.01313
1403638541.428424119949341,0.00225,0.00018,0.00034,0.00551,0.00000,0.00157,0.00986
1403638541.478383779525757,0.00229,0.00018,0.00014,0.00547,0.00030,0.00156,0.00994
1403638541.528390169143677,0.00228,0.00018,0.00001,0.00525,0.00000,0.00163,0.00936
1403638541.578446388244629,0.00226,0.00018,0.00102,0.00485,0.00011,0.00159,0.01002
1403638541.628485679626465,0.00263,0.00018,0.00023,0.00472,0.00001,0.00152,0.00929
1403638541.678528070449829,0.00227,0.00017,0.00001,0.00464,0.00003,0.00156,0.00868
1403638541.728565692901611,0.00261,0.00018,0.00136,0.00438,0.00015,0.00159,0.01027
1403638541.778562307357788,0.00309,0.00016,0.00001,0.00437,0.00232,0.00153,0.01149
1403638541.828569173812866,0.00368,0.00018,0.00006,0.00474,0.00474,0.00161,0.01500
1403638541.878493309020996,0.00245,0.00016,0.00366,0.00542,0.00255,0.00149,0.01573
1403638541.928477287292480,0.00250,0.00018,0.00004,0.00605,0.00128,0.00157,0.01162
1403638541.978468179702759,0.00320,0.00019,0.00005,0.00597,0.00000,0.00155,0.01095
1403638542.028448343276978,0.00325,0.00017,0.00007,0.00576,0.00000,0.00159,0.01084
1403638542.078424930572510,0.00246,0.00018,0.00021,0.00500,0.00025,0.00161,0.00971
1403638542.128400325775146,0.00246,0.00017,0.00015,0.00452,0.00000,0.00153,0.00884
1403638542.178398847579956,0.00211,0.00019,0.00474,0.00399,0.00234,0.00145,0.01482
1403638542.228387594223022,0.00254,0.00018,0.00013,0.00397,0.00001,0.00149,0.00833
