# timestamp (sec),slam_feats_in_state,msckf_feats_used,slam_feats_updated,slam_feats_delayed_init,clones
1403715528.859530210494995,0,10,0,0,5
1403715528.911628961563110,1,8,0,1,6
1403715528.961443424224854,1,6,0,0,7
1403715529.011443376541138,1,0,0,0,8
1403715529.060693264007568,0,1,0,0,9
1403715529.111119508743286,0,2,0,0,10
1403715529.163648605346680,0,1,0,0,11
1403715529.214193105697632,0,1,0,0,11
1403715529.263285875320435,2,2,0,2,11
1403715529.312893152236938,4,0,2,2,11
1403715529.364287376403809,4,2,4,0,11
1403715529.414859056472778,4,3,4,0,11
1403715529.464915513992310,5,3,4,1,11
1403715529.514371871948242,12,2,5,7,11
1403715529.564312696456909,11,1,11,0,11
1403715529.613926887512207,15,1,11,4,11
1403715529.663905382156372,17,2,15,2,11
1403715529.713285446166992,19,2,17,2,11
1403715529.763154268264771,28,7,19,9,11
1403715529.813352584838867,34,1,28,6,11
1403715529.863352537155151,37,2,33,3,11
1403715529.913635015487671,39,0,35,3,11
1403715529.963798761367798,47,1,38,9,11
1403715530.014034032821655,48,9,43,3,11
1403715530.064039230346680,47,14,45,0,11
1403715530.114032268524170,45,1,45,0,11
1403715530.163961172103882,44,1,44,0,11
1403715530.213907718658447,48,4,44,4,11
1403715530.263873100280762,48,13,48,0,11
1403715530.313860177993774,47,3,47,0,11
1403715530.363827228546143,47,2,47,0,11
1403715530.413818120956421,46,1,46,0,11
1403715530.463853597640991,42,2,42,0,11
1403715530.513874053955078,42,1,42,0,11
1403715530.563817024230957,50,9,42,8,11
1403715530.613749980926514,47,4,47,0,11
1403715530.663576126098633,48,9,44,3,11
1403715530.713480710983276,47,1,46,0,11
1403715530.763471603393555,44,9,42,1,11
1403715530.813448667526245,46,7,43,2,11
1403715530.863389015197754,46,9,41,3,11
1403715530.913337945938110,46,3,44,0,11
1403715530.963278293609619,46,7,44,2,11
1403715531.013236045837402,46,0,44,0,11
1403715531.063127040863037,46,1,44,0,11
1403715531.113002061843872,48,3,44,4,11
1403715531.162974596023560,48,1,45,0,11
1403715531.212968349456787,49,2,40,2,11
1403715531.262875080108643,49,6,43,3,11
1403715531.312824487686157,47,3,45,2,11
1403715531.362788438796997,49,5,41,3,11
1403715531.412817239761353,46,2,42,0,11
1403715531.462641239166260,44,20,36,4,11
1403715531.512550354003906,42,5,37,1,11
1403715531.562368154525757,40,0,38,1,11
1403715531.612178087234497,38,0,37,0,11
1403715531.662009716033936,38,1,37,0,11
1403715531.712013006210327,35,0,35,0,11
1403715531.762076377868652,34,1,33,0,11
1403715531.812162160873413,32,1,29,1,11
1403715531.862207889556885,33,0,29,3,11
1403715531.912243843078613,33,3,31,1,11
1403715531.962239980697632,36,2,32,3,11
1403715532.012170791625977,43,5,35,8,11
1403715532.062155961990356,48,11,42,5,11
1403715532.112144470214844,47,1,45,0,11
1403715532.162140130996704,46,0,42,1,11
1403715532.212128162384033,45,1,42,3,11
1403715532.262104749679565,45,0,45,0,11
1403715532.312057256698608,46,1,45,1,11
1403715532.362052917480469,45,0,45,0,11
1403715532.412079334259033,44,9,44,0,11
1403715532.462090730667114,43,0,43,0,11
1403715532.512104511260986,43,0,42,0,11
1403715532.562116861343384,44,0,40,2,11
1403715532.612144470214844,42,6,39,2,11
1403715532.662207365036011,48,5,39,6,11
1403715532.712219715118408,47,0,46,0,11
1403715532.762219190597534,44,1,43,1,11
1403715532.812214612960815,44,0,41,0,11
1403715532.862204790115356,43,0,41,0,11
1403715532.912180185317993,42,2,39,1,11
1403715532.962161064147949,40,0,40,0,11
1403715533.012123107910156,41,7,39,1,11
1403715533.062125444412231,41,0,40,0,11
1403715533.112123727798462,40,0,37,1,11
1403715533.162115573883057,42,1,34,2,11
1403715533.212069988250732,41,3,32,3,11
1403715533.262063980102539,42,0,29,6,11
1403715533.312047719955444,37,1,31,1,11
1403715533.362026929855347,33,0,30,1,11
1403715533.412077426910400,33,4,23,1,11
1403715533.462099075317383,32,3,23,1,11
1403715533.512130975723267,25,4,21,2,11
1403715533.562158584594727,26,1,19,3,11
1403715533.612235784530640,34,3,23,8,11
1403715533.662240266799927,31,3,29,0,11
1403715533.712176084518433,33,2,29,2,11
1403715533.762166023254395,33,2,31,1,11
1403715533.812143325805664,36,3,31,4,11
1403715533.862169265747070,37,1,33,4,11
1403715533.912212133407593,46,6,31,11,11
1403715533.962207794189453,49,1,42,3,11
1403715534.012215137481689,47,8,45,2,11
1403715534.062228441238403,47,0,46,0,11
1403715534.112235784530640,50,11,45,3,11
1403715534.162268400192261,49,10,47,0,11
1403715534.212268352508545,48,2,47,0,11
1403715534.262254238128662,50,3,47,3,11
1403715534.312247514724731,49,2,49,0,11
1403715534.362236022949219,49,2,49,0,11
1403715534.412224054336548,48,10,48,0,11
1403715534.462228775024414,48,3,48,0,11
1403715534.512228488922119,45,5,45,0,11
1403715534.562181711196899,50,5,44,5,11
1403715534.612156391143799,49,17,47,0,11
