# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715528.862618923187256,0.00208,0.00009,0.00055,0.00000,0.00000,0.00120,0.00391
1403715528.907669067382812,0.00206,0.00009,0.00123,0.00000,0.00120,0.00079,0.00537
1403715528.966361999511719,0.00167,0.00010,0.00179,0.00016,0.00000,0.00069,0.00440
1403715529.016124963760376,0.00194,0.00010,0.00056,0.00007,0.00000,0.00076,0.00342
1403715529.065191507339478,0.00205,0.00010,0.00029,0.00006,0.00000,0.00074,0.00324
1403715529.114728212356567,0.00178,0.00011,0.00008,0.00004,0.00000,0.00076,0.00277
1403715529.164661407470703,0.00200,0.00010,0.00054,0.00004,0.00000,0.00075,0.00342
1403715529.214297056198120,0.00204,0.00012,0.00074,0.00005,0.00000,0.00075,0.00369
1403715529.263909101486206,0.00217,0.00010,0.00086,0.00004,0.00095,0.00075,0.00488
1403715529.314089775085449,0.00237,0.00010,0.00109,0.00011,0.00052,0.00072,0.00490
1403715529.363793849945068,0.00229,0.00025,0.00113,0.00015,0.00142,0.00113,0.00637
1403715529.413695096969604,0.00227,0.00011,0.00126,0.00019,0.00165,0.00092,0.00641
1403715529.463741302490234,0.00234,0.00011,0.00067,0.00037,0.00190,0.00119,0.00659
1403715529.513614177703857,0.00206,0.00012,0.00059,0.00064,0.00505,0.00100,0.00946
1403715529.563634395599365,0.00185,0.00014,0.00025,0.00119,0.00543,0.00111,0.00997
1403715529.613640546798706,0.00193,0.00014,0.00036,0.00168,0.00092,0.00075,0.00578
1403715529.663697719573975,0.00203,0.00013,0.00011,0.00167,0.00000,0.00077,0.00471
1403715529.713395833969116,0.00198,0.00012,0.00036,0.00153,0.00043,0.00090,0.00533
1403715529.763396978378296,0.00181,0.00014,0.00071,0.00159,0.00320,0.00117,0.00861
1403715529.813395261764526,0.00196,0.00013,0.00061,0.00199,0.00139,0.00103,0.00711
1403715529.863368749618530,0.00233,0.00016,0.00110,0.00197,0.00233,0.00117,0.00908
1403715529.913304090499878,0.00176,0.00015,0.00410,0.00225,0.00102,0.00101,0.01028
1403715529.963354110717773,0.00194,0.00015,0.00358,0.00243,0.00053,0.00087,0.00949
1403715530.013226985931396,0.00189,0.00013,0.00356,0.00226,0.00053,0.00081,0.00919
1403715530.063141107559204,0.00188,0.00013,0.00084,0.00247,0.00054,0.00083,0.00667
1403715530.113162994384766,0.00204,0.00013,0.00063,0.00246,0.00000,0.00090,0.00617
1403715530.163346052169800,0.00187,0.00017,0.00014,0.00235,0.00051,0.00084,0.00587
1403715530.213600397109985,0.00198,0.00013,0.00198,0.00247,0.00103,0.00088,0.00847
1403715530.263736963272095,0.00176,0.00020,0.00086,0.00259,0.00000,0.00088,0.00630
1403715530.313700914382935,0.00184,0.00014,0.00067,0.00258,0.00055,0.00095,0.00672
1403715530.363538265228271,0.00217,0.00015,0.00315,0.00271,0.00000,0.00108,0.00927
1403715530.413315534591675,0.00253,0.00023,0.00221,0.00255,0.00000,0.00126,0.00878
1403715530.463109254837036,0.00177,0.00014,0.00103,0.00235,0.00052,0.00104,0.00685
1403715530.512916564941406,0.00211,0.00013,0.00430,0.00249,0.00008,0.00093,0.01005
1403715530.562846660614014,0.00241,0.00014,0.00269,0.00241,0.00103,0.00095,0.00963
1403715530.612852573394775,0.00188,0.00014,0.00289,0.00262,0.00054,0.00103,0.00911
