# timestamp (sec),slam_feats_in_state,msckf_feats_used,slam_feats_updated,slam_feats_delayed_init,clones
1403715893.789431571960449,0,15,0,0,5
1403715893.835706472396851,14,15,0,14,6
1403715893.883751869201660,14,0,14,0,7
1403715893.932422161102295,14,0,14,0,8
1403715893.982274532318115,14,1,13,0,9
1403715894.032090902328491,13,1,13,0,10
1403715894.081556797027588,13,0,13,0,11
1403715894.131438493728638,13,1,13,0,11
1403715894.181732892990112,18,1,12,6,11
1403715894.231507062911987,20,0,18,2,11
1403715894.281766414642334,25,1,19,6,11
1403715894.331927061080933,24,1,24,0,11
1403715894.382615804672241,29,3,24,5,11
1403715894.433187246322632,44,25,29,15,11
1403715894.483263015747070,47,0,43,4,11
1403715894.533203601837158,47,0,46,0,11
1403715894.583202600479126,49,1,46,2,11
1403715894.633183479309082,48,0,47,0,11
1403715894.683122873306274,48,0,48,0,11
1403715894.733191728591919,47,0,45,0,11
1403715894.783374071121216,47,0,45,1,11
1403715894.833408117294312,49,4,46,3,11
1403715894.883335590362549,50,2,48,1,11
1403715894.933360338211060,50,5,49,0,11
1403715894.983371496200562,49,1,47,1,11
1403715895.033497333526611,46,22,45,0,11
1403715895.083487749099731,44,0,43,0,11
1403715895.133465290069580,44,2,43,0,11
1403715895.183429718017578,47,1,41,5,11
1403715895.233456611633301,47,1,43,1,11
1403715895.283438205718994,46,1,43,1,11
1403715895.333363294601440,42,2,39,1,11
1403715895.383307218551636,42,2,40,0,11
1403715895.433221817016602,45,1,40,5,11
1403715895.483205556869507,45,0,44,0,11
1403715895.533247947692871,46,1,42,2,11
1403715895.583245992660522,47,1,42,2,11
1403715895.633299827575684,44,21,41,1,11
1403715895.683289766311646,44,2,42,2,11
1403715895.733286380767822,44,0,41,0,11
1403715895.783278465270996,48,7,39,5,11
1403715895.833278179168701,47,0,43,2,11
1403715895.883272886276245,47,4,43,0,11
1403715895.933257102966309,46,1,42,2,11
1403715895.983249902725220,46,2,43,1,11
1403715896.033268690109253,45,1,44,0,11
1403715896.083277463912964,45,0,40,1,11
1403715896.133370399475098,46,0,41,1,11
1403715896.183276176452637,49,8,42,7,11
1403715896.233271121978760,48,16,48,0,11
1403715896.283254861831665,48,0,46,0,11
1403715896.333146095275879,46,0,44,0,11
1403715896.383138656616211,49,4,42,4,11
1403715896.433116912841797,50,1,45,2,11
1403715896.483091354370117,48,0,43,0,11
1403715896.533053874969482,49,0,42,2,11
1403715896.583033800125122,46,3,42,1,11
1403715896.633005142211914,44,0,42,0,11
1403715896.682996988296509,42,0,40,1,11
1403715896.733037233352661,42,0,41,0,11
1403715896.783055782318115,47,4,39,6,11
1403715896.833063840866089,46,12,44,0,11
1403715896.883058309555054,45,0,41,1,11
1403715896.933095216751099,44,2,41,2,11
1403715896.983037710189819,49,5,42,6,11
1403715897.033032894134521,49,1,47,0,11
1403715897.083056688308716,50,1,45,2,11
1403715897.133050441741943,50,0,46,1,11
1403715897.183145284652710,49,3,46,2,11
1403715897.233175516128540,49,1,46,1,11
1403715897.283223152160645,48,2,44,1,11
1403715897.333301305770874,42,2,37,0,11
1403715897.383295536041260,45,2,38,4,11
1403715897.433396100997925,44,12,40,3,11
1403715897.483342409133911,42,3,39,0,11
1403715897.533257484436035,46,3,37,4,11
1403715897.583241224288940,45,2,38,4,11
1403715897.633244752883911,45,2,42,1,11
1403715897.683249711990356,44,1,43,0,11
1403715897.733258008956909,42,2,41,1,11
1403715897.783260583877563,42,1,41,0,11
1403715897.833252429962158,42,3,39,0,11
1403715897.883248805999756,40,3,36,0,11
1403715897.933260917663574,44,4,36,6,11
1403715897.983285665512085,42,0,40,2,11
1403715898.033346176147461,42,17,35,3,11
1403715898.083340167999268,40,6,34,0,11
1403715898.133361816406250,34,8,26,1,11
1403715898.183374643325806,29,4,25,2,11
1403715898.233415603637695,30,5,21,7,11
1403715898.283477783203125,29,3,25,0,11
1403715898.333497047424316,29,5,25,1,11
1403715898.383519172668457,28,7,26,1,11
1403715898.433533668518066,26,8,25,0,11
1403715898.483511924743652,25,8,24,0,11
1403715898.533510208129883,28,6,21,6,11
1403715898.583501338958740,28,4,26,1,11
1403715898.633515834808350,34,9,24,8,11
1403715898.683539867401123,32,7,31,1,11
1403715898.733545064926147,29,5,27,1,11
1403715898.783560276031494,21,5,19,1,11
1403715898.833555459976196,21,2,19,2,11
1403715898.883555650711060,25,2,21,4,11
1403715898.933552742004395,24,2,24,0,11
1403715898.983560323715210,27,6,21,4,11
1403715899.033561229705811,29,3,22,4,11
1403715899.083516836166382,32,2,25,6,11
1403715899.133511781692505,39,4,29,9,11
1403715899.183517217636108,40,3,34,5,11
1403715899.233505964279175,36,6,35,0,11
1403715899.283511161804199,35,7,33,0,11
1403715899.333514451980591,39,6,28,8,11
1403715899.383542776107788,40,5,33,3,11
1403715899.433554649353027,36,4,31,0,11
1403715899.483583688735962,39,5,30,4,11
1403715899.533600091934204,35,1,33,0,11
1403715899.583615064620972,45,4,32,12,11
1403715899.633630275726318,48,4,42,4,11
1403715899.683625221252441,47,3,45,0,11
1403715899.733662605285645,49,9,45,4,11
1403715899.783680438995361,49,4,48,0,11
1403715899.833698034286499,46,7,43,1,11
1403715899.883717298507690,48,9,41,5,11
1403715899.933723211288452,47,0,44,1,11
1403715899.983755350112915,45,5,43,1,11
1403715900.033794164657593,43,5,43,0,11
1403715900.083837032318115,42,4,42,0,11
1403715900.133882045745850,43,0,38,3,11
1403715900.183912754058838,40,3,37,0,11
1403715900.233932495117188,43,0,37,4,11
1403715900.283996105194092,43,5,40,2,11
1403715900.333978652954102,47,1,43,4,11
1403715900.383957862854004,47,3,42,3,11
1403715900.434009790420532,46,4,45,0,11
