# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715893.784058094024658,0.00251,0.00008,0.00017,0.00000,0.00000,0.00118,0.00394
1403715893.834058046340942,0.00244,0.00009,0.00035,0.00000,0.00043,0.00067,0.00397
1403715893.884057998657227,0.00247,0.00009,0.00038,0.00000,0.00000,0.00063,0.00357
1403715893.934057950973511,0.00244,0.00009,0.00009,0.00000,0.00000,0.00075,0.00337
1403715893.984057903289795,0.00244,0.00009,0.00004,0.00000,0.00000,0.00071,0.00328
1403715894.034058094024658,0.00252,0.00009,0.00007,0.00000,0.00000,0.00073,0.00341
1403715894.084058046340942,0.00251,0.00009,0.00005,0.00000,0.00000,0.00073,0.00339
1403715894.134057998657227,0.00264,0.00009,0.00006,0.00000,0.00000,0.00078,0.00357
1403715894.187606096267700,0.00240,0.00009,0.00007,0.00000,0.00031,0.00075,0.00362
1403715894.234746456146240,0.00271,0.00010,0.00007,0.00005,0.00169,0.00078,0.00540
1403715894.284756422042847,0.00286,0.00011,0.00005,0.00016,0.00193,0.00082,0.00592
1403715894.334750890731812,0.00237,0.00011,0.00008,0.00037,0.00000,0.00080,0.00373
1403715894.384858369827271,0.00234,0.00011,0.00025,0.00035,0.00000,0.00079,0.00384
1403715894.434053659439087,0.00259,0.00011,0.00519,0.00035,0.01334,0.00095,0.02254
1403715894.483865737915039,0.00294,0.00012,0.00713,0.00239,0.00000,0.00085,0.01344
1403715894.533945560455322,0.00249,0.00013,0.00240,0.00239,0.00000,0.00097,0.00839
1403715894.583980321884155,0.00269,0.00013,0.00053,0.00226,0.00000,0.00084,0.00646
1403715894.634027242660522,0.00247,0.00013,0.00008,0.00215,0.00000,0.00166,0.00650
1403715894.684077501296997,0.00270,0.00013,0.00092,0.00215,0.00053,0.00086,0.00728
1403715894.734119892120361,0.00245,0.00014,0.00030,0.00221,0.00000,0.00164,0.00673
1403715894.784173011779785,0.00274,0.00014,0.00077,0.00220,0.00105,0.00093,0.00783
1403715894.834317445755005,0.00298,0.00015,0.00283,0.00254,0.00000,0.00183,0.01033
1403715894.884300947189331,0.00279,0.00015,0.00179,0.00241,0.00000,0.00106,0.00820
1403715894.934288501739502,0.00286,0.00014,0.00049,0.00217,0.00000,0.00142,0.00709
1403715894.984239816665649,0.00282,0.00013,0.00242,0.00208,0.00052,0.00108,0.00906
1403715895.034189939498901,0.00270,0.00014,0.00689,0.00215,0.00104,0.00101,0.01393
1403715895.084212541580200,0.00301,0.00014,0.00691,0.00228,0.00053,0.00089,0.01377
1403715895.134200334548950,0.00277,0.00014,0.00279,0.00240,0.00055,0.00100,0.00966
1403715895.184176921844482,0.00256,0.00014,0.00049,0.00255,0.00000,0.00092,0.00666
1403715895.234184980392456,0.00297,0.00014,0.00076,0.00232,0.00000,0.00087,0.00706
1403715895.284148454666138,0.00298,0.00014,0.00030,0.00216,0.00107,0.00086,0.00751
1403715895.334148645401001,0.00286,0.00014,0.00212,0.00215,0.00053,0.00094,0.00874
1403715895.384160757064819,0.00277,0.00015,0.00207,0.00218,0.00157,0.00094,0.00968
1403715895.434150218963623,0.00297,0.00015,0.00282,0.00244,0.00000,0.00116,0.00954
1403715895.484151840209961,0.00359,0.00014,0.00103,0.00233,0.00000,0.00090,0.00800
1403715895.534140110015869,0.00289,0.00014,0.00022,0.00218,0.00054,0.00143,0.00740
1403715895.584139108657837,0.00280,0.00014,0.00243,0.00228,0.00107,0.00147,0.01018
1403715895.634132623672485,0.00354,0.00014,0.00768,0.00241,0.00000,0.00112,0.01489
1403715895.684104919433594,0.00290,0.00013,0.00689,0.00207,0.00054,0.00089,0.01342
1403715895.734097719192505,0.00277,0.00013,0.00205,0.00206,0.00106,0.00086,0.00894
1403715895.784084796905518,0.00266,0.00013,0.00119,0.00222,0.00053,0.00092,0.00765
1403715895.834088563919067,0.00264,0.00014,0.00024,0.00239,0.00106,0.00089,0.00736
1403715895.884072542190552,0.00381,0.00015,0.00231,0.00254,0.00000,0.00098,0.00980
1403715895.934037923812866,0.00300,0.00014,0.00268,0.00247,0.00000,0.00092,0.00921
1403715895.984026432037354,0.00369,0.00013,0.00135,0.00248,0.00109,0.00090,0.00963
1403715896.034046411514282,0.00305,0.00015,0.00347,0.00260,0.00000,0.00091,0.01017
1403715896.084055423736572,0.00273,0.00014,0.00005,0.00261,0.00057,0.00110,0.00720
1403715896.134121179580688,0.00339,0.00029,0.00037,0.00268,0.00000,0.00142,0.00815
1403715896.184072494506836,0.00305,0.00015,0.00325,0.00256,0.00000,0.00092,0.00994
1403715896.234106540679932,0.00271,0.00014,0.00546,0.00264,0.00000,0.00125,0.01219
