# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715893.789431571960449,0.00350,0.00009,0.00058,0.00000,0.00000,0.00122,0.00539
1403715893.835706472396851,0.00426,0.00011,0.00211,0.00000,0.00295,0.00127,0.01070
1403715893.883751869201660,0.00349,0.00011,0.00002,0.00059,0.00000,0.00118,0.00540
1403715893.932422161102295,0.00342,0.00012,0.00003,0.00059,0.00000,0.00131,0.00547
1403715893.982274532318115,0.00339,0.00012,0.00014,0.00058,0.00000,0.00125,0.00549
1403715894.032090902328491,0.00378,0.00013,0.00013,0.00057,0.00000,0.00133,0.00594
1403715894.081556797027588,0.00340,0.00012,0.00008,0.00059,0.00000,0.00157,0.00576
1403715894.131438493728638,0.00406,0.00013,0.00018,0.00056,0.00000,0.00140,0.00632
1403715894.181732892990112,0.00333,0.00013,0.00021,0.00052,0.00204,0.00141,0.00763
1403715894.231507062911987,0.00322,0.00013,0.00003,0.00091,0.00114,0.00136,0.00679
1403715894.281766414642334,0.00390,0.00013,0.00037,0.00103,0.00277,0.00142,0.00963
1403715894.331927061080933,0.00327,0.00013,0.00035,0.00144,0.00018,0.00135,0.00674
1403715894.382615804672241,0.00354,0.00014,0.00073,0.00142,0.00204,0.00152,0.00939
1403715894.433187246322632,0.00321,0.00013,0.00963,0.00175,0.01093,0.00132,0.02698
1403715894.483263015747070,0.00315,0.00016,0.00005,0.00299,0.00421,0.00137,0.01194
1403715894.533203601837158,0.00319,0.00017,0.00001,0.00375,0.00000,0.00139,0.00850
1403715894.583202600479126,0.00344,0.00016,0.00112,0.00367,0.00237,0.00159,0.01235
1403715894.633183479309082,0.00397,0.00016,0.00004,0.00390,0.00001,0.00136,0.00944
1403715894.683122873306274,0.00349,0.00018,0.00002,0.00405,0.00000,0.00165,0.00939
1403715894.733191728591919,0.00367,0.00017,0.00005,0.00377,0.00000,0.00176,0.00943
1403715894.783374071121216,0.00475,0.00016,0.00005,0.00369,0.00017,0.00141,0.01023
1403715894.833408117294312,0.00336,0.00015,0.00311,0.00387,0.00340,0.00141,0.01531
1403715894.883335590362549,0.00361,0.00017,0.00091,0.00417,0.00062,0.00133,0.01082
1403715894.933360338211060,0.00336,0.00017,0.00390,0.00438,0.00000,0.00158,0.01339
1403715894.983371496200562,0.00339,0.00017,0.00062,0.00413,0.00017,0.00178,0.01026
1403715895.033497333526611,0.00365,0.00017,0.01014,0.00390,0.00020,0.00140,0.01945
1403715895.083487749099731,0.00332,0.00015,0.00006,0.00352,0.00001,0.00132,0.00837
1403715895.133465290069580,0.00324,0.00015,0.00022,0.00351,0.00000,0.00137,0.00850
1403715895.183429718017578,0.00331,0.00015,0.00101,0.00329,0.00461,0.00129,0.01367
1403715895.233456611633301,0.00535,0.00016,0.00038,0.00376,0.00058,0.00135,0.01157
1403715895.283438205718994,0.00382,0.00016,0.00024,0.00381,0.00015,0.00142,0.00959
1403715895.333363294601440,0.00359,0.00017,0.00041,0.00309,0.00015,0.00140,0.00880
1403715895.383307218551636,0.00349,0.00015,0.00048,0.00332,0.00000,0.00145,0.00889
1403715895.433221817016602,0.00350,0.00016,0.00023,0.00334,0.00231,0.00137,0.01090
1403715895.483205556869507,0.00360,0.00017,0.00007,0.00395,0.00000,0.00147,0.00926
1403715895.533247947692871,0.00344,0.00016,0.00105,0.00362,0.00253,0.00146,0.01226
1403715895.583245992660522,0.00334,0.00016,0.00044,0.00370,0.00071,0.00138,0.00973
1403715895.633299827575684,0.00538,0.00015,0.00954,0.00356,0.00063,0.00137,0.02063
1403715895.683289766311646,0.00398,0.00016,0.00082,0.00371,0.00025,0.00142,0.01034
1403715895.733286380767822,0.00414,0.00016,0.00014,0.00351,0.00000,0.00144,0.00940
1403715895.783278465270996,0.00398,0.00016,0.00476,0.00341,0.00542,0.00144,0.01917
1403715895.833278179168701,0.00373,0.00016,0.00008,0.00616,0.00039,0.00212,0.01264
1403715895.883272886276245,0.00392,0.00018,0.00080,0.00401,0.00000,0.00142,0.01033
1403715895.933257102966309,0.00369,0.00016,0.00070,0.00371,0.00027,0.00147,0.00999
1403715895.983249902725220,0.00357,0.00016,0.00060,0.00388,0.00015,0.00142,0.00976
