# timestamp (sec),slam_feats_in_state,msckf_feats_used,slam_feats_updated,slam_feats_delayed_init,clones
1413393217.155760526657104,0,0,0,0,5
1413393217.206009626388550,27,15,0,27,6
1413393217.255807638168335,27,1,27,0,7
1413393217.305674791336060,27,2,27,0,8
1413393217.355556488037109,27,1,27,0,9
1413393217.405611991882324,27,2,27,0,10
1413393217.455573320388794,27,1,27,0,11
1413393217.505641698837280,27,1,27,0,11
1413393217.555531263351440,29,3,27,2,11
1413393217.605767250061035,29,1,29,0,11
1413393217.655671596527100,29,1,29,0,11
1413393217.706210136413574,29,2,29,0,11
1413393217.756154537200928,29,1,29,0,11
1413393217.806429862976074,41,9,29,12,11
1413393217.856437206268311,43,0,40,2,11
1413393217.906502485275269,46,1,42,3,11
1413393217.956365108489990,46,1,45,1,11
1413393218.006500959396362,46,0,46,0,11
1413393218.056637763977051,46,0,46,0,11
1413393218.106617689132690,46,0,46,0,11
1413393218.156774282455444,46,1,46,0,11
1413393218.206929922103882,46,0,46,0,11
1413393218.256764173507690,47,0,45,1,11
1413393218.306786775588989,49,1,45,2,11
1413393218.356380701065063,49,1,47,1,11
1413393218.405838727951050,50,17,48,2,11
1413393218.456006765365601,50,0,50,0,11
1413393218.505973577499390,50,3,50,0,11
1413393218.556037902832031,50,5,49,0,11
1413393218.606095552444458,48,3,47,0,11
1413393218.656089067459106,48,0,47,1,11
1413393218.706068277359009,48,0,48,0,11
1413393218.755954742431641,48,0,48,0,11
1413393218.805851697921753,48,0,48,0,11
1413393218.855785131454468,50,3,45,2,11
1413393218.905745029449463,50,0,47,0,11
1413393218.955842733383179,47,3,46,1,11
1413393219.005950689315796,48,4,47,1,11
1413393219.055990934371948,47,0,47,0,11
1413393219.106049060821533,50,1,47,3,11
1413393219.156079530715942,50,8,50,0,11
1413393219.206136465072632,50,3,50,0,11
1413393219.256140708923340,50,1,50,0,11
1413393219.306149721145630,50,0,50,0,11
1413393219.356158256530762,48,2,48,0,11
1413393219.406264781951904,50,2,48,2,11
1413393219.456359148025513,50,7,50,0,11
1413393219.506411075592041,49,1,49,0,11
1413393219.556671142578125,50,17,49,1,11
1413393219.606639385223389,50,0,49,0,11
1413393219.656665086746216,50,9,49,0,11
1413393219.706612348556519,49,1,49,0,11
1413393219.756612300872803,49,2,49,0,11
1413393219.806615352630615,50,1,47,1,11
1413393219.856623411178589,50,0,48,0,11
1413393219.906624794006348,49,2,46,1,11
1413393219.956644535064697,49,4,47,0,11
1413393220.006613254547119,48,6,46,1,11
1413393220.056565761566162,50,4,47,2,11
1413393220.106507778167725,50,1,49,1,11
1413393220.156496763229370,50,4,50,0,11
1413393220.206478595733643,50,4,50,0,11
1413393220.256468534469604,49,7,49,0,11
1413393220.306474685668945,50,0,49,1,11
1413393220.356490373611450,50,6,49,0,11
1413393220.406485795974731,50,0,49,0,11
1413393220.456496477127075,50,1,49,1,11
1413393220.506527423858643,50,8,50,0,11
1413393220.556550502777100,50,0,50,0,11
1413393220.606538534164429,50,0,50,0,11
1413393220.656542301177979,50,2,50,0,11
1413393220.706562757492065,50,0,50,0,11
1413393220.756536483764648,50,3,50,0,11
1413393220.806543827056885,50,0,50,0,11
1413393220.856518507003784,50,3,50,0,11
1413393220.906508684158325,50,0,50,0,11
1413393220.956537961959839,50,6,50,0,11
1413393221.006577730178833,50,0,50,0,11
1413393221.056600809097290,50,0,49,0,11
1413393221.106629371643066,50,1,49,0,11
1413393221.156675338745117,49,0,48,0,11
1413393221.206666946411133,49,0,48,0,11
1413393221.256680250167847,50,1,48,2,11
1413393221.306612253189087,50,0,49,0,11
1413393221.356648921966553,50,2,49,0,11
1413393221.406664609909058,50,2,49,1,11
1413393221.456653594970703,50,6,50,0,11
1413393221.506647109985352,50,0,49,0,11
1413393221.556637048721313,50,12,49,0,11
1413393221.606631755828857,50,0,49,1,11
1413393221.656562805175781,50,0,50,0,11
1413393221.706533193588257,50,6,50,0,11
1413393221.756506204605103,49,1,49,0,11
1413393221.806462049484253,49,0,49,0,11
1413393221.856490612030029,50,1,49,1,11
1413393221.906509637832642,50,0,50,0,11
1413393221.956539392471313,49,3,49,0,11
1413393222.006551980972290,48,1,47,0,11
