# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1413393217.155760526657104,0.00287,0.00009,0.00014,0.00000,0.00000,0.00179,0.00490
1413393217.206009626388550,0.00328,0.00011,0.00192,0.00000,0.00568,0.00126,0.01225
1413393217.255807638168335,0.00344,0.00013,0.00012,0.00190,0.00000,0.00118,0.00678
1413393217.305674791336060,0.00335,0.00013,0.00017,0.00190,0.00000,0.00168,0.00723
1413393217.355556488037109,0.00346,0.00013,0.00014,0.00195,0.00000,0.00122,0.00690
1413393217.405611991882324,0.00302,0.00013,0.00035,0.00197,0.00000,0.00120,0.00667
1413393217.455573320388794,0.00303,0.00014,0.00014,0.00202,0.00000,0.00119,0.00653
1413393217.505641698837280,0.00319,0.00015,0.00018,0.00209,0.00000,0.00125,0.00686
1413393217.555531263351440,0.00337,0.00014,0.00029,0.00209,0.00173,0.00127,0.00889
1413393217.605767250061035,0.00297,0.00014,0.00014,0.00231,0.00000,0.00124,0.00680
1413393217.655671596527100,0.00307,0.00014,0.00016,0.00226,0.00000,0.00126,0.00690
1413393217.706210136413574,0.00317,0.00013,0.00022,0.00226,0.00000,0.00123,0.00702
1413393217.756154537200928,0.00305,0.00014,0.00015,0.00226,0.00000,0.00147,0.00707
1413393217.806429862976074,0.00302,0.00014,0.00408,0.00231,0.01137,0.00128,0.02221
1413393217.856437206268311,0.00318,0.00016,0.00006,0.00367,0.00213,0.00128,0.01049
1413393217.906502485275269,0.00332,0.00015,0.00024,0.00405,0.00321,0.00127,0.01224
1413393217.956365108489990,0.00354,0.00017,0.00046,0.00458,0.00015,0.00133,0.01023
1413393218.006500959396362,0.00342,0.00016,0.00005,0.00490,0.00000,0.00131,0.00983
1413393218.056637763977051,0.00360,0.00016,0.00006,0.00486,0.00000,0.00134,0.01003
1413393218.106617689132690,0.00341,0.00016,0.00006,0.00482,0.00000,0.00135,0.00981
1413393218.156774282455444,0.00322,0.00015,0.00049,0.00490,0.00000,0.00134,0.01010
1413393218.206929922103882,0.00343,0.00016,0.00001,0.00487,0.00015,0.00135,0.00997
1413393218.256764173507690,0.00330,0.00017,0.00005,0.00473,0.00115,0.00137,0.01077
1413393218.306786775588989,0.00357,0.00015,0.00032,0.00476,0.00230,0.00152,0.01263
1413393218.356380701065063,0.00332,0.00017,0.00115,0.00513,0.00117,0.00143,0.01237
1413393218.405838727951050,0.00321,0.00016,0.00652,0.00528,0.00128,0.00131,0.01776
1413393218.456006765365601,0.00346,0.00018,0.00006,0.00562,0.00000,0.00135,0.01068
1413393218.505973577499390,0.00335,0.00017,0.00291,0.00553,0.00000,0.00132,0.01329
1413393218.556037902832031,0.00321,0.00017,0.00342,0.00530,0.00000,0.00129,0.01339
1413393218.606095552444458,0.00343,0.00016,0.00294,0.00483,0.00000,0.00129,0.01265
1413393218.656089067459106,0.00356,0.00017,0.00017,0.00480,0.00017,0.00135,0.01022
1413393218.706068277359009,0.00344,0.00018,0.00007,0.00502,0.00000,0.00131,0.01002
1413393218.755954742431641,0.00342,0.00016,0.00007,0.00505,0.00004,0.00131,0.01006
1413393218.805851697921753,0.00332,0.00015,0.00008,0.00508,0.00000,0.00128,0.00991
1413393218.855785131454468,0.00361,0.00017,0.00225,0.00466,0.00230,0.00155,0.01454
1413393218.905745029449463,0.00399,0.00016,0.00010,0.00507,0.00000,0.00142,0.01073
1413393218.955842733383179,0.00317,0.00016,0.00142,0.00461,0.00015,0.00134,0.01086
1413393219.005950689315796,0.00360,0.00018,0.00298,0.00475,0.00114,0.00132,0.01396
1413393219.055990934371948,0.00321,0.00017,0.00004,0.00483,0.00000,0.00136,0.00961
1413393219.106049060821533,0.00406,0.00017,0.00103,0.00482,0.00228,0.00137,0.01373
1413393219.156079530715942,0.00336,0.00016,0.00430,0.00528,0.00000,0.00141,0.01451
1413393219.206136465072632,0.00334,0.00017,0.00109,0.00537,0.00000,0.00141,0.01137
1413393219.256140708923340,0.00348,0.00017,0.00030,0.00547,0.00000,0.00138,0.01080
1413393219.306149721145630,0.00344,0.00016,0.00001,0.00548,0.00000,0.00140,0.01050
1413393219.356158256530762,0.00330,0.00017,0.00072,0.00513,0.00000,0.00139,0.01072
1413393219.406264781951904,0.00329,0.00017,0.00091,0.00518,0.00226,0.00161,0.01341
1413393219.456359148025513,0.00325,0.00018,0.00417,0.00538,0.00000,0.00147,0.01444
1413393219.506411075592041,0.00327,0.00017,0.00035,0.00537,0.00000,0.00144,0.01060
1413393219.556671142578125,0.00317,0.00017,0.00497,0.00529,0.00060,0.00137,0.01557
1413393219.606639385223389,0.00318,0.00016,0.00017,0.00550,0.00000,0.00141,0.01042
1413393219.656665086746216,0.00320,0.00016,0.00502,0.00555,0.00000,0.00142,0.01535
1413393219.706612348556519,0.00317,0.00016,0.00113,0.00547,0.00001,0.00137,0.01131
1413393219.756612300872803,0.00325,0.00017,0.00226,0.00545,0.00004,0.00142,0.01258
1413393219.806615352630615,0.00320,0.00016,0.00029,0.00515,0.00062,0.00134,0.01076
1413393219.856623411178589,0.00310,0.00017,0.00003,0.00531,0.00000,0.00131,0.00993
1413393219.906624794006348,0.00320,0.00017,0.00045,0.00480,0.00016,0.00133,0.01012
1413393219.956644535064697,0.00370,0.00017,0.00076,0.00500,0.00000,0.00157,0.01121
1413393220.006613254547119,0.00318,0.00016,0.00214,0.00458,0.00016,0.00134,0.01156
1413393220.056565761566162,0.00307,0.00017,0.00287,0.00481,0.00221,0.00135,0.01448
1413393220.106507778167725,0.00295,0.00016,0.00057,0.00523,0.00017,0.00133,0.01041
1413393220.156496763229370,0.00295,0.00016,0.00269,0.00546,0.00000,0.00139,0.01265
1413393220.206478595733643,0.00297,0.00016,0.00214,0.00550,0.00000,0.00135,0.01212
1413393220.256468534469604,0.00294,0.00016,0.00445,0.00525,0.00000,0.00131,0.01412
1413393220.306474685668945,0.00307,0.00018,0.00001,0.00541,0.00118,0.00139,0.01125
1413393220.356490373611450,0.00298,0.00016,0.00391,0.00546,0.00000,0.00130,0.01382
1413393220.406485795974731,0.00370,0.00017,0.00004,0.00551,0.00000,0.00135,0.01077
1413393220.456496477127075,0.00319,0.00016,0.00017,0.00541,0.00016,0.00136,0.01045
1413393220.506527423858643,0.00311,0.00016,0.00532,0.00566,0.00000,0.00160,0.01586
1413393220.556550502777100,0.00311,0.00017,0.00001,0.00572,0.00000,0.00141,0.01042
1413393220.606538534164429,0.00313,0.00018,0.00001,0.00571,0.00000,0.00142,0.01045
1413393220.656542301177979,0.00320,0.00018,0.00224,0.00569,0.00000,0.00141,0.01272
1413393220.706562757492065,0.00308,0.00017,0.00001,0.00558,0.00000,0.00138,0.01022
1413393220.756536483764648,0.00312,0.00016,0.00212,0.00553,0.00000,0.00141,0.01234
1413393220.806543827056885,0.00318,0.00017,0.00016,0.00556,0.00000,0.00141,0.01048
1413393220.856518507003784,0.00308,0.00017,0.00239,0.00547,0.00000,0.00141,0.01253
1413393220.906508684158325,0.00302,0.00016,0.00001,0.00555,0.00000,0.00134,0.01009
1413393220.956537961959839,0.00301,0.00016,0.00434,0.00541,0.00000,0.00135,0.01427
1413393221.006577730178833,0.00305,0.00017,0.00004,0.00549,0.00000,0.00133,0.01008
