# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1413393890.055914878845215,0.00199,0.00008,0.00025,0.00000,0.00000,0.00098,0.00330
1413393890.106530189514160,0.00170,0.00009,0.00093,0.00000,0.00162,0.00068,0.00502
1413393890.156435966491699,0.00186,0.00010,0.00004,0.00036,0.00000,0.00055,0.00291
1413393890.206271171569824,0.00194,0.00010,0.00012,0.00035,0.00000,0.00060,0.00311
1413393890.256265401840210,0.00193,0.00011,0.00015,0.00036,0.00000,0.00061,0.00316
1413393890.306318044662476,0.00194,0.00011,0.00015,0.00037,0.00000,0.00061,0.00318
1413393890.356474399566650,0.00184,0.00011,0.00014,0.00038,0.00000,0.00075,0.00322
1413393890.406503915786743,0.00206,0.00012,0.00030,0.00039,0.00000,0.00070,0.00357
1413393890.456317901611328,0.00249,0.00012,0.00018,0.00040,0.00068,0.00114,0.00501
1413393890.506465435028076,0.00199,0.00012,0.00004,0.00050,0.00162,0.00069,0.00495
1413393890.556353569030762,0.00205,0.00012,0.00028,0.00077,0.00287,0.00093,0.00702
1413393890.606460332870483,0.00195,0.00012,0.00032,0.00105,0.00744,0.00064,0.01152
1413393890.656611919403076,0.00172,0.00013,0.00032,0.00210,0.00052,0.00082,0.00561
1413393890.706751823425293,0.00176,0.00013,0.00514,0.00221,0.00053,0.00064,0.01042
1413393890.756830453872681,0.00177,0.00013,0.00048,0.00233,0.00051,0.00066,0.00587
1413393890.806870698928833,0.00176,0.00013,0.00005,0.00240,0.00002,0.00070,0.00505
1413393890.856847763061523,0.00188,0.00013,0.00164,0.00241,0.00053,0.00064,0.00723
1413393890.906837224960327,0.00184,0.00013,0.00005,0.00258,0.00000,0.00121,0.00583
1413393890.956799030303955,0.00193,0.00013,0.00054,0.00257,0.00000,0.00063,0.00580
1413393891.006781578063965,0.00243,0.00014,0.00006,0.00246,0.00000,0.00069,0.00577
1413393891.056674957275391,0.00199,0.00013,0.00083,0.00241,0.00000,0.00083,0.00620
1413393891.106560230255127,0.00184,0.00013,0.00049,0.00241,0.00000,0.00071,0.00559
1413393891.156514883041382,0.00172,0.00014,0.00026,0.00248,0.00056,0.00079,0.00595
1413393891.206501483917236,0.00180,0.00014,0.00005,0.00253,0.00000,0.00078,0.00530
