# timestamp (sec),slam_feats_in_state,msckf_feats_used,slam_feats_updated,slam_feats_delayed_init,clones
1413393890.055914878845215,0,2,0,0,5
1413393890.106530189514160,18,21,0,18,6
1413393890.156435966491699,17,0,17,0,7
1413393890.206271171569824,17,2,17,0,8
1413393890.256265401840210,17,2,17,0,9
1413393890.306318044662476,17,1,17,0,10
1413393890.356474399566650,17,1,17,0,11
1413393890.406503915786743,17,2,17,0,11
1413393890.456317901611328,19,1,17,2,11
1413393890.506465435028076,24,0,19,5,11
1413393890.556353569030762,32,1,24,8,11
1413393890.606460332870483,47,1,29,18,11
1413393890.656611919403076,48,1,46,1,11
1413393890.706751823425293,49,26,47,1,11
1413393890.756830453872681,49,1,48,1,11
1413393890.806870698928833,49,0,49,0,11
1413393890.856847763061523,50,4,49,1,11
1413393890.906837224960327,50,0,50,0,11
1413393890.956799030303955,50,1,50,0,11
1413393891.006781578063965,50,0,49,0,11
1413393891.056674957275391,50,2,49,0,11
1413393891.106560230255127,49,1,49,0,11
1413393891.156514883041382,50,1,49,1,11
1413393891.206501483917236,50,0,50,0,11
1413393891.256495237350464,50,0,50,0,11
1413393891.306581497192383,50,18,50,0,11
1413393891.356608390808105,48,1,46,0,11
1413393891.406577587127686,41,2,41,0,11
1413393891.456466197967529,46,0,41,5,11
1413393891.506311416625977,43,1,41,1,11
1413393891.556146144866943,41,0,39,0,11
1413393891.605919122695923,40,0,39,0,11
1413393891.655754804611206,43,0,38,4,11
1413393891.705664157867432,44,1,41,1,11
1413393891.755578041076660,43,1,41,0,11
1413393891.805484294891357,42,0,41,0,11
1413393891.855486631393433,43,0,41,2,11
1413393891.905409574508667,50,12,42,7,11
1413393891.955437421798706,49,21,47,0,11
1413393892.005413770675659,48,4,45,1,11
1413393892.055449962615967,48,1,45,2,11
1413393892.105588436126709,48,8,45,2,11
1413393892.155573844909668,50,3,46,2,11
1413393892.205577135086060,46,2,45,0,11
1413393892.255557775497437,46,5,44,2,11
1413393892.305531263351440,45,0,43,0,11
1413393892.355493545532227,45,3,41,2,11
1413393892.405427217483521,41,8,41,0,11
1413393892.455393075942993,41,3,41,0,11
