# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715278.863063097000122,0.00391,0.00013,0.00033,0.00000,0.00000,0.00129,0.00565
1403715278.910297393798828,0.00417,0.00011,0.00332,0.00000,0.00667,0.00123,0.01550
1403715278.960091352462769,0.00354,0.00011,0.00045,0.00208,0.00000,0.00119,0.00736
1403715279.009455442428589,0.00354,0.00012,0.00007,0.00207,0.00000,0.00131,0.00712
1403715279.059328317642212,0.00399,0.00013,0.00003,0.00212,0.00000,0.00126,0.00754
1403715279.109129190444946,0.00353,0.00012,0.00040,0.00205,0.00000,0.00125,0.00735
1403715279.159253120422363,0.00338,0.00013,0.00043,0.00203,0.00000,0.00125,0.00722
1403715279.209295034408569,0.00314,0.00012,0.00056,0.00207,0.00000,0.00128,0.00717
1403715279.259331941604614,0.00321,0.00012,0.00001,0.00210,0.00416,0.00137,0.01096
1403715279.309194087982178,0.00332,0.00014,0.00004,0.00267,0.00367,0.00130,0.01114
1403715279.358790874481201,0.00335,0.00014,0.00001,0.00316,0.00107,0.00136,0.00910
1403715279.408934593200684,0.00355,0.00015,0.00001,0.00349,0.00896,0.00128,0.01745
1403715279.459360122680664,0.00345,0.00016,0.00001,0.00486,0.00000,0.00162,0.01010
1403715279.510087728500366,0.00324,0.00016,0.01015,0.00493,0.00121,0.00131,0.02100
1403715279.560822486877441,0.00308,0.00015,0.00001,0.00508,0.00004,0.00138,0.00975
1403715279.611672163009644,0.00316,0.00014,0.00107,0.00490,0.00112,0.00135,0.01173
1403715279.662250757217407,0.00323,0.00017,0.00001,0.00541,0.00000,0.00135,0.01018
1403715279.712315320968628,0.00331,0.00016,0.00001,0.00532,0.00000,0.00134,0.01015
1403715279.762278079986572,0.00317,0.00017,0.00001,0.00519,0.00000,0.00134,0.00989
1403715279.812334775924683,0.00319,0.00017,0.00004,0.00523,0.00000,0.00132,0.00996
1403715279.862349510192871,0.00327,0.00015,0.00005,0.00521,0.00000,0.00133,0.01002
1403715279.912010192871094,0.00327,0.00016,0.00056,0.00521,0.00000,0.00170,0.01090
1403715279.961283683776855,0.00386,0.00017,0.00116,0.00535,0.00002,0.00141,0.01197
1403715280.011179208755493,0.00350,0.00016,0.00001,0.00536,0.00000,0.00196,0.01098
1403715280.061277151107788,0.00378,0.00018,0.00005,0.00536,0.00000,0.00138,0.01074
1403715280.111856222152710,0.00373,0.00015,0.00974,0.00522,0.00004,0.00140,0.02028
1403715280.162876129150391,0.00392,0.00016,0.00008,0.00513,0.00003,0.00131,0.01063
1403715280.213415622711182,0.00345,0.00018,0.00107,0.00503,0.00006,0.00168,0.01146
1403715280.264235496520996,0.00384,0.00016,0.00007,0.00507,0.00000,0.00136,0.01050
1403715280.314446210861206,0.00346,0.00017,0.00001,0.00468,0.00000,0.00172,0.01005
1403715280.364553213119507,0.00376,0.00015,0.00001,0.00470,0.00000,0.00134,0.00996
1403715280.414344787597656,0.00383,0.00015,0.00006,0.00466,0.00017,0.00173,0.01062
1403715280.464020729064941,0.00380,0.00018,0.00043,0.00486,0.00000,0.00135,0.01062
