# timestamp (sec),slam_feats_in_state,msckf_feats_used,slam_feats_updated,slam_feats_delayed_init,clones
1403715278.863381147384644,0,3,0,0,5
1403715278.912552356719971,32,35,0,32,6
1403715278.961737871170044,31,4,31,0,7
1403715279.009729862213135,29,0,29,0,8
1403715279.058374643325806,29,0,29,0,9
1403715279.107072591781616,29,1,29,0,10
1403715279.157017707824707,28,2,28,0,11
1403715279.207179069519043,28,1,28,0,11
1403715279.258327007293701,33,0,28,5,11
1403715279.309247493743896,37,0,33,4,11
1403715279.358762025833130,38,0,37,1,11
1403715279.409277915954590,47,0,38,9,11
1403715279.459527730941772,47,0,47,0,11
1403715279.508239984512329,48,21,47,1,11
1403715279.557832717895508,48,0,48,0,11
1403715279.607339143753052,49,1,48,1,11
1403715279.657241344451904,49,0,49,0,11
1403715279.706983804702759,49,0,49,0,11
1403715279.756994009017944,49,0,49,0,11
1403715279.807366847991943,49,0,48,0,11
1403715279.857958078384399,49,0,48,0,11
1403715279.908463954925537,49,1,48,1,11
1403715279.959798812866211,49,1,49,0,11
1403715280.010147094726562,49,0,6,0,11
1403715280.060391902923584,49,0,4,0,11
1403715280.112648010253906,46,18,5,41,11
1403715280.163423299789429,46,0,46,0,11
1403715280.214165210723877,47,0,46,1,11
1403715280.265244960784912,47,0,47,0,11
1403715280.315745115280151,47,0,47,0,11
1403715280.365633249282837,47,0,47,0,11
1403715280.414695024490356,47,0,46,0,11
1403715280.463881015777588,47,1,45,0,11
1403715280.513084411621094,46,0,44,2,11
1403715280.562497138977051,47,2,44,1,11
1403715280.612012147903442,49,1,44,4,11
1403715280.661728858947754,48,1,47,1,11
1403715280.711601734161377,48,23,47,0,11
1403715280.761648178100586,50,2,47,2,11
1403715280.811682939529419,48,1,47,1,11
1403715280.861626148223877,48,2,45,0,11
1403715280.911563634872437,46,1,43,0,11
1403715280.961757183074951,45,0,40,4,11
1403715281.011983871459961,41,1,41,0,11
1403715281.062120914459229,41,0,41,0,11
1403715281.112250328063965,41,0,41,0,11
1403715281.162400007247925,42,0,39,3,11
1403715281.212517023086548,42,1,42,0,11
1403715281.262684106826782,41,0,41,0,11
1403715281.313097953796387,48,13,34,8,11
1403715281.363322019577026,47,0,17,0,11
1403715281.413613796234131,48,11,24,6,11
1403715281.463582992553711,48,0,8,18,11
1403715281.513614177703857,48,0,18,7,11
1403715281.563589096069336,47,1,7,14,11
1403715281.613712549209595,46,0,17,7,11
1403715281.663814306259155,43,1,27,15,11
1403715281.713771343231201,41,0,37,0,11
1403715281.763952732086182,39,0,36,0,11
1403715281.813950300216675,36,0,33,1,11
1403715281.863893747329712,35,0,33,0,11
1403715281.913811683654785,35,0,33,2,11
1403715281.963796854019165,35,2,33,0,11
1403715282.013867616653442,42,0,33,7,11
1403715282.063697338104248,49,10,33,9,11
1403715282.113838911056519,49,0,44,2,11
1403715282.163608789443970,50,1,39,3,11
1403715282.213742971420288,50,0,32,4,11
1403715282.263802766799927,49,1,40,4,11
1403715282.313800573348999,49,0,44,4,11
1403715282.363771438598633,49,0,47,1,11
1403715282.413549661636353,48,1,40,1,11
1403715282.463549613952637,46,0,0,0,11
1403715282.513542175292969,45,1,0,10,11
1403715282.563557147979736,39,0,9,30,11
1403715282.613561868667603,40,0,39,1,11
1403715282.663570165634155,40,0,40,0,11
1403715282.713572978973389,40,0,40,0,11
1403715282.763579845428467,39,0,39,0,11
1403715282.813574075698853,39,0,38,0,11
1403715282.863507986068726,38,1,33,0,11
1403715282.913456201553345,38,0,28,1,11
1403715282.963479518890381,38,2,24,4,11
1403715283.013523340225220,38,4,30,5,11
1403715283.063571214675903,37,2,35,2,11
1403715283.113598108291626,48,1,37,11,11
1403715283.163616418838501,50,1,47,2,11
1403715283.213761568069458,50,33,48,0,11
1403715283.263842582702637,50,16,48,2,11
1403715283.363934040069580,50,1,49,0,11
1403715283.463929176330566,43,3,37,0,11
1403715283.514033555984497,40,0,35,0,11
1403715283.564014673233032,36,0,35,1,11
1403715283.613983869552612,36,0,36,0,11
1403715283.663896322250366,36,0,36,0,11
1403715283.713871240615845,35,0,27,0,11
1403715283.763863563537598,35,0,23,0,11
1403715283.813863515853882,34,0,0,8,11
1403715283.863864183425903,34,0,3,4,11
1403715283.913921833038330,33,6,0,21,11
1403715283.963903427124023,33,0,6,5,11
1403715284.013901948928833,33,0,1,7,11
1403715284.063909292221069,32,0,7,14,11
1403715284.113924503326416,32,0,14,10,11
1403715284.163956403732300,32,0,6,1,11
1403715284.213974952697754,32,0,3,7,11
1403715284.263992071151733,32,0,4,18,11
1403715284.314018249511719,32,0,13,4,11
1403715284.364009618759155,32,0,3,6,11
1403715284.414015054702759,32,0,2,9,11
1403715284.464030504226685,32,0,5,14,11
