# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715278.863017320632935,0.00448,0.00011,0.00033,0.00000,0.00000,0.00128,0.00620
1403715278.911641120910645,0.00458,0.00011,0.00334,0.00000,0.00662,0.00120,0.01585
1403715278.961362123489380,0.00435,0.00013,0.00049,0.00209,0.00000,0.00115,0.00822
1403715279.010837316513062,0.00418,0.00015,0.00006,0.00205,0.00000,0.00125,0.00769
1403715279.060688972473145,0.00472,0.00015,0.00003,0.00204,0.00000,0.00127,0.00821
1403715279.110451221466064,0.00425,0.00018,0.00039,0.00212,0.00000,0.00127,0.00821
1403715279.160466670989990,0.00401,0.00015,0.00048,0.00219,0.00000,0.00127,0.00810
1403715279.210573434829712,0.00363,0.00015,0.00058,0.00210,0.00000,0.00133,0.00779
1403715279.260602235794067,0.00401,0.00013,0.00001,0.00220,0.00426,0.00132,0.01193
1403715279.310584068298340,0.00400,0.00016,0.00004,0.00264,0.00362,0.00135,0.01182
1403715279.360185861587524,0.00401,0.00016,0.00001,0.00319,0.00112,0.00138,0.00987
1403715279.409940004348755,0.00412,0.00017,0.00002,0.00336,0.00871,0.00133,0.01771
1403715279.460037469863892,0.00388,0.00018,0.00001,0.00480,0.00000,0.00161,0.01048
1403715279.509864568710327,0.00405,0.00017,0.01052,0.00469,0.00111,0.00171,0.02226
1403715279.559869766235352,0.00439,0.00018,0.00001,0.00501,0.00004,0.00131,0.01094
1403715279.609885215759277,0.00402,0.00018,0.00109,0.00501,0.00112,0.00182,0.01324
1403715279.660056829452515,0.00431,0.00021,0.00001,0.00538,0.00000,0.00135,0.01127
1403715279.710155010223389,0.00413,0.00018,0.00001,0.00537,0.00000,0.00174,0.01144
1403715279.760087728500366,0.00446,0.00018,0.00001,0.00529,0.00000,0.00133,0.01128
1403715279.810221672058105,0.00409,0.00018,0.00004,0.00550,0.00000,0.00138,0.01119
1403715279.860102891921997,0.00406,0.00017,0.00005,0.00531,0.00000,0.00138,0.01097
1403715279.909845113754272,0.00393,0.00019,0.00057,0.00535,0.00000,0.00175,0.01179
1403715279.959749698638916,0.00425,0.00018,0.00116,0.00525,0.00003,0.00135,0.01222
1403715280.009759187698364,0.00413,0.00018,0.00001,0.00533,0.00000,0.00195,0.01161
1403715280.059809207916260,0.00473,0.00017,0.00005,0.00521,0.00000,0.00135,0.01152
1403715280.109935522079468,0.00440,0.00019,0.00985,0.00494,0.00004,0.00136,0.02077
1403715280.160745620727539,0.00448,0.00020,0.00001,0.00502,0.00003,0.00132,0.01107
1403715280.211596727371216,0.00434,0.00018,0.00007,0.00517,0.00116,0.00133,0.01225
1403715280.262508630752563,0.00403,0.00018,0.00012,0.00504,0.00000,0.00130,0.01067
1403715280.312587976455688,0.00415,0.00026,0.00005,0.00493,0.00000,0.00175,0.01113
1403715280.362538337707520,0.00436,0.00020,0.00001,0.00518,0.00000,0.00136,0.01110
1403715280.412427186965942,0.00454,0.00018,0.00001,0.00480,0.00000,0.00174,0.01128
1403715280.462187528610229,0.00438,0.00017,0.00044,0.00477,0.00000,0.00136,0.01112
1403715280.512098550796509,0.00416,0.00021,0.00020,0.00456,0.00016,0.00170,0.01099
1403715280.561960458755493,0.00444,0.00018,0.00086,0.00476,0.00075,0.00157,0.01256
1403715280.611915349960327,0.00492,0.00024,0.00073,0.00470,0.00335,0.00153,0.01548
1403715280.661906003952026,0.00451,0.00018,0.00050,0.00520,0.00000,0.00127,0.01166
1403715280.711913585662842,0.00461,0.00020,0.00987,0.00513,0.00005,0.00152,0.02139
1403715280.761913537979126,0.00465,0.00017,0.00070,0.00488,0.00107,0.00131,0.01278
1403715280.811938285827637,0.00418,0.00019,0.00089,0.00469,0.00015,0.00133,0.01143
1403715280.861959934234619,0.00423,0.00018,0.00021,0.00455,0.00000,0.00127,0.01044
1403715280.912095546722412,0.00547,0.00020,0.00119,0.00444,0.00015,0.00185,0.01329
1403715280.962100028991699,0.00458,0.00018,0.00014,0.00403,0.00194,0.00138,0.01224
1403715281.012114286422729,0.00458,0.00020,0.00030,0.00374,0.00015,0.00131,0.01027
1403715281.062126636505127,0.00343,0.00017,0.00004,0.00405,0.00000,0.00134,0.00903
1403715281.112098932266235,0.00433,0.00018,0.00014,0.00401,0.00000,0.00189,0.01055
1403715281.162080526351929,0.00434,0.00018,0.00011,0.00366,0.00291,0.00126,0.01246
1403715281.212142944335938,0.00527,0.00017,0.00066,0.00406,0.00000,0.00133,0.01149
1403715281.262358427047729,0.00464,0.00018,0.00008,0.00392,0.00000,0.00133,0.01016
1403715281.312534332275391,0.00458,0.00017,0.00571,0.00368,0.00800,0.00151,0.02365
1403715281.362508296966553,0.00502,0.00018,0.00061,0.00504,0.00000,0.00134,0.01220
1403715281.412577867507935,0.00468,0.00018,0.00002,0.00511,0.00005,0.00178,0.01181
1403715281.462625741958618,0.00450,0.00017,0.00659,0.00496,0.00328,0.00133,0.02084
1403715281.512529373168945,0.00429,0.00025,0.00003,0.00548,0.00000,0.00180,0.01186
1403715281.562464237213135,0.00461,0.00019,0.00008,0.00505,0.00000,0.00139,0.01132
1403715281.612426996231079,0.00454,0.00021,0.00012,0.00486,0.00027,0.00181,0.01182
1403715281.662407636642456,0.00464,0.00018,0.00016,0.00501,0.00027,0.00146,0.01173
1403715281.712392330169678,0.00432,0.00019,0.00023,0.00376,0.00000,0.00163,0.01013
1403715281.762376070022583,0.00437,0.00017,0.00527,0.00336,0.00707,0.00129,0.02154
1403715281.812389373779297,0.00677,0.00017,0.00008,0.00399,0.00002,0.00176,0.01279
1403715281.862405538558960,0.00478,0.00018,0.00028,0.00362,0.00000,0.00137,0.01023
1403715281.912417888641357,0.00446,0.00017,0.00074,0.00358,0.00786,0.00163,0.01844
1403715281.962468624114990,0.00456,0.00018,0.00001,0.00536,0.00000,0.00138,0.01149
1403715282.012491226196289,0.00445,0.00021,0.00002,0.00518,0.00004,0.00144,0.01133
1403715282.062531948089600,0.00399,0.00019,0.00474,0.00462,0.00317,0.00138,0.01809
1403715282.112524271011353,0.00456,0.00027,0.00002,0.00528,0.00000,0.00186,0.01199
1403715282.162560462951660,0.00439,0.00019,0.00009,0.00496,0.00017,0.00139,0.01118
1403715282.212557077407837,0.00423,0.00018,0.00009,0.00494,0.00033,0.00144,0.01121
1403715282.262583732604980,0.00424,0.00017,0.00014,0.00518,0.00030,0.00134,0.01136
1403715282.312572002410889,0.00419,0.00019,0.00060,0.00530,0.00000,0.00139,0.01167
1403715282.362585544586182,0.00489,0.00018,0.01315,0.00518,0.00127,0.00125,0.02593
1403715282.412566423416138,0.00438,0.00018,0.00020,0.00507,0.00015,0.00135,0.01133
1403715282.462551593780518,0.00409,0.00018,0.00008,0.00501,0.00000,0.00141,0.01078
1403715282.512526988983154,0.00433,0.00019,0.00058,0.00483,0.00157,0.00197,0.01347
1403715282.562519311904907,0.00468,0.00019,0.00007,0.00486,0.00000,0.00134,0.01114
1403715282.612517118453979,0.00414,0.00019,0.00013,0.00413,0.00020,0.00171,0.01049
1403715282.662513017654419,0.00548,0.00016,0.00301,0.00410,0.00458,0.00135,0.01868
1403715282.712495803833008,0.00468,0.00018,0.00072,0.00500,0.00001,0.00177,0.01237
1403715282.762496232986450,0.00640,0.00017,0.00006,0.00487,0.00000,0.00149,0.01299
1403715282.812524557113647,0.00493,0.00018,0.00030,0.00487,0.00026,0.00178,0.01232
1403715282.862556695938110,0.00509,0.00017,0.00013,0.00492,0.00000,0.00141,0.01172
1403715282.912547588348389,0.00490,0.00025,0.00002,0.00493,0.00000,0.00189,0.01198
1403715282.962453603744507,0.00486,0.00018,0.00960,0.00422,0.00506,0.00145,0.02537
1403715283.012634992599487,0.00458,0.00025,0.00036,0.00483,0.00001,0.00189,0.01192
1403715283.062569618225098,0.00447,0.00018,0.00007,0.00423,0.00018,0.00145,0.01058
1403715283.112547159194946,0.00458,0.00018,0.00016,0.00382,0.00092,0.00187,0.01154
1403715283.162618637084961,0.00459,0.00018,0.00018,0.00433,0.00048,0.00144,0.01121
1403715283.212630510330200,0.00451,0.00026,0.00386,0.00463,0.00149,0.00165,0.01639
1403715283.262676239013672,0.00487,0.00017,0.00353,0.00527,0.00000,0.00141,0.01525
1403715283.312719583511353,0.00456,0.00027,0.01196,0.00502,0.00107,0.00139,0.02427
1403715283.362734317779541,0.00435,0.00021,0.00014,0.00683,0.00000,0.00159,0.01313
1403715283.412725448608398,0.00384,0.00018,0.00004,0.00526,0.00000,0.00139,0.01071
1403715283.462699174880981,0.00355,0.00019,0.00007,0.00468,0.00000,0.00134,0.00983
1403715283.512652873992920,0.00439,0.00018,0.00018,0.00407,0.00000,0.00182,0.01064
1403715283.562640190124512,0.00364,0.00016,0.00383,0.00378,0.01014,0.00143,0.02299
1403715283.612650156021118,0.00564,0.00019,0.00005,0.00566,0.00000,0.00188,0.01342
1403715283.662707090377808,0.00429,0.00019,0.00006,0.00570,0.00000,0.00152,0.01176
1403715283.712780952453613,0.00430,0.00021,0.00045,0.00565,0.00000,0.00187,0.01247
1403715283.762853145599365,0.00421,0.00018,0.00004,0.00561,0.00000,0.00152,0.01156
1403715283.812912464141846,0.00411,0.00019,0.00240,0.00516,0.00059,0.00196,0.01440
1403715283.862933874130249,0.00433,0.00019,0.00314,0.00533,0.00015,0.00151,0.01465
1403715283.912953615188599,0.00423,0.00019,0.00832,0.00526,0.00107,0.00180,0.02086
1403715283.962945222854614,0.00394,0.00020,0.00002,0.00560,0.00000,0.00148,0.01124
1403715284.012942552566528,0.00466,0.00019,0.00002,0.00562,0.00000,0.00190,0.01238
1403715284.062933921813965,0.00474,0.00018,0.00004,0.00565,0.00000,0.00155,0.01216
1403715284.112951040267944,0.00476,0.00018,0.00047,0.00550,0.00000,0.00200,0.01291
1403715284.162891864776611,0.00409,0.00019,0.01293,0.00535,0.00108,0.00143,0.02507
1403715284.212877035140991,0.00419,0.00019,0.00002,0.00537,0.00069,0.00168,0.01214
1403715284.262861967086792,0.00458,0.00017,0.00033,0.00533,0.00000,0.00147,0.01189
1403715284.312838077545166,0.00450,0.00019,0.00002,0.00558,0.00000,0.00148,0.01178
1403715284.362833261489868,0.00470,0.00019,0.00009,0.00531,0.00017,0.00146,0.01192
1403715284.412893772125244,0.00411,0.00017,0.00140,0.00492,0.00004,0.00190,0.01252
1403715284.462849617004395,0.00459,0.00019,0.00157,0.00468,0.00222,0.00152,0.01476
1403715284.512849330902100,0.00404,0.00026,0.00823,0.00530,0.00001,0.00161,0.01945
1403715284.562852859497070,0.00487,0.00019,0.00001,0.00536,0.00000,0.00142,0.01186
1403715284.612877130508423,0.00439,0.00026,0.00008,0.00526,0.00028,0.00206,0.01233
1403715284.662889242172241,0.00482,0.00017,0.00042,0.00521,0.00000,0.00157,0.01219
1403715284.712890148162842,0.00480,0.00027,0.00008,0.00534,0.00028,0.00199,0.01275
1403715284.762834072113037,0.00512,0.00018,0.01075,0.00539,0.00214,0.00138,0.02496
1403715284.812850236892700,0.00413,0.00029,0.00002,0.00595,0.00000,0.00188,0.01226
1403715284.862888097763062,0.00456,0.00019,0.00001,0.00608,0.00000,0.00156,0.01240
1403715284.912949085235596,0.00436,0.00019,0.00004,0.00594,0.00000,0.00186,0.01239
1403715284.963030338287354,0.00483,0.00018,0.00004,0.00611,0.00000,0.00146,0.01264
1403715285.013106107711792,0.00479,0.00024,0.00099,0.00541,0.00000,0.00192,0.01335
1403715285.063135623931885,0.00467,0.00020,0.00113,0.00529,0.00000,0.00140,0.01270
1403715285.112974405288696,0.00462,0.00021,0.00774,0.00524,0.00121,0.00173,0.02075
1403715285.162958145141602,0.00504,0.00019,0.00008,0.00571,0.00000,0.00145,0.01246
1403715285.212890625000000,0.00464,0.00020,0.00063,0.00532,0.00000,0.00150,0.01229
1403715285.262842655181885,0.00447,0.00023,0.00004,0.00533,0.00000,0.00142,0.01149
1403715285.312864542007446,0.00465,0.00019,0.00001,0.00534,0.00000,0.00144,0.01164
1403715285.362805128097534,0.00430,0.00019,0.00832,0.00516,0.00019,0.00138,0.01953
1403715285.412783384323120,0.00411,0.00019,0.00002,0.00522,0.00000,0.00140,0.01094
1403715285.462758779525757,0.00423,0.00017,0.00002,0.00506,0.00000,0.00142,0.01091
1403715285.512733459472656,0.00426,0.00019,0.00011,0.00500,0.00017,0.00167,0.01140
