# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715278.863204479217529,0.00294,0.00012,0.00034,0.00000,0.00000,0.00147,0.00487
1403715278.911689758300781,0.00297,0.00011,0.00340,0.00000,0.00659,0.00138,0.01445
1403715278.961563348770142,0.00326,0.00012,0.00046,0.00202,0.00000,0.00130,0.00715
1403715279.011234998703003,0.00254,0.00012,0.00008,0.00216,0.00000,0.00136,0.00627
1403715279.061275959014893,0.00366,0.00016,0.00004,0.00216,0.00000,0.00140,0.00741
1403715279.111238718032837,0.00258,0.00014,0.00044,0.00213,0.00000,0.00142,0.00671
1403715279.161244153976440,0.00237,0.00014,0.00046,0.00204,0.00000,0.00133,0.00634
1403715279.211432218551636,0.00244,0.00014,0.00059,0.00212,0.00000,0.00138,0.00668
1403715279.261585950851440,0.00240,0.00012,0.00001,0.00228,0.00430,0.00147,0.01059
1403715279.312012910842896,0.00250,0.00016,0.00004,0.00276,0.00366,0.00139,0.01051
1403715279.362491130828857,0.00402,0.00015,0.00001,0.00327,0.00109,0.00148,0.01002
1403715279.413824081420898,0.00270,0.00017,0.00001,0.00350,0.00928,0.00144,0.01710
1403715279.464741706848145,0.00249,0.00015,0.00001,0.00492,0.00000,0.00170,0.00927
1403715279.515301227569580,0.00235,0.00017,0.01043,0.00483,0.00114,0.00139,0.02031
1403715279.566176414489746,0.00237,0.00017,0.00001,0.00530,0.00005,0.00137,0.00928
1403715279.616337776184082,0.00230,0.00016,0.00122,0.00497,0.00120,0.00141,0.01126
1403715279.666891336441040,0.00214,0.00018,0.00001,0.00559,0.00000,0.00137,0.00930
1403715279.717289447784424,0.00212,0.00018,0.00001,0.00532,0.00000,0.00139,0.00903
1403715279.767185449600220,0.00250,0.00021,0.00002,0.00543,0.00000,0.00138,0.00955
1403715279.817163467407227,0.00220,0.00018,0.00005,0.00541,0.00000,0.00152,0.00936
1403715279.867164611816406,0.00203,0.00017,0.00005,0.00549,0.00000,0.00142,0.00918
1403715279.917155504226685,0.00221,0.00016,0.00056,0.00555,0.00000,0.00143,0.00991
1403715279.967098236083984,0.00215,0.00018,0.00119,0.00525,0.00003,0.00148,0.01028
1403715280.016738414764404,0.00214,0.00018,0.00001,0.00545,0.00000,0.00159,0.00938
1403715280.066653013229370,0.00230,0.00017,0.00005,0.00523,0.00000,0.00143,0.00917
1403715280.116420030593872,0.00218,0.00017,0.00987,0.00479,0.00004,0.00133,0.01838
1403715280.165951251983643,0.00222,0.00018,0.00001,0.00478,0.00003,0.00138,0.00861
1403715280.215444564819336,0.00237,0.00019,0.00117,0.00472,0.00021,0.00137,0.01004
1403715280.265290975570679,0.00218,0.00019,0.00008,0.00515,0.00000,0.00136,0.00897
1403715280.315376758575439,0.00218,0.00018,0.00001,0.00519,0.00000,0.00147,0.00905
1403715280.365421056747437,0.00248,0.00016,0.00001,0.00496,0.00000,0.00142,0.00903
1403715280.415354013442993,0.00276,0.00017,0.00001,0.00488,0.00000,0.00171,0.00954
1403715280.465200662612915,0.00260,0.00017,0.00045,0.00447,0.00000,0.00148,0.00917
1403715280.515087842941284,0.00243,0.00023,0.00008,0.00456,0.00000,0.00175,0.00905
1403715280.564993858337402,0.00259,0.00019,0.00092,0.00396,0.00107,0.00153,0.01028
1403715280.615029096603394,0.00305,0.00016,0.00041,0.00426,0.00320,0.00157,0.01265
1403715280.665191888809204,0.00287,0.00018,0.00054,0.00481,0.00016,0.00134,0.00990
1403715280.715344429016113,0.00265,0.00018,0.00963,0.00501,0.00111,0.00156,0.02015
1403715280.765371322631836,0.00272,0.00018,0.00107,0.00455,0.00176,0.00131,0.01159
1403715280.815423011779785,0.00266,0.00018,0.00188,0.00397,0.00000,0.00174,0.01043
1403715280.865454196929932,0.00331,0.00017,0.00069,0.00371,0.00036,0.00159,0.00985
1403715280.915449857711792,0.00279,0.00024,0.00090,0.00419,0.00025,0.00174,0.01011
1403715280.965262174606323,0.00275,0.00015,0.00017,0.00376,0.00198,0.00141,0.01023
1403715281.015141248703003,0.00317,0.00015,0.00035,0.00337,0.00000,0.00174,0.00879
1403715281.064979791641235,0.00238,0.00015,0.00010,0.00323,0.00014,0.00141,0.00741
1403715281.114808082580566,0.00260,0.00017,0.00018,0.00295,0.00034,0.00179,0.00804
1403715281.164638996124268,0.00268,0.00015,0.00011,0.00306,0.00292,0.00139,0.01033
1403715281.214853286743164,0.00273,0.00015,0.00064,0.00364,0.00013,0.00185,0.00915
1403715281.265010833740234,0.00270,0.00014,0.00006,0.00377,0.00003,0.00136,0.00806
1403715281.315228700637817,0.00271,0.00016,0.00538,0.00297,0.00829,0.00178,0.02129
1403715281.365240335464478,0.00253,0.00017,0.00007,0.00496,0.00000,0.00148,0.00921
1403715281.415351867675781,0.00320,0.00016,0.00618,0.00428,0.00235,0.00165,0.01783
1403715281.465347766876221,0.00325,0.00019,0.00001,0.00515,0.00000,0.00145,0.01006
1403715281.515264749526978,0.00352,0.00024,0.00016,0.00502,0.00028,0.00158,0.01081
1403715281.565136671066284,0.00464,0.00018,0.00135,0.00558,0.00124,0.00143,0.01442
1403715281.615065336227417,0.00307,0.00018,0.00016,0.00543,0.00000,0.00182,0.01065
1403715281.665050506591797,0.00385,0.00018,0.00007,0.00529,0.00000,0.00162,0.01102
1403715281.715080738067627,0.00295,0.00017,0.00023,0.00410,0.00001,0.00168,0.00913
1403715281.765155553817749,0.00381,0.00016,0.00021,0.00373,0.00000,0.00145,0.00936
1403715281.815194129943848,0.00278,0.00015,0.00033,0.00332,0.00000,0.00164,0.00823
1403715281.865313768386841,0.00244,0.00018,0.00069,0.00299,0.00024,0.00140,0.00794
1403715281.915398359298706,0.00231,0.00017,0.00016,0.00335,0.00983,0.00155,0.01737
1403715281.965566635131836,0.00352,0.00016,0.00048,0.00465,0.00000,0.00146,0.01028
1403715282.015712261199951,0.00289,0.00017,0.00473,0.00440,0.00131,0.00180,0.01528
1403715282.065912008285522,0.00262,0.00019,0.00087,0.00487,0.00028,0.00144,0.01027
1403715282.115989685058594,0.00318,0.00017,0.00827,0.00501,0.00230,0.00171,0.02065
1403715282.166128396987915,0.00275,0.00019,0.00094,0.00505,0.00000,0.00143,0.01037
1403715282.216113090515137,0.00282,0.00019,0.00013,0.00483,0.00029,0.00184,0.01011
1403715282.266169071197510,0.00276,0.00017,0.00015,0.00483,0.00046,0.00149,0.00985
