# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715278.863475322723389,0.00851,0.00010,0.00036,0.00000,0.00000,0.00227,0.01125
1403715278.908747673034668,0.00775,0.00012,0.00384,0.00000,0.00746,0.00215,0.02133
1403715278.959555387496948,0.00694,0.00011,0.00047,0.00248,0.00000,0.00201,0.01201
1403715279.009707212448120,0.00648,0.00011,0.00007,0.00244,0.00000,0.00205,0.01115
1403715279.060417890548706,0.00838,0.00011,0.00001,0.00220,0.00000,0.00240,0.01310
1403715279.110122442245483,0.00606,0.00013,0.00041,0.00223,0.00000,0.00233,0.01116
1403715279.160044193267822,0.00639,0.00013,0.00047,0.00222,0.00000,0.00211,0.01133
1403715279.210417270660400,0.00705,0.00014,0.00058,0.00226,0.00000,0.00240,0.01243
1403715279.260671377182007,0.00690,0.00013,0.00001,0.00229,0.00490,0.00232,0.01654
1403715279.312356710433960,0.00672,0.00013,0.00007,0.00283,0.00445,0.00233,0.01652
1403715279.363214731216431,0.00670,0.00013,0.00001,0.00359,0.00142,0.00208,0.01394
1403715279.415357589721680,0.00725,0.00013,0.00001,0.00354,0.00973,0.00265,0.02332
1403715279.467389106750488,0.00771,0.00015,0.00001,0.00474,0.00000,0.00276,0.01537
1403715279.518812417984009,0.00748,0.00017,0.01087,0.00455,0.00161,0.00286,0.02754
1403715279.569239139556885,0.00770,0.00015,0.00001,0.00524,0.00012,0.00213,0.01534
1403715279.619945764541626,0.00728,0.00016,0.00125,0.00529,0.00149,0.00288,0.01835
1403715279.670451879501343,0.00762,0.00015,0.00007,0.00530,0.00017,0.00217,0.01548
1403715279.720217704772949,0.00761,0.00015,0.00001,0.00132,0.00000,0.00219,0.01128
1403715279.770275354385376,0.00730,0.00012,0.00006,0.00070,0.00018,0.00190,0.01025
1403715279.820332288742065,0.00751,0.00016,0.00078,0.00028,0.00311,0.00228,0.01412
1403715279.869879722595215,0.00812,0.00015,0.00042,0.00314,0.00122,0.00216,0.01521
1403715279.917907238006592,0.00672,0.00016,0.00014,0.00495,0.00000,0.00282,0.01479
1403715279.966743707656860,0.00770,0.00015,0.00016,0.00494,0.00023,0.00211,0.01529
1403715280.016398906707764,0.00729,0.00015,0.00007,0.00484,0.00017,0.00270,0.01522
1403715280.066291332244873,0.00883,0.00015,0.00005,0.00488,0.00000,0.00191,0.01582
1403715280.117055177688599,0.00748,0.00015,0.00768,0.00530,0.00009,0.00260,0.02330
1403715280.166934967041016,0.00788,0.00016,0.00002,0.00454,0.00003,0.00184,0.01447
1403715280.217305898666382,0.00887,0.00013,0.00015,0.00430,0.00126,0.00269,0.01740
1403715280.267583847045898,0.00844,0.00020,0.00008,0.00435,0.00001,0.00194,0.01502
1403715280.317516326904297,0.00789,0.00015,0.00009,0.00427,0.00027,0.00254,0.01522
1403715280.367499113082886,0.00773,0.00015,0.00001,0.00484,0.00000,0.00229,0.01502
1403715280.417372465133667,0.00983,0.00016,0.00001,0.00507,0.00003,0.00277,0.01788
1403715280.467298269271851,0.00793,0.00016,0.00042,0.00453,0.00000,0.00218,0.01522
1403715280.517293930053711,0.00752,0.00015,0.00006,0.00466,0.00000,0.00272,0.01511
1403715280.566945075988770,0.00802,0.00014,0.00108,0.00419,0.00104,0.00226,0.01674
1403715280.616860389709473,0.00957,0.00016,0.00044,0.00490,0.00325,0.00247,0.02079
1403715280.666868925094604,0.00857,0.00015,0.00097,0.00474,0.00000,0.00222,0.01665
1403715280.716978073120117,0.00786,0.00030,0.00953,0.00439,0.00217,0.00279,0.02703
1403715280.766956806182861,0.00895,0.00015,0.00176,0.00410,0.00147,0.00218,0.01861
1403715280.816947698593140,0.00818,0.00015,0.00098,0.00417,0.00035,0.00220,0.01603
1403715280.866901636123657,0.00983,0.00015,0.00076,0.00384,0.00017,0.00192,0.01668
1403715280.916875600814819,0.00800,0.00016,0.00131,0.00285,0.00036,0.00232,0.01499
1403715280.966886043548584,0.00908,0.00011,0.00033,0.00223,0.00237,0.00217,0.01630
1403715281.016803026199341,0.01016,0.00017,0.00057,0.00188,0.00093,0.00238,0.01610
1403715281.066810131072998,0.00753,0.00016,0.00013,0.00195,0.00046,0.00213,0.01237
1403715281.117001771926880,0.00792,0.00014,0.00028,0.00222,0.00051,0.00239,0.01347
1403715281.167142629623413,0.00811,0.00013,0.00027,0.00285,0.00529,0.00215,0.01880
1403715281.217243432998657,0.00767,0.00015,0.00066,0.00470,0.00000,0.00222,0.01539
1403715281.267290115356445,0.00713,0.00017,0.00022,0.00390,0.00000,0.00229,0.01371
1403715281.317664146423340,0.00805,0.00014,0.00367,0.00135,0.00589,0.00234,0.02144
1403715281.367712259292603,0.00730,0.00014,0.00014,0.00103,0.00046,0.00211,0.01118
1403715281.417624235153198,0.00732,0.00015,0.00265,0.00128,0.00347,0.00220,0.01706
1403715281.467475414276123,0.00722,0.00014,0.00020,0.00294,0.00053,0.00225,0.01328
1403715281.517494916915894,0.00763,0.00014,0.00022,0.00305,0.00083,0.00201,0.01388
1403715281.567227840423584,0.00630,0.00014,0.00118,0.00292,0.00209,0.00219,0.01482
1403715281.617365121841431,0.00834,0.00015,0.00011,0.00451,0.00040,0.00199,0.01551
1403715281.667239427566528,0.00780,0.00016,0.00021,0.00475,0.00030,0.00234,0.01556
1403715281.717249631881714,0.00940,0.00017,0.00047,0.00416,0.00000,0.00237,0.01658
1403715281.767270326614380,0.00804,0.00014,0.00029,0.00422,0.00203,0.00252,0.01724
1403715281.817264080047607,0.00852,0.00014,0.00010,0.00399,0.00002,0.00215,0.01491
1403715281.867366075515747,0.00756,0.00013,0.00013,0.00361,0.00000,0.00213,0.01357
1403715281.917470693588257,0.00815,0.00014,0.00008,0.00310,0.01029,0.00241,0.02416
1403715281.967439651489258,0.00831,0.00014,0.00011,0.00503,0.00017,0.00257,0.01632
1403715282.017544746398926,0.00845,0.00016,0.00600,0.00514,0.00005,0.00217,0.02197
1403715282.067548274993896,0.00800,0.00013,0.00010,0.00506,0.00016,0.00207,0.01552
1403715282.117531299591064,0.00764,0.00014,0.00008,0.00490,0.00018,0.00231,0.01525
1403715282.167325735092163,0.00780,0.00015,0.00135,0.00253,0.00106,0.00194,0.01483
1403715282.217357873916626,0.00871,0.00015,0.00015,0.00076,0.00061,0.00213,0.01250
1403715282.267454862594604,0.00733,0.00015,0.00823,0.00053,0.00227,0.00214,0.02065
1403715282.317428112030029,0.00767,0.00016,0.00054,0.00232,0.00172,0.00207,0.01450
1403715282.367510795593262,0.00719,0.00014,0.00002,0.00269,0.00000,0.00224,0.01227
1403715282.417561292648315,0.00695,0.00015,0.00017,0.00215,0.00014,0.00215,0.01170
1403715282.467573881149292,0.01041,0.00015,0.00033,0.00166,0.00106,0.00202,0.01563
1403715282.517644166946411,0.00775,0.00013,0.00011,0.00318,0.00028,0.00213,0.01358
1403715282.567557096481323,0.00780,0.00013,0.00014,0.00264,0.00022,0.00226,0.01319
1403715282.617516517639160,0.00754,0.00013,0.00013,0.00152,0.00346,0.00226,0.01504
1403715282.667558908462524,0.00815,0.00013,0.00048,0.00151,0.00033,0.00244,0.01304
1403715282.717554569244385,0.00791,0.00014,0.00107,0.00174,0.00114,0.00214,0.01414
1403715282.767617225646973,0.00737,0.00013,0.00031,0.00355,0.00053,0.00217,0.01406
1403715282.817603826522827,0.00760,0.00015,0.00032,0.00394,0.00000,0.00228,0.01430
1403715282.867465972900391,0.00715,0.00013,0.00168,0.00347,0.00719,0.00220,0.02181
1403715282.917271375656128,0.00796,0.00013,0.00029,0.00378,0.00129,0.00229,0.01574
1403715282.967227458953857,0.00874,0.00015,0.00024,0.00363,0.00000,0.00221,0.01497
1403715283.017197370529175,0.00735,0.00015,0.00719,0.00363,0.00744,0.00228,0.02804
1403715283.067166566848755,0.00748,0.00015,0.00009,0.00532,0.00001,0.00231,0.01537
1403715283.117077350616455,0.00766,0.00011,0.00004,0.00428,0.00000,0.00228,0.01438
1403715283.167078495025635,0.00754,0.00012,0.00009,0.00077,0.00018,0.00215,0.01085
1403715283.217045307159424,0.00920,0.00014,0.00505,0.00049,0.00222,0.00208,0.01920
1403715283.267051219940186,0.00868,0.00015,0.00100,0.00024,0.00275,0.00222,0.01505
1403715283.317158699035645,0.01155,0.00015,0.00032,0.00323,0.00037,0.00264,0.01826
1403715283.367112874984741,0.00859,0.00016,0.00027,0.00081,0.00047,0.00227,0.01258
1403715283.417098760604858,0.00828,0.00014,0.00026,0.00050,0.00028,0.00228,0.01174
1403715283.467097997665405,0.00751,0.00014,0.00227,0.00017,0.00325,0.00216,0.01551
1403715283.517053127288818,0.00737,0.00016,0.00028,0.00272,0.00058,0.00236,0.01346
1403715283.567057609558105,0.00917,0.00014,0.00026,0.00146,0.00022,0.00259,0.01383
1403715283.616996288299561,0.00700,0.00015,0.00014,0.00089,0.00179,0.00235,0.01233
1403715283.666975021362305,0.00774,0.00014,0.00026,0.00061,0.00103,0.00220,0.01198
1403715283.716971635818481,0.00660,0.00015,0.00023,0.00089,0.00088,0.00232,0.01105
1403715283.766947507858276,0.00697,0.00014,0.00010,0.00094,0.00033,0.00225,0.01073
1403715283.816948890686035,0.00939,0.00014,0.00029,0.00037,0.00198,0.00270,0.01487
1403715283.866887092590332,0.00658,0.00013,0.00077,0.00048,0.00839,0.00232,0.01867
1403715283.916890621185303,0.01051,0.00016,0.00040,0.00077,0.00113,0.00326,0.01623
1403715283.966907024383545,0.00820,0.00014,0.00018,0.00059,0.00043,0.00252,0.01207
1403715284.016880273818970,0.00780,0.00015,0.00042,0.00048,0.00114,0.00225,0.01224
1403715284.066823720932007,0.00861,0.00015,0.00049,0.00045,0.00375,0.00233,0.01579
1403715284.116821289062500,0.00787,0.00015,0.00018,0.00105,0.00034,0.00249,0.01208
1403715284.166817188262939,0.00905,0.00014,0.00031,0.00035,0.00075,0.00232,0.01293
1403715284.216821670532227,0.00713,0.00014,0.00025,0.00036,0.00244,0.00245,0.01276
1403715284.266789913177490,0.00666,0.00013,0.00051,0.00042,0.00119,0.00226,0.01117
1403715284.316697120666504,0.00748,0.00013,0.00079,0.00087,0.00067,0.00221,0.01214
1403715284.366700887680054,0.00670,0.00013,0.00023,0.00037,0.00056,0.00223,0.01022
1403715284.416685104370117,0.00829,0.00013,0.00019,0.00039,0.00203,0.00259,0.01362
1403715284.466694831848145,0.00674,0.00014,0.00176,0.00033,0.00415,0.00317,0.01628
1403715284.516753911972046,0.00673,0.00012,0.00006,0.00108,0.00023,0.00228,0.01050
1403715284.566737651824951,0.00739,0.00015,0.00016,0.00041,0.00062,0.00232,0.01106
1403715284.616716623306274,0.00793,0.00014,0.00021,0.00056,0.00088,0.00226,0.01197
1403715284.666710853576660,0.00736,0.00014,0.00026,0.00075,0.00247,0.00247,0.01346
