# timestamp (sec),slam_feats_in_state,msckf_feats_used,slam_feats_updated,slam_feats_delayed_init,clones
1403715278.862988710403442,0,3,0,0,5
1403715278.911618947982788,32,35,0,32,6
1403715278.961546182632446,31,4,31,0,7
1403715279.011265754699707,29,0,29,0,8
1403715279.061163425445557,29,0,29,0,9
1403715279.110943794250488,29,1,29,0,10
1403715279.160959243774414,28,2,28,0,11
1403715279.211014509201050,28,1,28,0,11
1403715279.261033773422241,33,0,28,5,11
1403715279.311203956604004,37,0,33,4,11
1403715279.362001657485962,38,0,37,1,11
1403715279.413116455078125,47,0,38,9,11
1403715279.463738441467285,47,0,47,0,11
1403715279.514081239700317,48,21,47,1,11
1403715279.563950538635254,48,0,48,0,11
1403715279.614006519317627,49,1,48,1,11
1403715279.664030075073242,49,0,49,0,11
1403715279.714071989059448,49,0,49,0,11
1403715279.763982534408569,49,0,49,0,11
1403715279.814007043838501,49,0,49,0,11
1403715279.863870143890381,49,0,49,0,11
1403715279.913800477981567,49,1,49,0,11
1403715279.963492870330811,49,1,49,0,11
1403715280.013312816619873,49,0,49,0,11
1403715280.063339948654175,49,0,49,0,11
1403715280.113139390945435,48,20,48,0,11
1403715280.163183450698853,48,0,48,0,11
1403715280.213268518447876,48,1,48,0,11
1403715280.263446807861328,47,0,47,0,11
1403715280.313506364822388,47,0,47,0,11
1403715280.363502264022827,47,0,46,0,11
1403715280.413455724716187,47,0,46,0,11
1403715280.463352918624878,47,1,46,1,11
1403715280.513267040252686,46,0,46,0,11
1403715280.563133716583252,47,2,46,1,11
1403715280.613065958023071,49,1,46,3,11
1403715280.663006305694580,48,1,47,0,11
1403715280.713022232055664,47,22,46,0,11
1403715280.763001680374146,47,2,46,1,11
1403715280.813012123107910,47,0,44,2,11
1403715280.863034725189209,47,1,46,0,11
1403715280.913096666336060,47,2,45,1,11
1403715280.963086366653442,45,0,42,2,11
1403715281.013073682785034,42,0,41,1,11
1403715281.063063383102417,41,0,41,0,11
1403715281.113045930862427,41,0,41,0,11
1403715281.163028001785278,42,0,39,3,11
1403715281.213043451309204,42,1,42,0,11
1403715281.263124704360962,41,0,41,0,11
1403715281.313115596771240,48,13,40,8,11
1403715281.363129854202271,47,1,47,0,11
1403715281.413144588470459,47,0,47,0,11
1403715281.463155508041382,50,12,47,3,11
1403715281.513113737106323,50,1,48,0,11
1403715281.563066244125366,50,0,46,0,11
1403715281.613024950027466,50,0,45,2,11
1403715281.663003444671631,50,0,45,2,11
1403715281.712991714477539,42,0,39,0,11
1403715281.762969255447388,46,8,38,7,11
1403715281.812950849533081,44,0,41,0,11
1403715281.862935066223145,43,6,40,0,11
1403715281.912932157516479,48,2,40,8,11
1403715281.962907314300537,48,0,46,0,11
1403715282.012899637222290,48,0,46,0,11
1403715282.062871217727661,49,9,46,3,11
1403715282.112849950790405,49,0,48,0,11
1403715282.162876367568970,48,0,45,0,11
1403715282.212873697280884,48,0,45,1,11
1403715282.262899637222290,48,0,44,2,11
1403715282.312873840332031,48,1,47,0,11
1403715282.362845659255981,50,27,47,3,11
1403715282.412827491760254,48,0,45,0,11
1403715282.462817192077637,46,0,41,1,11
1403715282.512793779373169,48,1,43,3,11
1403715282.562803506851196,45,0,44,0,11
1403715282.612796545028687,43,0,42,0,11
1403715282.662775039672852,47,6,42,5,11
1403715282.712748527526855,47,2,46,0,11
1403715282.762744903564453,46,0,44,0,11
1403715282.812754154205322,46,0,44,1,11
1403715282.862743854522705,45,0,45,0,11
1403715282.912734031677246,45,0,45,0,11
1403715282.962661504745483,49,20,44,5,11
1403715283.012639522552490,49,1,49,0,11
1403715283.062638998031616,49,0,49,0,11
1403715283.112637281417847,48,2,47,0,11
1403715283.162622213363647,48,0,47,0,11
1403715283.212615013122559,48,1,46,1,11
1403715283.262591838836670,49,10,46,2,11
1403715283.312585353851318,49,26,47,2,11
1403715283.362583637237549,49,0,49,0,11
1403715283.412564516067505,48,0,48,0,11
1403715283.462540149688721,46,0,46,0,11
1403715283.512503385543823,41,0,41,0,11
1403715283.562497138977051,50,7,41,9,11
1403715283.612490415573120,49,0,48,0,11
1403715283.662532091140747,49,0,48,0,11
1403715283.712589740753174,49,2,48,1,11
1403715283.762641906738281,49,0,49,0,11
1403715283.812675714492798,48,0,48,0,11
1403715283.862695455551147,48,7,48,0,11
1403715283.912753343582153,49,16,47,2,11
1403715283.962762117385864,49,0,49,0,11
1403715284.012788057327271,49,0,49,0,11
1403715284.062834262847900,49,0,49,0,11
1403715284.112868547439575,49,1,49,0,11
1403715284.162821054458618,49,30,48,1,11
1403715284.212786436080933,49,0,48,0,11
1403715284.262753725051880,49,1,48,0,11
1403715284.312708854675293,50,0,48,1,11
1403715284.362698793411255,50,0,49,1,11
1403715284.412756919860840,50,0,49,0,11
1403715284.462726354598999,49,6,48,0,11
1403715284.512683153152466,49,15,47,1,11
1403715284.562681436538696,48,0,48,0,11
1403715284.612679958343506,48,0,48,0,11
1403715284.662618160247803,48,1,48,0,11
1403715284.712638854980469,48,0,47,0,11
1403715284.762565612792969,49,21,47,1,11
1403715284.812562465667725,49,0,48,0,11
1403715284.862572431564331,49,0,48,1,11
1403715284.912586927413940,49,0,49,0,11
1403715284.962614774703979,49,0,48,0,11
1403715285.012630462646484,49,0,46,1,11
1403715285.062643527984619,50,5,47,1,11
1403715285.112679481506348,49,15,46,2,11
1403715285.162688970565796,49,0,46,1,11
1403715285.212699651718140,47,1,47,0,11
1403715285.262688159942627,47,0,46,0,11
1403715285.312653064727783,47,0,46,1,11
1403715285.362592458724976,47,15,47,0,11
1403715285.412563562393188,47,0,46,0,11
1403715285.462538719177246,47,0,46,0,11
1403715285.512519836425781,47,0,44,1,11
1403715285.562499046325684,46,0,46,0,11
1403715285.612478733062744,46,0,46,0,11
1403715285.662469625473022,48,1,42,4,11
1403715285.712392807006836,49,15,47,2,11
1403715285.762374877929688,48,0,48,0,11
1403715285.812369108200073,47,1,47,0,11
1403715285.862397909164429,46,1,46,0,11
1403715285.912432670593262,46,0,46,0,11
1403715285.962500095367432,50,21,46,4,11
1403715286.012522935867310,50,0,49,0,11
1403715286.062498331069946,50,1,48,0,11
1403715286.112488985061646,50,0,48,1,11
1403715286.162455797195435,49,0,48,1,11
1403715286.212427139282227,49,0,49,0,11
1403715286.262426137924194,49,3,48,1,11
1403715286.312402486801147,50,14,49,1,11
1403715286.362391710281372,48,0,48,0,11
1403715286.412380218505859,48,1,48,0,11
1403715286.462365388870239,47,1,46,0,11
1403715286.512355566024780,45,3,45,0,11
1403715286.562338590621948,50,13,45,5,11
1403715286.612334251403809,47,1,46,0,11
1403715286.662330389022827,43,0,42,0,11
1403715286.712320804595947,40,0,35,0,11
