# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715278.863017320632935,0.00285,0.00012,0.00035,0.00000,0.00000,0.00142,0.00473
1403715278.911641120910645,0.00283,0.00011,0.00328,0.00000,0.00654,0.00124,0.01400
1403715278.961362123489380,0.00248,0.00013,0.00050,0.00210,0.00000,0.00123,0.00644
1403715279.010837316513062,0.00262,0.00015,0.00008,0.00208,0.00000,0.00132,0.00625
1403715279.060688972473145,0.00299,0.00015,0.00003,0.00219,0.00000,0.00134,0.00671
1403715279.110430479049683,0.00225,0.00014,0.00042,0.00212,0.00000,0.00132,0.00625
1403715279.160441398620605,0.00214,0.00015,0.00044,0.00213,0.00000,0.00130,0.00616
1403715279.210546970367432,0.00213,0.00015,0.00059,0.00213,0.00000,0.00137,0.00637
1403715279.260550498962402,0.00214,0.00014,0.00001,0.00224,0.00430,0.00144,0.01028
1403715279.310567855834961,0.00214,0.00016,0.00004,0.00280,0.00383,0.00137,0.01034
1403715279.360685586929321,0.00253,0.00018,0.00001,0.00327,0.00108,0.00134,0.00840
1403715279.410652399063110,0.00239,0.00018,0.00002,0.00333,0.00881,0.00136,0.01609
1403715279.460695743560791,0.00215,0.00019,0.00001,0.00488,0.00000,0.00165,0.00889
1403715279.510597229003906,0.00230,0.00018,0.01040,0.00472,0.00117,0.00134,0.02011
1403715279.560461044311523,0.00214,0.00018,0.00002,0.00516,0.00005,0.00141,0.00895
1403715279.610424280166626,0.00226,0.00019,0.00118,0.00530,0.00112,0.00141,0.01146
1403715279.660501480102539,0.00210,0.00020,0.00001,0.00544,0.00000,0.00138,0.00914
1403715279.710602283477783,0.00212,0.00019,0.00001,0.00543,0.00000,0.00137,0.00912
1403715279.760495424270630,0.00226,0.00019,0.00001,0.00531,0.00000,0.00139,0.00916
1403715279.810581922531128,0.00220,0.00019,0.00006,0.00542,0.00000,0.00141,0.00928
1403715279.860293865203857,0.00211,0.00021,0.00005,0.00571,0.00000,0.00143,0.00950
1403715279.910054922103882,0.00210,0.00046,0.00060,0.00547,0.00000,0.00135,0.00998
1403715279.959625005722046,0.00269,0.00016,0.00116,0.00520,0.00003,0.00145,0.01069
1403715280.009272813796997,0.00247,0.00019,0.00001,0.00527,0.00000,0.00156,0.00951
1403715280.059214115142822,0.00275,0.00018,0.00005,0.00518,0.00000,0.00139,0.00955
1403715280.109486103057861,0.00278,0.00018,0.00973,0.00501,0.00004,0.00142,0.01916
1403715280.160637617111206,0.00274,0.00019,0.00002,0.00516,0.00003,0.00137,0.00951
1403715280.211807966232300,0.00283,0.00019,0.00008,0.00541,0.00112,0.00176,0.01141
1403715280.262872934341431,0.00356,0.00020,0.00012,0.00522,0.00000,0.00147,0.01057
1403715280.312954902648926,0.00328,0.00020,0.00008,0.00508,0.00000,0.00157,0.01021
1403715280.362891197204590,0.00276,0.00019,0.00001,0.00503,0.00000,0.00142,0.00941
1403715280.412739276885986,0.00298,0.00020,0.00001,0.00474,0.00000,0.00167,0.00961
1403715280.462471723556519,0.00344,0.00020,0.00043,0.00478,0.00000,0.00142,0.01027
1403715280.512386083602905,0.00345,0.00020,0.00010,0.00454,0.00017,0.00168,0.01015
1403715280.562243223190308,0.00347,0.00019,0.00082,0.00456,0.00074,0.00158,0.01136
1403715280.612202167510986,0.00359,0.00030,0.00071,0.00470,0.00315,0.00157,0.01403
1403715280.662178039550781,0.00351,0.00019,0.00044,0.00509,0.00000,0.00136,0.01059
1403715280.712208509445190,0.00371,0.00020,0.01005,0.00506,0.00005,0.00145,0.02052
1403715280.762181997299194,0.00337,0.00018,0.00078,0.00488,0.00114,0.00142,0.01178
1403715280.812179565429688,0.00340,0.00027,0.00061,0.00491,0.00017,0.00183,0.01119
1403715280.862181901931763,0.00277,0.00018,0.00015,0.00484,0.00003,0.00138,0.00936
1403715280.912342071533203,0.00426,0.00017,0.00127,0.00446,0.00000,0.00182,0.01198
1403715280.962391853332520,0.00280,0.00020,0.00025,0.00407,0.00194,0.00140,0.01067
1403715281.012434482574463,0.00366,0.00020,0.00024,0.00384,0.00014,0.00167,0.00976
1403715281.062496662139893,0.00317,0.00019,0.00004,0.00401,0.00000,0.00142,0.00883
1403715281.112519502639771,0.00267,0.00021,0.00014,0.00390,0.00000,0.00194,0.00885
1403715281.162535190582275,0.00269,0.00017,0.00012,0.00389,0.00300,0.00138,0.01125
1403715281.212590217590332,0.00347,0.00018,0.00066,0.00397,0.00000,0.00146,0.00974
1403715281.262760162353516,0.00267,0.00016,0.00009,0.00390,0.00000,0.00142,0.00824
1403715281.312885522842407,0.00269,0.00018,0.00560,0.00363,0.00804,0.00145,0.02159
1403715281.362835407257080,0.00335,0.00021,0.00064,0.00523,0.00000,0.00148,0.01091
1403715281.412869453430176,0.00331,0.00019,0.00002,0.00514,0.00006,0.00143,0.01015
1403715281.462870836257935,0.00324,0.00019,0.00692,0.00506,0.00325,0.00149,0.02015
1403715281.512748956680298,0.00257,0.00021,0.00001,0.00551,0.00000,0.00151,0.00982
1403715281.562669038772583,0.00333,0.00018,0.00009,0.00516,0.00000,0.00150,0.01026
1403715281.612640857696533,0.00286,0.00020,0.00014,0.00499,0.00033,0.00153,0.01006
1403715281.662620306015015,0.00337,0.00019,0.00016,0.00496,0.00027,0.00161,0.01055
1403715281.712596893310547,0.00270,0.00019,0.00027,0.00389,0.00000,0.00143,0.00847
1403715281.762523174285889,0.00262,0.00028,0.00874,0.00341,0.00704,0.00138,0.02348
1403715281.812531471252441,0.00399,0.00018,0.00011,0.00405,0.00002,0.00143,0.00979
1403715281.862492799758911,0.00266,0.00019,0.00025,0.00372,0.00000,0.00142,0.00825
1403715281.912526130676270,0.00264,0.00018,0.00068,0.00335,0.00775,0.00132,0.01592
1403715281.962452650070190,0.00261,0.00019,0.00001,0.00470,0.00000,0.00141,0.00893
1403715282.012457847595215,0.00238,0.00017,0.00010,0.00473,0.00029,0.00143,0.00909
1403715282.062319517135620,0.00256,0.00020,0.00466,0.00470,0.00325,0.00137,0.01674
1403715282.112336874008179,0.00252,0.00021,0.00006,0.00585,0.00000,0.00134,0.00998
1403715282.162367343902588,0.00256,0.00019,0.00008,0.00583,0.00000,0.00137,0.01003
1403715282.212347984313965,0.00232,0.00019,0.00001,0.00552,0.00000,0.00153,0.00957
1403715282.262346267700195,0.00228,0.00018,0.00002,0.00534,0.00000,0.00140,0.00921
1403715282.312371015548706,0.00254,0.00021,0.00075,0.00531,0.00016,0.00143,0.01038
1403715282.362373113632202,0.00280,0.00021,0.01313,0.00479,0.00123,0.00133,0.02349
1403715282.412333965301514,0.00258,0.00021,0.00014,0.00486,0.00000,0.00137,0.00916
1403715282.462370157241821,0.00250,0.00021,0.00012,0.00446,0.00016,0.00140,0.00885
1403715282.512394905090332,0.00262,0.00019,0.00059,0.00459,0.00161,0.00178,0.01140
1403715282.562335252761841,0.00251,0.00019,0.00021,0.00450,0.00015,0.00136,0.00892
1403715282.612311363220215,0.00285,0.00020,0.00009,0.00437,0.00003,0.00163,0.00917
1403715282.662264347076416,0.00361,0.00016,0.00308,0.00436,0.00273,0.00143,0.01537
1403715282.712277412414551,0.00269,0.00017,0.00065,0.00508,0.00000,0.00150,0.01010
1403715282.762273073196411,0.00407,0.00016,0.00010,0.00477,0.00000,0.00162,0.01071
1403715282.812265157699585,0.00341,0.00016,0.00017,0.00475,0.00013,0.00185,0.01048
1403715282.862239360809326,0.00307,0.00016,0.00028,0.00469,0.00000,0.00151,0.00972
1403715282.912211179733276,0.00387,0.00018,0.00009,0.00477,0.00000,0.00187,0.01078
1403715282.962151288986206,0.00310,0.00018,0.00911,0.00436,0.00610,0.00149,0.02435
1403715283.012141942977905,0.00366,0.00027,0.00046,0.00601,0.00001,0.00185,0.01226
1403715283.062155008316040,0.00373,0.00017,0.00001,0.00584,0.00000,0.00162,0.01137
1403715283.112162590026855,0.00302,0.00021,0.00011,0.00583,0.00070,0.00179,0.01165
1403715283.162090539932251,0.00369,0.00018,0.00005,0.00530,0.00000,0.00158,0.01080
1403715283.212095022201538,0.00295,0.00018,0.00388,0.00491,0.00080,0.00174,0.01446
1403715283.262010574340820,0.00292,0.00021,0.00375,0.00512,0.00016,0.00142,0.01358
1403715283.312061548233032,0.00284,0.00019,0.01199,0.00517,0.00243,0.00189,0.02451
1403715283.362026929855347,0.00284,0.00020,0.00016,0.00536,0.00016,0.00150,0.01022
1403715283.411915779113770,0.00274,0.00019,0.00010,0.00547,0.00017,0.00177,0.01045
1403715283.461815357208252,0.00269,0.00021,0.00011,0.00503,0.00016,0.00144,0.00964
1403715283.511714935302734,0.00281,0.00019,0.00020,0.00431,0.00000,0.00186,0.00937
1403715283.561709880828857,0.00382,0.00019,0.00424,0.00406,0.00802,0.00156,0.02188
1403715283.611710548400879,0.00315,0.00020,0.00020,0.00578,0.00000,0.00194,0.01126
1403715283.661762714385986,0.00373,0.00020,0.00005,0.00567,0.00000,0.00160,0.01125
1403715283.711829662322998,0.00373,0.00020,0.00054,0.00574,0.00000,0.00203,0.01225
1403715283.761890172958374,0.00301,0.00019,0.00002,0.00573,0.00000,0.00159,0.01053
1403715283.811936378479004,0.00289,0.00019,0.00257,0.00549,0.00059,0.00196,0.01369
1403715283.861950635910034,0.00338,0.00018,0.00317,0.00530,0.00016,0.00160,0.01380
1403715283.911988019943237,0.00292,0.00020,0.00793,0.00534,0.00107,0.00183,0.01930
1403715283.961992025375366,0.00344,0.00019,0.00002,0.00551,0.00000,0.00149,0.01065
1403715284.012035131454468,0.00387,0.00020,0.00002,0.00569,0.00000,0.00192,0.01170
1403715284.062096595764160,0.00281,0.00017,0.00004,0.00561,0.00000,0.00155,0.01019
1403715284.112186670303345,0.00287,0.00019,0.01071,0.00531,0.00099,0.00188,0.02194
1403715284.162105798721313,0.00290,0.00021,0.00438,0.00525,0.00000,0.00157,0.01432
1403715284.212027549743652,0.00370,0.00020,0.00008,0.00526,0.00018,0.00199,0.01142
1403715284.262005805969238,0.00274,0.00019,0.00005,0.00542,0.00000,0.00157,0.00997
1403715284.311961174011230,0.00279,0.00019,0.00002,0.00536,0.00000,0.00185,0.01021
1403715284.361982583999634,0.00271,0.00019,0.00010,0.00533,0.00017,0.00152,0.01002
1403715284.412080049514771,0.00249,0.00017,0.00189,0.00499,0.00002,0.00205,0.01162
1403715284.462007045745850,0.00286,0.00018,0.00300,0.00443,0.00121,0.00151,0.01319
1403715284.512075901031494,0.00348,0.00018,0.00767,0.00493,0.00001,0.00167,0.01795
1403715284.562078952789307,0.00294,0.00019,0.00012,0.00454,0.00017,0.00150,0.00947
1403715284.612167596817017,0.00365,0.00020,0.00013,0.00396,0.00017,0.00194,0.01005
1403715284.662328720092773,0.00351,0.00019,0.00016,0.00414,0.00039,0.00156,0.00994
1403715284.712316513061523,0.00364,0.00019,0.00804,0.00477,0.00352,0.00174,0.02190
1403715284.762377023696899,0.00346,0.00019,0.00365,0.00521,0.00123,0.00153,0.01527
1403715284.812363386154175,0.00358,0.00021,0.00002,0.00598,0.00000,0.00189,0.01168
1403715284.862358331680298,0.00372,0.00021,0.00002,0.00628,0.00000,0.00152,0.01175
1403715284.912346124649048,0.00291,0.00018,0.00021,0.00617,0.00000,0.00182,0.01128
1403715284.962348937988281,0.00298,0.00017,0.00001,0.00593,0.00000,0.00155,0.01064
1403715285.012338876724243,0.00298,0.00018,0.00109,0.00590,0.00000,0.00191,0.01206
1403715285.062351703643799,0.00357,0.00021,0.00231,0.00536,0.00000,0.00146,0.01291
1403715285.112348794937134,0.00299,0.00020,0.00745,0.00542,0.00120,0.00189,0.01916
1403715285.162309169769287,0.00353,0.00019,0.00009,0.00557,0.00000,0.00157,0.01097
1403715285.212269067764282,0.00273,0.00020,0.00078,0.00538,0.00056,0.00201,0.01166
1403715285.262191772460938,0.00281,0.00020,0.00009,0.00549,0.00018,0.00151,0.01028
1403715285.312143325805664,0.00351,0.00020,0.00708,0.00554,0.00004,0.00188,0.01824
1403715285.362095832824707,0.00274,0.00019,0.00351,0.00555,0.00003,0.00156,0.01356
1403715285.412064552307129,0.00277,0.00019,0.00002,0.00547,0.00000,0.00185,0.01030
1403715285.462036609649658,0.00268,0.00018,0.00013,0.00543,0.00000,0.00144,0.00986
1403715285.512008190155029,0.00274,0.00019,0.00001,0.00540,0.00000,0.00190,0.01024
1403715285.561952829360962,0.00349,0.00019,0.00004,0.00512,0.00000,0.00153,0.01037
1403715285.611925601959229,0.00269,0.00022,0.00098,0.00543,0.00004,0.00189,0.01125
1403715285.661920070648193,0.00334,0.00020,0.00061,0.00458,0.00220,0.00146,0.01238
1403715285.711881160736084,0.00265,0.00021,0.00764,0.00542,0.00166,0.00183,0.01941
