# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715278.863017320632935,0.00367,0.00012,0.00034,0.00000,0.00000,0.00147,0.00560
1403715278.911609649658203,0.00282,0.00012,0.00340,0.00000,0.00660,0.00126,0.01421
1403715278.961583137512207,0.00336,0.00012,0.00048,0.00213,0.00000,0.00135,0.00744
1403715279.011537551879883,0.00341,0.00021,0.00010,0.00338,0.00000,0.00153,0.00862
1403715279.061485052108765,0.00289,0.00015,0.00003,0.00213,0.00000,0.00131,0.00651
1403715279.111303567886353,0.00262,0.00017,0.00041,0.00207,0.00000,0.00135,0.00662
1403715279.161331415176392,0.00238,0.00016,0.00043,0.00206,0.00000,0.00136,0.00639
1403715279.211461782455444,0.00253,0.00016,0.00055,0.00208,0.00000,0.00144,0.00677
1403715279.261479377746582,0.00301,0.00015,0.00001,0.00230,0.00446,0.00149,0.01142
1403715279.311557054519653,0.00253,0.00016,0.00004,0.00260,0.00371,0.00137,0.01041
1403715279.361933469772339,0.00253,0.00018,0.00003,0.00326,0.00114,0.00142,0.00856
1403715279.412189245223999,0.00313,0.00018,0.00002,0.00352,0.00892,0.00142,0.01718
1403715279.462397575378418,0.00261,0.00023,0.00001,0.00507,0.00000,0.00167,0.00959
1403715279.512551784515381,0.00303,0.00018,0.01041,0.00457,0.00112,0.00130,0.02062
1403715279.562479496002197,0.00239,0.00019,0.00001,0.00511,0.00004,0.00136,0.00911
1403715279.612502574920654,0.00289,0.00019,0.00108,0.00494,0.00111,0.00136,0.01156
1403715279.662513732910156,0.00249,0.00020,0.00001,0.00553,0.00000,0.00148,0.00972
1403715279.712599992752075,0.00238,0.00019,0.00002,0.00567,0.00000,0.00142,0.00968
1403715279.762494087219238,0.00242,0.00019,0.00002,0.00551,0.00000,0.00145,0.00959
1403715279.812495708465576,0.00261,0.00022,0.00004,0.00552,0.00000,0.00144,0.00984
1403715279.862359046936035,0.00256,0.00019,0.00006,0.00539,0.00000,0.00151,0.00970
1403715279.912339925765991,0.00235,0.00020,0.00056,0.00548,0.00000,0.00138,0.00998
1403715279.961913824081421,0.00247,0.00017,0.00116,0.00527,0.00003,0.00149,0.01058
1403715280.012168407440186,0.00243,0.00019,0.00001,0.00532,0.00000,0.00188,0.00984
1403715280.062147855758667,0.00293,0.00023,0.00005,0.00533,0.00000,0.00138,0.00993
1403715280.111934185028076,0.00254,0.00023,0.00968,0.00493,0.00004,0.00142,0.01883
1403715280.161949872970581,0.00249,0.00021,0.00001,0.00522,0.00003,0.00144,0.00941
1403715280.212018251419067,0.00264,0.00019,0.00007,0.00532,0.00122,0.00140,0.01085
1403715280.262280225753784,0.00322,0.00019,0.00014,0.00532,0.00000,0.00137,0.01025
1403715280.312316179275513,0.00310,0.00020,0.00007,0.00532,0.00000,0.00208,0.01078
1403715280.362307310104370,0.00334,0.00019,0.00001,0.00473,0.00000,0.00208,0.01035
1403715280.412276506423950,0.00290,0.00021,0.00001,0.00484,0.00000,0.00153,0.00949
1403715280.462167263031006,0.00251,0.00020,0.00045,0.00476,0.00017,0.00141,0.00950
1403715280.512091875076294,0.00263,0.00018,0.00004,0.00471,0.00000,0.00153,0.00909
1403715280.561982870101929,0.00256,0.00021,0.00088,0.00471,0.00077,0.00161,0.01075
1403715280.611949443817139,0.00310,0.00019,0.00067,0.00475,0.00313,0.00136,0.01320
1403715280.661908149719238,0.00271,0.00019,0.00048,0.00535,0.00000,0.00136,0.01009
1403715280.711937665939331,0.00260,0.00019,0.00960,0.00509,0.00006,0.00132,0.01887
1403715280.761933326721191,0.00284,0.00021,0.00075,0.00495,0.00110,0.00132,0.01117
1403715280.811951398849487,0.00393,0.00019,0.00084,0.00507,0.00015,0.00142,0.01161
1403715280.862009763717651,0.00286,0.00019,0.00012,0.00463,0.00000,0.00141,0.00921
1403715280.912140846252441,0.00262,0.00019,0.00122,0.00431,0.00000,0.00145,0.00979
1403715280.962200880050659,0.00324,0.00019,0.00013,0.00399,0.00201,0.00142,0.01098
1403715281.012246608734131,0.00273,0.00018,0.00037,0.00376,0.00014,0.00158,0.00877
1403715281.062275648117065,0.00257,0.00016,0.00007,0.00404,0.00000,0.00140,0.00825
1403715281.112267017364502,0.00246,0.00016,0.00004,0.00388,0.00000,0.00162,0.00817
1403715281.162267446517944,0.00320,0.00019,0.00068,0.00365,0.00300,0.00145,0.01218
1403715281.212309122085571,0.00248,0.00021,0.00052,0.00413,0.00000,0.00136,0.00871
1403715281.262414932250977,0.00236,0.00019,0.00007,0.00411,0.00000,0.00135,0.00808
1403715281.312443971633911,0.00359,0.00017,0.00570,0.00367,0.00788,0.00147,0.02249
1403715281.362491130828857,0.00272,0.00020,0.00456,0.00501,0.00108,0.00140,0.01497
1403715281.412551164627075,0.00289,0.00020,0.00002,0.00549,0.00061,0.00145,0.01065
1403715281.462610244750977,0.00293,0.00020,0.00002,0.00559,0.00000,0.00151,0.01025
1403715281.512601852416992,0.00279,0.00018,0.00530,0.00543,0.00057,0.00151,0.01578
1403715281.562581777572632,0.00279,0.00020,0.00008,0.00556,0.00000,0.00155,0.01018
1403715281.612564325332642,0.00283,0.00019,0.00005,0.00517,0.00000,0.00157,0.00981
1403715281.662549257278442,0.00246,0.00021,0.00015,0.00490,0.00018,0.00155,0.00946
1403715281.712528228759766,0.00295,0.00019,0.00025,0.00380,0.00015,0.00150,0.00884
1403715281.762469053268433,0.00266,0.00016,0.00017,0.00365,0.00000,0.00141,0.00805
1403715281.812468528747559,0.00348,0.00018,0.00021,0.00348,0.00000,0.00142,0.00877
1403715281.862405776977539,0.00252,0.00017,0.00585,0.00306,0.01043,0.00147,0.02351
1403715281.912389039993286,0.00477,0.00017,0.00427,0.00496,0.00230,0.00149,0.01796
